Bengali,Malayalam
অ্যাম্পিয়ার (একক),ആമ്പിയർ (യൂണിറ്റ്)
অ্যাংস্ট্রাম,ആംഗ്സ്ട്രം
A-শ্রেণীর পরিবর্ধক,എ-ക്ലാസ് ആംപ്ലിഫയർ
এএন রেডিও সহায়,എഎൻ റേഡിയോ സഹായ്
একটি-স্ক্যানিং উপস্থাপনা,a-സ്കാനിംഗ് അവതരണം
a-দর্শ,ഒരു-ദർശ്
A-স্কোপ কর্মক্ষমতা,എ-സ്കോപ്പ് പ്രകടനം
A-T বাঁকা স্ফটিক,എ-ടി വളഞ്ഞ ക്രിസ്റ്റൽ
"এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন","എസി-ഡിസി ആനുകൂല്യങ്ങൾ, എ. സി.ഡി. സി.ലാബി, എ. സി.ഡി. c. ആംപ്ലിഫിക്കേഷൻ"
am,രാവിലെ
এএমইউ (পারমাণবিক ভর একক),എഎംയു (ആറ്റോമിക് മാസ് യൂണിറ്റ്)
আর্ড-ওয়ার্ক*,aard-vark*
ab-ampere,എബി-ആമ്പിയർ
A-B শ্রেণীর পরিবর্ধক,എ-ബി ക്ലാസ് ആംപ്ലിഫയർ
adah,അദാ
A-B শক্তি পিটক,എ-ബി ശക്തി പിടക
abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ,abc = വിന്യാസ ചാർട്ട് = നോമോഗ്രാഫ്
আবে নম্বর (আবে ধ্রুবক),അബെ നമ്പർ (അബെ സ്ഥിരാങ്കം)
abe রিফ্র্যাক্টোমিটার,അബെ റിഫ്രാക്റ്റോമീറ്റർ
অ্যাবে সাইন স্টেট,അബെ സൈൻ സംസ്ഥാനം
স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ,ഓട്ടോമാറ്റിക് ബയസ് നഷ്ടപരിഹാരം
abcoulom,abcoulom
"aberration, aberration","അപഭ്രംശം, അപഭ്രംശം"
বিকৃতি সংশোধনকারী লেন্স,വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്
আকাশ বিকৃতি,ആകാശ വ്യതിയാനം
আবফারদ,abfarad
ইবেনরি,എബൻറി
আবলুস প্রভাব,എബോണി പ്രഭാവം
অস্বাভাবিক মেরুকরণ,അസാധാരണ ധ്രുവീകരണം
অস্বাভাবিক সংক্রমণ,അസാധാരണമായ സംക്രമണം
অলৌকিক প্রতিফলন,അസാധാരണമായ പ്രതിഫലനം
অস্বাভাবিক প্রতিসরণ*,അസാധാരണ അപവർത്തനം*
অস্বাভাবিক প্রতিরোধ,അസാധാരണമായ പ്രതിരോധം
ab-om,ab-om
"preponderance, ব্যর্থতা","മുൻതൂക്കം, പരാജയം"
"সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত","ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച"
প্রায়ই লাফ দেয়,പലപ്പോഴും ചാടുന്നു
হাত*,കൈ*
হারিয়ে যাওয়া প্রতিফলন,പ്രതിഫലനം നഷ്ടപ്പെട്ടു
অনুপস্থিত বর্ণালী,സ്പെക്ട്രം കാണുന്നില്ല
"পরম, পরম, ধ্রুবক, নিখুঁত","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
পরম ত্বরণ,സമ്പൂർണ്ണ ത്വരണം
পরম বাস্তবতা,കേവല യാഥാർത്ഥ്യം
পরম ঠিকানা,സമ്പൂർണ്ണ വിലാസം
ভূ-আপেক্ষিক উচ্চতা মিটার,ജിയോ റിലേറ്റീവ് ആൾട്ടിമീറ്റർ
ভূতাত্ত্বিক উচ্চতা,ഭൂമിശാസ്ത്രപരമായ ഉയരം
পরম অ্যাম্পিয়ার,കേവല ആമ്പിയർ
পরম ফুটন্ত বিন্দু,സമ്പൂർണ്ണ തിളനില
পরম আলোকসজ্জা,കേവല പ്രകാശം
পরম ক্ষমতা,കേവല കപ്പാസിറ്റൻസ്
পরম উচ্চতা,കേവല ഉയരം
পরম রঙ্গক,കേവല പിഗ്മെന്റ്
"পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন","സമ്പൂർണ്ണ കോൺഫിഗറേഷൻ, അവ്യക്തമായ കോൺഫിഗറേഷൻ"
পরম কুলম্ব,കേവല കൂലം
সম্পূর্ণ অন্ধকার,പൂർണ്ണമായ ഇരുട്ട്
পরম সময়সূচী,സമ്പൂർണ്ണ ഷെഡ്യൂളിംഗ്
পরম ঘনত্ব*,കേവല സാന്ദ്രത*
পরম নিষ্কাশন,സമ്പൂർണ്ണ ഡ്രെയിനേജ്
পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট),സമ്പൂർണ്ണ ഇഎംയു (വൈദ്യുതകാന്തിക യൂണിറ്റ്)
পরম ESU (স্থির শক্তি ইউনিট),സമ്പൂർണ്ണ ESU (സ്റ്റാറ്റിക് യൂണിറ്റ്)
পরম দক্ষতা,സമ്പൂർണ്ണ കാര്യക്ഷമത
পরম ইলেক্ট্রোমিটার,കേവല ഇലക്ട്രോമീറ്റർ
পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি,കേവല ആവൃത്തി കേവല ആവൃത്തി
পরম আর্দ্রতা,കേവല ഈർപ്പം
পরম ঘটনা,കേവല സംഭവങ്ങൾ
পরম প্রতিসরাঙ্ক সূচক,കേവല അപവർത്തന സൂചിക
পরম অস্থিরতা,സമ്പൂർണ്ണ അസ്ഥിരത
পরম অস্থিরতা,സമ്പൂർണ്ണ അസ്ഥിരത
"পরম তীব্রতা, পরম তীব্রতা","കേവല തീവ്രത, കേവല തീവ്രത"
অ্যাথেনিয়ার পরম সীমা,അസ്തീനിയയുടെ സമ്പൂർണ്ണ പരിധി
পরম আলোকসজ্জা সিল,കേവല പ്രകാശം സിൽ
পরম হালকা বক্ররেখা,കേവല പ്രകാശ വക്രം
পরম মাত্রা,കേവലമായ അളവ്
পরম ব্যারোমিটার,കേവല ബാരോമീറ്റർ
সর্বোচ্চ সর্বোচ্চ,പരമോന്നത പരമോന്നത
পরম চরম,സമ്പൂർണ്ണ പരിധി
পরম সর্বনিম্ন,ഏറ്റവും താഴ്ന്നത്
পরম গতিবেগ,കേവല ആക്കം
পরম গতি,കേവല വേഗത
পরম সঙ্গীত,കേവല സംഗീതം
পরম পর্যবেক্ষণ,സമ്പൂർണ നിരീക്ഷണം
পরম ওম,കേവല ഓം
পরম অভিযোজন,കേവല ഓറിയന്റേഷൻ
পরম বৈদ্যুতিক ঋণাত্মকতা,കേവല ഇലക്ട്രോനെഗറ്റിവിറ്റി
পরম মাধ্যাকর্ষণ,കേവല ഗുരുത്വാകർഷണം
পরম চাপ,കേവല മർദ്ദം
পরম সম্পত্তি,സമ്പൂർണ്ണ സ്വത്ത്
পরম স্কেলার,കേവല സ്കെയിലർ
তাপমাত্রার পরম স্কেল*,താപനിലയുടെ കേവല സ്കെയിൽ*
"পরম সমলয়, পরম সমলয়","കേവല സമന്വയം, സമ്പൂർണ്ണ സമന്വയം"
পরম চাপ,സമ്പൂർണ്ണ സമ്മർദ്ദം
পরম প্রতিসাম্য,കേവല സമമിതി
