Kannada,Punjabi
ಅಬ್ಯಾಕಸ್,abacus
ಅಸಹಜ ಮುಕ್ತಾಯ,ਅਸਧਾਰਨ ਸਮਾਪਤੀ
ಸ್ಥಗಿತಗೊಳಿಸು,ਅਧੂਰਾ ਛੱਡੋ
ಸಂಪೂರ್ಣ,ਅਸੀਮ
ಸಂಪೂರ್ಣ ವಿಳಾಸ,ਪੂਰਾ ਪਤਾ
ಸಂಪೂರ್ಣ ವಿಳಾಸ,ਪੂਰਨ ਸੰਬੋਧਨ
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,ਪੂਰਨ ਅਸੈਂਬਲਰ
ಸಂಪೂರ್ಣ ಕೋಡ್,ਪੂਰਨ ਕੋਡ
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,ਪੂਰਨ ਹੁਕਮ
ಸಂಪೂರ್ಣ ಡೇಟಾ,ਪੂਰਨ ਡਾਟਾ
ಸಂಪೂರ್ಣ ಸೂಚನೆ,ਪੂਰਨ ਹਿਦਾਇਤ
ಸಂಪೂರ್ಣ ಮೋಡ್,ਪੂਰਨ ਮੋਡ
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,ਪੂਰਨ ਮਾਰਗ
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
ಅಮೂರ್ತ ವರ್ಗ,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
ಅಮೂರ್ತ ಯಂತ್ರ,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
ಅಮೂರ್ತ ಚಿಹ್ನೆ,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,ਸੰਖੇਪ ਸੰਟੈਕਸ
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ
ಪ್ರವೇಶ ದೃಢೀಕರಣ,ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ
ಪ್ರವೇಶ ಕೋಡ್,ਐਕਸੈਸ ਕੋਡ
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,ਪਹੁੰਚ ਕੰਟਰੋਲ
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,ਐਕਸੈਸ ਸਕੈਨ
ಪರಿಕರ,ਸਹਾਇਕ
ಖಾತೆ,ਖਾਤਾ
ಖಾತೆ ID,ਖਾਤਾ ID
ಸಂಚಯಕ,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
ನಿಖರತೆ,ਸ਼ੁੱਧਤਾ
ಪ್ರವೇಶ,ਪਹੁੰਚ
