Malayalam,Telugu
നിബാക്സിയൽ ഉപരിതലം,అబాక్సియల్ ఉపరితలం
അടിവയറ്,ఉదరం
വയറുവേദന അയോട്ടോ,ఉదర బృహద్ధమని
വയറിലെ ഗാംഗ്ലിയ,ఉదర గాంగ్లియా
Abelmoschus എസ്സുലന്റസ്,అబెల్మోస్చస్ ఎస్కులెంటస్
വെറുക്കല്,అబెర్రేషన్
അബി),అబీస్
അബിങ്ഡൺ ആമ,అబింగ్డన్ తాబేలు
അബിയോജെനിസിസ്,అబియోజెనిసిస్
അബിയോട്ടിക്,అబియోటిక్
അശുഭാപ്തി ഘടകം,అబియోటిక్ కారకం
അസാധാരണമായ മൂത്രം,అసాధారణ మూత్రం
അബോ രക്തം ഗ്രൂപ്പ്,అబో బ్లడ్ గ్రూప్
അബ്സിസിക് ആസിഡ്,అబ్సిసిక్ ఆమ్లం
നിര്വഹണം,అబ్సిసిషన్
ഉള്ക്കൊള്ളുക,గ్రహించండి
ആഗിരണം കൊടുമുടി,శోషణ శిఖరం
ആഗിരണം,శోషణ
അക്കേഷ്യ കാറ്റെച്ചു,అకాసియా కాటెచు
അക്കാര്യ അറബിക്ക,అకారియా అరబికా
അകാപ്രിൻ,అకాప్రిన్
സ്വീകാര്യമായ ലൈംഗിക പെരുമാറ്റം,ఆమోదయోగ్యమైన లైంగిక ప్రవర్తన
ആക്സസറി ഗ്രന്ഥി,అనుబంధ గ్రంథి
ആക്സസറി ഗ്രന്ഥി,అనుబంధ గ్రంథి
ആക്സസറി അവയവം,అనుబంధ అవయవం
ACCLIMATIES,అలవాటు
അക്ലിമിലൈസ്,అలవాటు
താമസം (ഫോക്കസിംഗ്),వసతి
കണ്ണിന്റെ താമസം,కంటి వసతి
പ്രകടിപ്പിക്കുന്ന വളർച്ച,అక్రెషన్ పెరుగుదల
കൂന്വാരം,చేరడం
ജൈവവസ്തുക്കളുടെ ശേഖരണം,సేంద్రీయ పదార్థాలు చేరడం
മണ്ണിന്റെ ശേഖരണം,నేల చేరడం
അസെലുലാർ,ఎసిల్యులర్
അസെല്ലുലാർ ജീവികൾ,ఎసెల్యులర్ జీవి
Aecetabulum,ఎసిటాబులం
അസെറ്റൽഡിഹൈഡ്,ఎసిటాల్డిహైడ్
അസെറ്റി കൊവെൻസിഎംഇ,ఎసిటైల్ కోఎంజైమ్
അച്ചാതിന,అచతినా
നെച്ചെൻ തരം,అచెనే రకం
അച്ചീൻ,అచెన్
ആൾമെംഡിഡോസ്പോര്പോറിയ,అచ్లామిడోస్పోరే
അമ്ല മഴ,ఆమ్ల వర్షము
അസിഡിറ്റി,ఆమ్ల
അസിഡിറ്റിക് വാതകം,ఆమ్ల వాయువు
അസിഡിറ്റി,ఆమ్లత్వం
അക്കിനാർ സെൽ,అసినార్ సెల్
അക്കോമോമോമറ്റ്,Acoelomate
അക്കോണിറ്റം,అకోనిటమ్
ആക്രമണാത്മക പുഴു,ఎకార్న్ పురుగు
അക്കോസ്റ്റിക് സോണിംഗ്,ఎకౌస్టిక్ జోనింగ్
സ്വന്തമാക്കിയ പ്രതീകം,సంపాదించిన పాత్ర
പ്രതിരോധശേഷി നേടി,రోగనిరోధక శక్తిని సంపాదించింది
ഏറ്റെടുത്ത ഇമ്മുനോൻറെ കുറവ് സിൻഡ്രോം (എയ്ഡ്സ്),ఇమ్యునో లోపం (AIDS)
അങ്കാരിയ,అక్రినియా
അക്രിക്കൈൻ ഡൈ,యాక్రిడిన్ డై
അക്രോസെന്റ്,అక్రోసెంట్రిక్
അക്രോമീൻ,అక్రోమియన్
അക്രോരേറ്റൽ സീക്വൻസ്,అక్రోపెటల్ సీక్వెన్స్
അക്രോപോളൽ ഓർഡർ,అక్రోపెటల్ ఆర్డర్
അക്രോസിൻ,అక్రోసిన్
ആക്ടിൻ,ఆక్టిన్
ആക്റ്റിൻ പോലുള്ള പ്രോട്ടീൻ,ఆక్టిన్ లాంటి ప్రోటీన్
ആക്ടിനോമോർഫിക്,ఆక్టినోమోర్ఫిక్
ആക്റ്റിനോമൈസെറ്റുകൾ,ఆక్టినోమైసెట్స్
പ്രവർത്തന സാധ്യത,చర్య సామర్థ్యం
സജീവമാക്കിയ സ്ലഡ്ജ്,సక్రియం చేయబడిన బురద
സജീവമാക്കിയ സ്ലഡ്ജ് ഫ്ലോക്ക്,సక్రియం చేయబడిన బురద ఫ్లోక్
സജീവമാക്കൽ .ർജ്ജം,యాక్టివేషన్ ఎనర్జీ
സജീവമായ ആഗിരണം,క్రియాశీల శోషణ
സജീവ പ്രതിരോധശേഷി,క్రియాశీల రోగనిరోధక శక్తి
സജീവ വികിരണം,క్రియాశీల రేడియేషన్
സജീവ സൈറ്റ്,క్రియాశీల సైట్
ആധ്രിക്കുക,యాక్టివిన్
അക്യുമിനേറ്റ്,అక్యూమినేట్
ആദാംസിയ,ఆడమియా
പൊരുത്തപ്പെടലി,అనుకూలత
പൊരുത്തപ്പെടുത്തൽ,అనుసరణ
ലൈറ്റ് ഭരണകൂടത്തിന് അനുയോജ്യമായ പൊരുത്തപ്പെടുത്തൽ,కాంతి పాలనకు అనుసరణ
ജല ദഹനത്തോടുള്ള പൊരുത്തപ്പെടുത്തൽ,నీటి కొరతకు అనుసరణ
അഡാപ്റ്റീവ് സവിശേഷതകൾ,అనుకూల లక్షణాలు
അഡാപ്റ്റീവ് പ്രതിരോധശേഷി,అనుకూల రోగనిరోధక శక్తి
അഡാപ്റ്റീവ് വികിരണം,అడాప్టివ్ రేడియేషన్
അഡാപ്റ്റീവ് സ്വഭാവം,అనుకూల లక్షణం
അഡാക്സിയൽ ഉപരിതലം,అడాక్సియల్ ఉపరితలం
ആസക്തി നിഴൽ,వ్యసనపరుడైన రుగ్మత
ആദൈൈൻ,అడెనిన్
Adenocortiopin,అడెనోకార్టికోట్రోపిన్
ആദിനോഹൈപഫിസിസ്,అడెనోహైపోఫిసిస్
Adenosin diphosphate,అడెనోసిన్ డిఫాస్ఫేట్
Adenosine deaminase,అడెనోసిన్ డీమినేస్
