Telugu,Hindi
అబాక్సియల్ ఉపరితలం,अपाक्ष पृष्ठ
ఉదరం,उदर
ఉదర బృహద్ధమని,उदर महाधमनी
ఉదర గాంగ్లియా,उदर गुच्छिका
అబెల్మోస్చస్ ఎస్కులెంటస్,अबेलमॉस्कस एस्कुलेन्टस
అబెర్రేషన్,विपथन
అబీస్,ऐबीज (बलूत)
అబింగ్డన్ తాబేలు,ऐबिंग्डन कछुआ
అబియోజెనిసిస్,अजीवात्जनन
అబియోటిక్,अजीवीय
అబియోటిక్ కారకం,"अजीवीय कारक, अजैव कारक"
అసాధారణ మూత్రం,अपसामानय मूत्र
అబో బ్లడ్ గ్రూప్,ए.बी.ओ. रुधिर वर्ग
అబ్సిసిక్ ఆమ్లం,एब्सिसिक अम्ल
అబ్సిసిషన్,विलगन
గ్రహించండి,अवशोषण करना
శోషణ శిఖరం,अवशोषण शिखर
శోషణ,अवशोषण
అకాసియా కాటెచు,अकेशिया कैटेच्यू
అకారియా అరబికా,अकेशिया अरेबिका (बबूल)
అకాప్రిన్,ऐकैप्रिन
ఆమోదయోగ్యమైన లైంగిక ప్రవర్తన,स्वीकार्य लैंगिक व्यवहार
అనుబంధ గ్రంథి,सहायक ग्रंथि
అనుబంధ గ్రంథి,अतिरिक्त ग्रंथि
అనుబంధ అవయవం,सहायक अंग
అలవాటు,"पर्यनुकूलन, दशानुकूलन"
అలవాటు,"पर्यनुकूलित करना, दशानुकूलित करना"
వసతి,समंजन (फोकसन)
కంటి వసతి,नेत्र की समंजन क्षमता
అక్రెషన్ పెరుగుదల,अभिवर्धी वृद्धि
చేరడం,"संचय, संचयन"
సేంద్రీయ పదార్థాలు చేరడం,कार्बनिक पदार्थों का एकत्रीकरण
నేల చేరడం,मृदा संचयन
ఎసిల్యులర్,अकोशिकीय
ఎసెల్యులర్ జీవి,अकोशिकीय जीव
ఎసిటాబులం,"श्रोणिउलूखल, ऐसीटैबुलम"
ఎసిటాల్డిహైడ్,ऐसीटेल्डिहाइड
ఎసిటైల్ కోఎంజైమ్,ऐसीटिल सह-ऐंजाइम
అచతినా,ऐकेटाइना
అచెనే రకం,ऐकीन प्रकार
అచెన్,ऐकीन
అచ్లామిడోస్పోరే,ऐक्लेमाइडोस्पोरी
ఆమ్ల వర్షము,अम्ल वर्षा
ఆమ్ల,अम्लीय
ఆమ్ల వాయువు,अम्लीय गैस
ఆమ్లత్వం,अम्लता
అసినార్ సెల్,गुच्छकोष्ठक कोशिका
Acoelomate,अगुहिक
అకోనిటమ్,ऐकोनिटम
ఎకార్న్ పురుగు,"एकॉर्न कृमि, बंजुक कृमि"
ఎకౌస్టిక్ జోనింగ్,"ध्वानिक मंडलन, ध्वानिक जोननिर्माण"
సంపాదించిన పాత్ర,उपार्जित लक्षण
రోగనిరోధక శక్తిని సంపాదించింది,उपार्जित प्रतिरक्षा
ఇమ్యునో లోపం (AIDS),उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स)
అక్రినియా,ऐक्रैनिया
యాక్రిడిన్ డై,एक्रिडीन रंजक
అక్రోసెంట్రిక్,अग्रकेंद्री
అక్రోమియన్,अंसकूट
అక్రోపెటల్ సీక్వెన్స్,अग्राभिसारी अनुक्रम
అక్రోపెటల్ ఆర్డర్,अग्राभिसारी क्रम
అక్రోసిన్,एक्रोसिन
ఆక్టిన్,ऐक्टिन
ఆక్టిన్ లాంటి ప్రోటీన్,ऐक्टिन-सम प्रोटीन
ఆక్టినోమోర్ఫిక్,त्रिज्यासममित
ఆక్టినోమైసెట్స్,एक्टिनोमाइसिटीज
చర్య సామర్థ్యం,क्रिया विभव
సక్రియం చేయబడిన బురద,सक्रियित आपंक
సక్రియం చేయబడిన బురద ఫ్లోక్,सक्रियित आपंक फ्लॉक
యాక్టివేషన్ ఎనర్జీ,सक्रियण ऊर्जा
క్రియాశీల శోషణ,सक्रिय अवशोषण
క్రియాశీల రోగనిరోధక శక్తి,सक्रिय प्रतिरक्षा
క్రియాశీల రేడియేషన్,सक्रिय विकिरण
క్రియాశీల సైట్,सक्रिय स्थल
యాక్టివిన్,ऐक्टिविन
అక్యూమినేట్,लंबाग्र
ఆడమియా,ऐडैम्सिया
అనుకూలత,अनुकूलनशीलता
అనుసరణ,अनुकूलन
కాంతి పాలనకు అనుసరణ,प्रकाश प्रवृत्ति के प्रति अनुकूलन
నీటి కొరతకు అనుసరణ,जलाभाव के प्रति अनुकूलन
అనుకూల లక్షణాలు,अनुकूली (अभि) लक्षण
అనుకూల రోగనిరోధక శక్తి,अनुकूली प्रतिरक्षा
అడాప్టివ్ రేడియేషన్,अनुकूली विकिरण
అనుకూల లక్షణం,अनुकूली विशेषक
అడాక్సియల్ ఉపరితలం,अभ्यक्ष पृष्ठ
వ్యసనపరుడైన రుగ్మత,व्यसनी विकार
అడెనిన్,ऐडेनीन
అడెనోకార్టికోట్రోపిన్,ऐडिनोकॉर्टिकोट्रॉपिन
అడెనోహైపోఫిసిస్,ऐडेनोहाइपोफाइसिस
అడెనోసిన్ డిఫాస్ఫేట్,ऐडेनोसिन डाइफास्फेट
అడెనోసిన్ డీమినేస్,ऐडेनोसिन डीएमीनेज
అడెనోసిన్ మోనోఫాస్ఫేట్,ऐडेनोसिन मोनोफॉस्फेट
గ్రంధి ముడతలు,ऐडेनोसिन ट्राइफॉस्फेट
అడెనిలేట్ సైక్లేస్,एडेनिलेट साइक्लेज
అంటుకునే శక్తి,आसंजी बल
అడిపేట్,ऐडिपेट
కొవ్వు పెండినవి,वसाणु (वसा कोशिका)
కొవ్వు కణజాలము,वसा ऊतक
Adnate,संलग्न
ప్రక్కనే ఉన్న సంఘం,संलग्न समुदाय
అడ్రినల్,अधिवृक्क
అడ్రినల్ గ్రంథి,अधिवृक्क ग्रंथि
ఎడ్రినల్ గ్రంథి,एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन
ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్,एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन
Adsorbent,अधिशोषक
శోషణ,अधिशोषण
అధునాతన కార్డేట్,उन्नत कशेरुकी
ప్రయోజనకరమైన మ్యుటేషన్,लाभकारी उत्परिवर्तन
అడ్వెసిషియల్,बाह्य कंचुक
సాహసోపేతమైన రూట్,अपस्थानिक जड़
ప్రతికూల ప్రభావం,प्रतिकूल प्रभाव
AEDES,ईडीज
సంస్కృతి వాయువు,संवर्ध-वातन
ఏరెన్చైమా,वायूतक
ఆకాశయాన,"वायव (वि.), एरियल (सं.)"
వైమానిక రూట్,वायव जड़
వైమానిక షూట్,वायव प्ररोह
ఏరోబిక్ శ్వాసక్రియ,वायु श्वसन
ఏరోబిక్ శ్వాసక్రియ,ऑक्सी श्वसन
సౌందర్యం,सौंदर्यबोध
ఎస్టివేషన్,पुष्पदल विन्यास
ఎస్టివేషన్,ग्रीष्मनिष्क्रियता
అనుబంధ,अभिवाही
అనుబంధ క్రోమాటోగ్రఫీ,बंधुता वर्णलेखन
బాధిత అవయవం,ग्रसित अंग
అటవీ నిర్మూలన,वनरोपण
అగామోస్పెర్మీ,अनिषेकबीजता
అగర్,ऐगार
అగరోస్,ऐगेरोस
అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్,ऐगेरोस जेल वैद्युतकण संचलन
అగరోస్ పాలిమర్ జెల్,एगेरोस बहुलक जेल
అగాస్ట్,एगास्ट
కిత్తలి,अगेव
వయస్సు పంపిణీ,आयु अनुसार वितरण
వయస్సు పిరమిడ్,आयु पिरैमिड
సంకలనం,आश्लेषण
మొత్తం,पुंज
ఫోలికల్ యొక్క మొత్తం,पुटक पुंज
ఫోలికల్ యొక్క మొత్తం,पुटक समुच्चय
సమూహనం,"समुच्चय, समुच्चयन"
దూకుడు,आक्रामकता
ఆందోళన వ్యవస్థ,प्रक्षोभक तंत्र
అగ్నాథ,ऐग्नेथा
అగౌటి,अगूटी
అగ్రనాల్ క్లోరోప్లాస్ట్,ग्रेना-रहित हरितलवक
అగ్రన్యులర్,"अकणकीय, रवाहीन"
అగ్రనులోసైట్,अकणिकाणु
వ్యవసాయం,"कृषि, खेती"
అగ్రోఫారెస్ట్రీ,कृषिवानिकी
అగ్రోబాక్టీరియం మధ్యవర్తిత్వం,"ऐग्रोबैक्टीरियम माध्यित, कृषि-जीवाणु माध्यित"
అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్,ऐग्रोबैक्टीरियम टूमिफेसियन्स
వ్యవసాయ రసాయన,कृषि-रसायन
వ్యవసాయ రసాయన,कृषि रसायनिक
అగ్రోక్లిమాటిక్ జోన్,कृषि-जलवायु अंचल
వ్యవసాయ లక్షణం,सस्यीय विशेषक
వ్యవసాయ శాస్త్రం,सस्यविज्ञान
ఎయిడ్స్,एड्स
గాలి మూత్రాశయం,वायु आशय
వాతానుకూలీన యంత్రము,वातानुकूलक
గాలి మార్గం,वायु पथ
వాయుకాలుష్యం,वायु प्रदूषण
ఎయిర్ శాక్,वायु कोश
ఎయిర్ వాక్యూల్,वायु धानी
గాలి-శ్వాస,वायु-श्वसन
అలైన్,एलेन
అలారి కండరం,पक्षाकार पेशी
అలాస్కాన్ బ్రౌన్ బేర్,अलास्काई भूरा भालू
అల్బినో,वर्णकहीन
అల్బుగో,ऐल्बूगो
అల్బుమిన్,ऐल्बूमिन
అల్బుమినస్ సీడ్,ऐल्बूमिनी बीज
అల్బుమినూరియా,"ऐल्बूमिनमेह, ऐल्बूमिन्यूरिया"
అల్బర్నమ్,"रसकाष्ठ, एल्बर्नम"
ఆల్కే,ऐल्सीडी
ఆల్డెహీడ్,ऐल्डिहाइड
ఆల్డోస్టెరాన్ వ్యవస్థ,ऐल्डोस्टेरोन तंत्र
ఆల్డోస్టెరాన్,ऐल्डोस्टेरोन
అల్యూరోన్ పొర,ऐल्यूरॉन परत
అల్యూరోప్లాస్ట్,ऐल्यूरोप्लास्ट
అల్ఫాల్ఫా,ऐल्फाल्फा
ఆల్గల్ బ్లూమ్,शैवाल प्रस्फुटन
అల్జీన్,ऐल्जिन
గ్రహాంతర DNA,विजातीय डी. एन. ए
గ్రహాంతర జాతులు,विदेशी जाति
అమరిక,संरेखण
అమరిక,अनुयोजन
అలిమెంటరీ కెనాల్,आहार नाल
అలిమెంటరీ సిస్టమ్,आहार-तंत्र
అలిస్మాసిస్,ऐलिस्मेसी
ఆల్కలాయిడ్,ऐल्केलॉइड
ఆల్కలీన్,क्षारीय
అల్కాప్టోటోరియా,ऐल्कैप्टनमेह
అల్లాంటోయిస్,अपरापोषिका
యుగ్మ వికల్ప ఫ్రీక్వెన్సీ,विकल्पी आवृत्ति
యుగ్మ వికల్పం,"विकल्पी, युग्मविकल्पी"
అల్లెలోమోర్ఫిక్ జత,विकल्पी युग्म
అలెర్జీ,"प्रत्यूर्जक, एलर्जन"
ఎలిగేటర్,"नक्र, ऐलिगेटर"
అల్లియం సెపా,ऐलियम सीपा
అయోగాగమి,परनिषेचन
అల్లోగ్రాఫ్ట్,अपरनिरोप
అల్లోపాట్రిక్ స్పెసియేషన్,विस्थानिक जाति-उद्भवन
అల్లోపాలిప్లోయిడ్,अपरबहुगुणित
అలోస్టెరిక్ ప్రభావం,अपरस्थली प्रभाव
అలోస్టెరిక్ ఎంజైమ్,अपरस्थली एंजाइम
అలోస్టెరిక్ ఇన్హిబిటర్,अपरस्थलीय संदमक
అలోస్టెరిక్ మాడ్యులేషన్,अपरस्थली मॉडुलन
అలోస్టెరిక్ సైట్,अपरस्थलीय स्थान
అలోస్టెరిక్ నిరోధం,अपरस्थली संदमन
అలోటెట్రాప్లాయిడ్,अपरचतुर्गुणित
ఆల్నస్,ऐलनस
కలబంద,ऐलो
ఆక్సాన్ వెంట,ऐक्सॉन की दिशा में
ఆల్ఫా-యాంటిట్రిప్సిన్,ऐल्फा-ऐंटीट्रीप्सिन
ఆల్ఫా-లాక్టల్బ్యూమిన్,"ऐल्फा लैक्टऐल्बूमिन, ऐल्फा-दुग्धऐल्बूमिन"
ఆల్పైన్ వాతావరణ పరిస్థితి,अल्पाइन जलवायवीय परिस्थिति
ఆల్పైన్ మేడో,अल्पाइन शाद्वल
ఆల్పైన్ జోన్,अल्पाइन क्षेत्र
ఆల్స్టోనియా,ऐल्स्टोनिया
ఆల్టర్నేరియా,आल्टर्नेरिया
ప్రత్యామ్నాయ,एकांतर
తరం యొక్క ప్రత్యామ్నాయం,पीढ़ी-एकांतरण
ఎత్తు రుగ్మత,तुंगता अस्वस्थता
ఎత్తు,तुगंता
అల్వియోలార్ డక్ట్,कूपिका वाहिनी
అలిట్స్,एलाइटीज
అల్జీమర్స్ వ్యాధి,ऐल्जाइमर रोग
అమాక్రిన్ సెల్,अतंत्रिकाक्षी कोशिका
అమరాంతేసి,अमारेंथेसी
అమరాంథస్,अमारेंथस (चौलाई)
పరిసర ఓస్మోటిక్ గా ration త,परिवेश परासरणी सांद्रण
అంబిస్టోమా,ऐम्बिस्टोमा
అమైడ్,ऐमाइड
అమైనో ఆమ్లం,ऐमीनो अम्ल
