Punjabi,Telugu
ਐਬੈਕਸਿਅਲ ਸਤਹ,అబాక్సియల్ ఉపరితలం
ਪੇਟ,ఉదరం
ਪੇਟ AORTA,ఉదర బృహద్ధమని
ਪੇਟ ਗੰਗਾਲੀਆ,ఉదర గాంగ్లియా
ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ,అబెల్మోస్చస్ ఎస్కులెంటస్
ਅਸਧਾਰਨ,అబెర్రేషన్
ਅੱਛਾ,అబీస్
ਅਬਿੰਗਡਨ ਕਛੂਆ,అబింగ్డన్ తాబేలు
ਅਬੀਓਜੀਨੇਸਿਸ,అబియోజెనిసిస్
ਅਬੀਓਟਿਕ,అబియోటిక్
ਅਬੀਓਟਿਕ ਕਾਰਕ,అబియోటిక్ కారకం
ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ,అసాధారణ మూత్రం
ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ,అబో బ్లడ్ గ్రూప్
Abscisic ਐਸਿਡ,అబ్సిసిక్ ఆమ్లం
ਵਿਵੇਕ,అబ్సిసిషన్
ਸੋਖਣਾ,గ్రహించండి
ਸਮਾਈ ਪੀਕ,శోషణ శిఖరం
ਸਮਾਈ,శోషణ
ਅੱਕੀਆ ਕੈਟੂਯੂ,అకాసియా కాటెచు
ਅਕਾਰੀਆ ਅਰਬੀ,అకారియా అరబికా
ਐਕਾਪ੍ਰਿਨ,అకాప్రిన్
ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ,ఆమోదయోగ్యమైన లైంగిక ప్రవర్తన
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,అనుబంధ గ్రంథి
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,అనుబంధ గ్రంథి
ਸਹਾਇਕ ਅੰਗ,అనుబంధ అవయవం
ਅਨੁਕੂਲਤਾ,అలవాటు
ਅਹਿਮ,అలవాటు
ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ),వసతి
ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼,కంటి వసతి
ਅਦਭੁਤ ਵਾਧਾ,అక్రెషన్ పెరుగుదల
ਇਕੱਠਾ,చేరడం
ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,సేంద్రీయ పదార్థాలు చేరడం
ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,నేల చేరడం
ਐਸੀਲੂਲਰ,ఎసిల్యులర్
ਐਸੀਲੂਲਰ ਜੀਵ,ఎసెల్యులర్ జీవి
ਐਸੀਟੌਮੂਲਮ,ఎసిటాబులం
ਐਸੀਟਲਾਈਡਾਈਡ,ఎసిటాల్డిహైడ్
ਐਸੀਟੇਲ ਰੀਜ਼ਨ,ఎసిటైల్ కోఎంజైమ్
ਅਮੀਥਿਨਾ,అచతినా
ਅੱਕੇ,అచెనే రకం
ਅਕੇਸ਼ੀ,అచెన్
AchlamyDosporeae,అచ్లామిడోస్పోరే
ਐਸਿਡ ਬਾਰਸ਼,ఆమ్ల వర్షము
ਤੇਜਾਬ,ఆమ్ల
ਤੇਜ਼ਾਬ ਗੈਸ,ఆమ్ల వాయువు
ਐਸਿਡਿਟੀ,ఆమ్లత్వం
ਐਕਸੀਨਰ ਸੈੱਲ,అసినార్ సెల్
ਆਕੋਲੀਓਮੈਟ,Acoelomate
ਐਕੋਨਿਟਮ,అకోనిటమ్
ਐਕੋਰਨ ਕੀੜਾ,ఎకార్న్ పురుగు
ਧੁਨੀ ਜ਼ੋਨਿੰਗ,ఎకౌస్టిక్ జోనింగ్
ਪਾਤਰ ਪਾਤਰ,సంపాదించిన పాత్ర
ਸੀਮਤ ਸੀਮਤ,రోగనిరోధక శక్తిని సంపాదించింది
ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼),ఇమ్యునో లోపం (AIDS)
ਅਰੇਂੀਆ,అక్రినియా
ਐਸੀਰੇਸਾਈਨ ਡਾਇ,యాక్రిడిన్ డై
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ,అక్రోసెంట్రిక్
ਐਕਰੋਮਰ,అక్రోమియన్
ਅਸ਼ੋਕਲ ਤਰਤੀਬ,అక్రోపెటల్ సీక్వెన్స్
