Malayalam,Odiya
ശീതീകരണം,ଆବଦ୍ଧ
ചുരുക്കല്,ସଂକ୍ଷିପ୍ତକରଣ
പിടിച്ചുകൊണ്ടുപോകല്,ଅପହରଣ
Aveyne,ଆବେରୀ
കഴിവ്,ଦକ୍ଷତା
Ab initio,Ab initio
കഴിവുള്ള,ସକ୍ଷମ
വിലക്ഷണമായ,ଅସ୍ୱାଭାବିକ |
നിർത്തലാക്കൽ,ଚତୁରତା
നിർത്തലാക്കൽ പോസ്റ്റ്,ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |
മുകളിൽ സൂചിപ്പിച്ച,ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |
മുകളിൽ ഉദ്ധരിച്ചത്,ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |
മുകളിൽ പറഞ്ഞത്,ଉପରେ କହିଲା
അസാന്നിദ്ധം,ଅନୁପସ୍ଥିତି
ഹാജരാകാത്ത,ଅଧ୍ୟାପୀ
ഹാജരാകാത്തീയത,ଅନୁପସ୍ଥିତତା
ഹാജരാകാതിരിക്കുക,ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି
കേശവം,ସଂପୂର୍ଣ୍ଣ
കേവല കുത്തക,ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |
കേവല ഉടമസ്ഥാവകാശം,ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା
ആഗിരണം,ଶୋଷଣ
വേര്പെട്ടുനില്ക്കുന്ന,ବିସ୍ତୃତ
അനുഗമിക്കുന്നു,ବିସ୍ତୃତ
അസംബന്ധം,ଅବ urd ଧ |
സമൃദ്ധി,ପ୍ରଚୁରତା
അധികാര ദുരുപയോഗം,ଶକ୍ତିର ଅପବ୍ୟବହାର |
അധിക്ഷേപകരമായ ഭാഷ,ଅପମାନଜନକ ଭାଷା |
പണ്ഡിതോചിതമായ,ଏକାଡେମିକ୍ |
അക്കാദമിക് ചർച്ച,ଏକାଡେମିକ୍ ଆଲୋଚନା
അക്കാദമിക് അവധി,ଏକାଡେମିକ୍ ଛୁଟି |
വിദ്യാഭ്യാസ യോഗ്യത,ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |
അക്കാദമിക് റെക്കോർഡ്,ଏକାଡେମିକ୍ ରେକର୍ଡ |
നിര്വഹിക്കുക,ଧ୍ୟାନଦେଇ
അംഗീകരിക്കുക,ଗ୍ରହଣ କର
കൈക്കൊള്ളല്,ଗ୍ରହଣ
ഓഫീസിന്റെ സ്വീകാര്യത,ଅଫିସ୍ ଗ୍ରହଣ
ടെണ്ടർ സ്വീകാര്യത,ଟେଣ୍ଡର ଗ୍ରହଣ
പ്രവേശനം,ପ୍ରବେଶ
അപേക്ഷ,ପ୍ରବେଶ
ഉപസാധനം,ଆନୁଷଙ୍ଗିକ
ആകസ്മികത,ଦୁର୍ଘଟଣା
ACCLIMATIES,ସୁକମ୍ଲାଇଜେସନ୍
സ്ഥലസൗകരം,ଆବାସ
അനുഗമിച്ചു,ସାଥୀ
അക്കോര്,ଆକର୍ଡ
അഭാവം,ସମ୍ପତ୍ତୀ
അക്കാരണത്താല്,ସେହି ଅନୁଯାୟୀ |
കണക്ക്,ଖାତା
ഉത്തരവാദിത്തം,ଉତ୍ତରଦାୟିତ୍ୱ
ഉത്തരവാദിയായ,ଉତ୍ତରଦାୟୀ |
അക്കൗണ്ടൻസി,ଆକାଉଣ୍ଟାଣ୍ଟି
കണക്കെഴുത്തുകാരി,ଆକାଉଣ୍ଟାଣ୍ଟ
അക്കൗണ്ട്,ଖାତା ପାଇଁ
അക്കൗണ്ട് തല,ଖାତା ହେଡ୍
വർദ്ധിച്ച ആനുകൂല്യം,ଅଭିଯୋଗ ଲାଭ
വർദ്ധിച്ച പെൻഷൻ,ପେନ୍ ପେନ୍ସନ୍
കൂന്വാരം,ଜମା
കൃതത,ସଠିକତା
സൂക്ഷ്മമായ,ସଠିକ୍
ബോധിപ്പിക്കുന്ന,ଅଭିଯୋଗ
കുറ്റക്കാരന്,ଅଭିଯୁକ୍ତ
നേട്ടം,ସଫଳତା
അംഗീകാരം,ସ୍ୱୀକୃତି
അംഗീകാരത്തിന്റെ,ସ୍ୱୀକୃତି ଦେବାର |
പരിചയം,ପରିଚୟ
കൈവശപ്പെടുത്തൽ,ଅଧିଗ୍ରହଣ
കുറ്റപാട്വിൽപ്പന,ନିର୍ଦ୍ଦୋଷ
പവര്ത്തിക്കുക,କାର୍ଯ୍ୟ କର
അഭിനയ അലവൻസ്,ଅଭିନୟ ଭତ୍ତା
പവര്ത്തി,କାର୍ଯ୍ୟ
പ്രവർത്തന പദ്ധതി,କ୍ରିୟା ଯୋଜନା
സജീവമായ,ସକ୍ରିୟ
സജീവമായി,ସକ୍ରିୟ ଭାବରେ |
ചുറുചുറുക്കുള്ളവള്,କାର୍ଯ୍ୟକର୍ତ୍ତା
ദൈവിക പ്രവൃത്തി,God ଶ୍ୱରଙ୍କ କାର୍ଯ୍ୟ
ദുരാചാരത്തിന്റെ പ്രവർത്തനം,ଦୁଷ୍କର୍ମ କାର୍ଯ୍ୟ
കമ്മീഷന്റെയും ഒഴിവാക്കലിന്റെയും നിയമം,କମିଶନ ଏବଂ ଓସାସଙ୍କ କାର୍ଯ୍ୟ |
യഥാര്ത്ഥത്തിലുള്ള,ପ୍ରକୃତ
വാസ്തവങ്ങൾ,କାର୍ଯ୍ୟ
പൊരുത്തപ്പെടുത്തൽ,ଆଡାପ୍ଟେସନ୍
കൂട്ടല്,ଯୋଗ
അധിക നിരക്ക്,ଅତିରିକ୍ତ ଚାର୍ଜ
അധിക ഫണ്ട്,ଅତିରିକ୍ତ ପାଣ୍ଠି
അധിക ഗ്രാന്റ്,ଅତିରିକ୍ତ ଅନୁଦାନ
അധിക വിവരം,ଅତିରିକ୍ତ ସୂଚନା
അധിക വേതനം,ଅତିରିକ୍ତ ଦେୟ
കൂട്ടിച്ചേർക്കലും മാറ്റവും,ଯୋଗ ଏବଂ ପରିବର୍ତ୍ତନ
അഭിസംബോധന ചെയ്യുക,ଠିକଣା
വിലാസശാല,ଆଡ୍ରେସେେ |
സ്വാഗത വിലാസം,ସ୍ୱାଗତିବାର ଠିକଣା
പരാപ്തമായ,ପର୍ଯ୍ୟାପ୍ତ
ഇത് പാലിക്കുക,ନିୟମ ପାଳନ
ആഡ് ഹോക്ക്,ଅନୁପଚାରି
AD HOC ക്ലെയിം,ବିଜ୍ଞାପନ ହକ୍ ଦାବି |
താൽക്കാലിക സമിതി,ବିଜ୍ଞାପନ ହକ୍ କମିଟି |
താൽക്കാലിക വർദ്ധനവ്,AD HOC ବୃଦ୍ଧି |
പരസ്യ ഹോക് പേയ്മെന്റ്,ବିଜ୍ଞାପନ ହକ୍ ଦେୟ |
തൊട്ടുകിടക്കുന്ന,ସଂଲଗ୍ନ
തൊട്ടടുത്ത് (= തുടർച്ചയായ),ସଂଲଗ୍ନ (= ସଂଲଗ୍ନ)
വചലിക്കുക,ସ୍ଥଗିତତା
നീരസം ചലനം,ଆଡଜାଇବା ଗତି
Cakudgge,ସମର୍ଥନ କର ଘର
ശിക്ഷിക്കപ്യം,ଗୁଚିଚୀନିକ
വിധിന്യായ,ସମର୍ଥନ
Adjudication,ଆଦ୍ବ୍ରୀକରଣ
കമപ്പെടുത്തല്,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
രാജംഭരിക്കുക,ପ୍ରଶାସକ
സത്യപ്രതിഷേധിക്കുന്നു,ଶପଥ କର
ഭരണകൂടം,ପ୍ରଶାସନ
നീതിയുടെ ഭരണം,ନ୍ୟାୟ ପ୍ରଶାସନ
ഭരണപരമായത്,ପ୍ରଶାସନିକ
അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം,ପ୍ରଶାସନିକ କାର୍ଯ୍ୟ
അഡ്മിനിസ്ട്രേറ്റീവ് മൂല്യനിർണ്ണയം,ପ୍ରଶାସନିକ ମୂଲ୍ୟାଙ୍କନ |
അഡ്മിനിസ്ട്രേറ്റീവ് അംഗീകാരം,ପ୍ରଶାସନିକ ଅନୁମୋଦନ |
അഡ്മിനിസ്ട്രേറ്റീവ് അതോറിറ്റി,ପ୍ରଶାସନିକ ପ୍ରାଧିକରଣ
അഡ്മിനിസ്ട്രേറ്റീവ് നിയന്ത്രണം,ପ୍ରଶାସନିକ ନିୟନ୍ତ୍ରଣ |
അഡ്മിനിസ്ട്രേറ്റീവ് തീരുമാനം,ପ୍ରଶାସନିକ ନିଷ୍ପତ୍ତି
അഡ്മിനിസ്ട്രേറ്റീവ് വകുപ്പ്,ପ୍ରଶାସନିକ ବିଭାଗ
അഡ്മിനിസ്ട്രേറ്റീവ് ഹെഡ്,ପ୍ରଶାସନିକ ମୁଣ୍ଡ
അഡ്മിനിസ്ട്രേറ്റീവ് ആസ്ഥാനം,ପ୍ରଶାସନିକ ମୁଖ୍ୟାଳୟ |
ഭരണപരമായ നടപടികൾ,ପ୍ରଶାସନିକ ପଦକ୍ଷେପ |
ഭരണപരമായ ശക്തി,ପ୍ରଶାସନିକ ଶକ୍ତି |
ഭരണപരമായ അനുമതി,ପ୍ରଶାସନିକ ମଞ୍ଜୁର |
അഡ്മിനിസ്ട്രേറ്റീവ് രീതി,ପ୍ରଶାସନିକ କ techni ଶଳ |
അഡ്മിനിസ്ട്രേറ്റീവ് ട്രൈബ്യൂണൽ,ପ୍ରଶାସନିକ ଟ୍ରିବ୍ୟୁନାଲ୍ |
അനഭാക്ഷ്യം,ଗ୍ରହଣୀୟତା |
അനുവദനീയമായ ചെലവ്,ଗ୍ରହଣଯୋଗ୍ୟ ଖର୍ଚ୍ଚ |
സമ്മതിക്കുക,ସ୍ୱୀକାର କର |
അഡ്മിറ്റ് കാർഡ്,କାର୍ଡ ଆଡମିଟ୍ କରନ୍ତୁ |
പ്രവേശിപ്പിച്ചു,ସ୍ୱୀକାର କରାଯାଇଛି |
ഉപദേഷ്ടാപ്പ്,ଉପଦେଶ ଦିଅନ୍ତୁ |
ദന്തം,ଆଡେପିଟି |
ച്ചക്കല്,ଆଡପୁଟର୍
ദത്ത്,ଗ୍ରହଣ
