Punjabi,Kannada
ਐਬੈਕਸਿਅਲ ਸਤਹ,ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ
ਪੇਟ,ಹೊಟ್ಟೆ
ਪੇਟ AORTA,ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ
ਪੇਟ ਗੰਗਾਲੀਆ,ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ
ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ,ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್
ਅਸਧਾਰਨ,ವಿರೂಪಗೊಳಿಸುವಿಕೆ
ਅੱਛਾ,ಅಬ್ಬರ
ਅਬਿੰਗਡਨ ਕਛੂਆ,ಅಬಿಂಗ್ಡನ್ ಆಮೆ
ਅਬੀਓਜੀਨੇਸਿਸ,ಕ್ಷು ತನ್ನತೆ
ਅਬੀਓਟਿਕ,ಅಸಹ್ಯವಾದ
ਅਬੀਓਟਿਕ ਕਾਰਕ,ಉದಾಸೀಯ ಅಂಶ
ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ,ಅಸಹಜ ಮೂತ್ರ
ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ,ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್
Abscisic ਐਸਿਡ,ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ
ਵਿਵੇਕ,ಕಂದಿಸುವುದು
ਸੋਖਣਾ,ಹೀರಿಕೊಳ್ಳಿ
ਸਮਾਈ ਪੀਕ,ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ
ਸਮਾਈ,ಹೀರುವಿಕೆ
ਅੱਕੀਆ ਕੈਟੂਯੂ,ಅಕಿಯಾ ಕ್ಯಾಟೆಚು
ਅਕਾਰੀਆ ਅਰਬੀ,ಅಕ್ಯಾಬಿಕಾ
ਐਕਾਪ੍ਰਿਨ,ಅಣಕಾದ
ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ,ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,ಪರಿಕರ ಗ್ರಂಥಿ
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,ಪರಿಕರ ಗ್ರಂಥಿ
ਸਹਾਇਕ ਅੰਗ,ಪರಿಕರ ಅಂಗ
ਅਨੁਕੂਲਤਾ,ಒಗ್ಗೂಡಿಸುವಿಕೆ
ਅਹਿਮ,ಒಗ್ಗಿಸು
ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ),ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು)
