Malayalam,Marathi
വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി,वेस्टमिन्स्टरचे मठाधीश
ഒഴിഞ്ഞുമാറുക,निषिद्ध
അടിമത്തം നിർത്തലാക്കൽ,गुलामगिरीचे उच्चाटन
ആദിവാസികൾ,आदिवासी
അബ്രഹാം യുഗം,अब्राहम युग
ഹാജരാകാത്ത ഭൂവുടമകൾ,अनुपस्थित जमीनदार
അക്കാദമി,अकादमी
അക്ര സമ്മേളനം,अक्रा परिषद
സമാഹരണങ്ങൾ,जमा
സംസ്കരണം,संवर्धन
അസെൽഡാമ,एसेलडामा
അച്ചായൻ (=അച്ചിയൻ),आचियन (=अचियन)
അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്),आचियन लीग (=अचियन लीग)
അക്രോപോളിസ്,एक्रोपोलिस
ആക്റ്റ ദിയുർന,Acta Diurna
ആക്റ്റ സെനറ്റസ്,Acta Senatus
ആക്റ്റ് അഡീഷണൽ,ऍक्ट अॅडिशनल
സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്),सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड)
നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം,प्राप्तकर्त्याची कृती
നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം,नुकसानभरपाई आणि विस्मरणाचा कायदा
സെറ്റിൽമെന്റ് നിയമം,सेटलमेंटचा कायदा
പരസ്യ കരാർ മുദ്ര,जाहिरात करार सील
അഡുല്ലമൈറ്റുകൾ,अदुल्लामाइट्स
എതിരാളി,विरोधक
എതിരാളി,विरोधक
അയോൺ,एऑन
എയറേറിയം,एरेरियम
ആകാശ യുദ്ധം,हवाई युद्ध
എറ്റോലിയൻ ലീഗ്,एटोलियन लीग
വയസ്സ്,वय
വാർദ്ധക്യം (=വാർദ്ധക്യം),वृद्धत्व (=वृद्धत्व)
പ്രായമാകൽ പ്രക്രിയ,वृद्धत्व प्रक्रिया
അഗെലൈ,अगेलाय
ധീരതയുടെ പ്രായം,पराक्रमाचे वय
എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം,ज्ञानाचे वय
പെരിക്കിൾസിന്റെ പ്രായം,पेरिकल्सचे वय
യുക്തിയുടെ പ്രായം,कारण वय
കാർഷികവാദം,कृषीवाद
കാർഷിക പ്രസ്ഥാനം,कृषी चळवळ
ആൽബിയോൺ,अल्बिओन
ആൽബം,अल्बम
ആൽഡർമാൻ,अल्डरमन
വശീകരിക്കുന്ന ആയുധങ്ങൾ,मोहक हात
അമിറ്റി,मैत्री
ആംഫിക്റ്റോണിക് കൗൺസിൽ,एम्फेक्टियोनिक परिषद
ആംഫിക്റ്റോണിക് ലീഗ്,एम्फेक्टियोनिक लीग
ആംഫി തിയേറ്റർ,अॅम्फिथिएटर
അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ),अमरी नल गट (मातीचा)
