Telugu,Punjabi
అబార్ట్,ਅਧੂਰਾ ਛੱਡਣਾ
అబార్ట్ టైమర్,ਅਧੂਰਾ ਛੱਡੋ
సంపూర్ణ చిరునామా,निरपेक्ष an s
సంపూర్ణ చిరునామా,ਪੂਰਨ ਪਤਾ
సంపూర్ణ సమీకరించేవాడు,ਸੰਪੂਰਨ ਸੰਜਮ
సంపూర్ణ కోడ్,ਸੰਪੂਰਨ ਕੋਡ
సంపూర్ణ కోడింగ్,ਸੰਪੂਰਨ ਕੋਡਿੰਗ
సంపూర్ణ ఆదేశం,ਸੰਪੂਰਨ ਕਮਾਂਡ
సంపూర్ణ కోఆర్డినేట్,ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ
సంపూర్ణ డేటా,ਸੰਪੂਰਨ ਡੇਟਾ
సంపూర్ణ లోపం,ਪੂਰੀ ਗਲਤੀ
సంపూర్ణ వ్యక్తీకరణ,ਪੂਰਨ ਸਮੀਕਰਨ
సంపూర్ణ సూచన,ਪੂਰਨ ਹਦਾਇਤ
సంపూర్ణ లోడర్,ਸੰਪੂਰਨ ਲੋਡਰ
సంపూర్ణ క్రమం,ਸੰਪੂਰਨ ਕ੍ਰਮ
సంపూర్ణ ప్రోగ్రామింగ్,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
సంపూర్ణ పదం,ਸੰਪੂਰਨ ਅਵਧੀ
సంపూర్ణ విలువ,ਸਹੀ ਮੁੱਲ
సంపూర్ణ వెక్టర్,ਸੰਪੂਰਨ ਵੈਕਟਰ
నైరూప్య,ਸਾਰ
సంగ్రహించడం,ਐਬਸਟ੍ਰੈਕਟਿੰਗ
నైరూప్య చిహ్నం,ਸੰਖੇਪ ਪ੍ਰਤੀਕ
త్వరణం కాలం,ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ
త్వరణం సమయం,ਪ੍ਰਵੇਗ ਟਾਈਮ
యాస,ਲਹਿਜ਼ਾ
అంగీకార పరీక్ష,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
యాక్సెస్,ਪਹੁੰਚ
యాక్సెస్ ఆర్మ్,ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ
యాక్సెస్ అమరిక,ਐਕਸੈਸ ਪ੍ਰਬੰਧ
యాక్సెస్ అథారిటీ,ਪਹੁੰਚ ਅਥਾਰਟੀ
