Hindi,Tamil
अपसामान्य,அசாதாரணமானது
विफलन,கருக்கலைப்பு
"अपघर्षण, घिसाई",சிராய்ப்பு
"असंलग्न, अचानक, सहसा, विच्छिन्न",திடீரென்று
निरपेक्ष क्षेत्र सामर्थ्य,முழுமையான புல வலிமை
परम ताप,முழுமையான வெப்பநிலை
निरपेक्ष मान,துல்லியமான மதிப்பு
"अवशोषित करना, अवशोषण करना",உறிஞ்சும்
अवशोषण गुणांक,உறிஞ்சுதல் சக செயல்திறன்
अवशोषण हानि,உறிஞ்சுதல் இழப்பு
"अमूर्त, सारांश, सार, संक्षेप",சுருக்கம்
त्वरणमापी,முடுக்கமானி
स्वीकृति परीक्षण,ஏற்பு சோதனை
अभिगम,அணுகல்
अभिगम नियंत्रण,நுழைவு கட்டுப்பாடு
अभिगम बिंदु,அணுகல் புள்ளி
अभिगम काल,அணுகல் நேரம்
अभिगम्यता,அணுகல்
संचायक सेल,குவிப்பான் செல்
यथार्थता,துல்லியம்
यथार्थ,துல்லியமானது
अवर्णक लेन्स,முடிச்சு லென்ஸ்
"अम्ल, ऐसिड",அமிலம்
अम्लसह,அமில ஆதாரம்
अम्लता,அமிலத்தன்மை
"पावती द्वयंक, पावती बिट",ஒப்புதல் பிட்
ध्वानिक,ஒலி
ध्वानिक संचार,ஒலி தொடர்பு
ध्वानिक विसरण,ஒலி பரவல்
ध्वानिक समकारी,ஒலி சமநிலைப்படுத்தி
"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश",ஒலி கருத்து
"ध्वानिक फिल्टर, ध्वानिक निस्यंदक",ஒலி வடிகட்டி
ध्वानिक प्रतिबाधा,ஒலி மின்மறுப்பு
"ध्वानिक आवरण, ध्वानिक प्रच्छादन",ஒலி முகமூடி
ध्वानिक षक्ति,ஒலி சக்தி
ध्वानिक गुणधर्म,சட்டவிரோத சொத்து
ध्वानिक प्रतिघात,ஒலி எதிர்வினை
ध्वानिक प्रतिवर्त,ஒலி ரிஃப்ளெக்ஸ்
ध्वानिक टाइल,ஒலி ஓடு
ध्वानिक तरंग,ஒலி அலை
ध्वानिक अवशोषण गुणांक,ஒலியியல் உறிஞ்சுதல்
ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक,ஒலியியல் விழிப்புணர்வு மாறிலி
ध्वानिक अवमंदन,ஒலியியல் ஈரமாக்குதல்
ध्वानिक विलंब लाइन,ஒலியியல் தாமத வரி
ध्वानिक विरूपण,ஒலியியல் விலகல்
ध्वनि-वाहिनी,ஒலியியல் குழாய்
ध्वानिक ऊर्जा,ஒலியியல் ஆற்றல்
ध्वानिक पुनर्निवेश,ஒலியியல் கருத்து
"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक",ஒலியியல் வடிகட்டி
ध्वानिक प्रतिबाधा,ஒலியியல் மின்மறுப்பு
ध्वानिक संचरण नियतांक,ஒலியியல் பரப்புதல் மாறிலி
ध्वानिक प्रतिरोध,ஒலியியல் எதிர்ப்பு
