Odiya,Malayalam
ଆବାକସ୍ |,അബാക്കസ്
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,അസാധാരണമായ അവസാനിപ്പിക്കൽ
ପରିତ୍ୟାଗ,ഉപേക്ഷിക്കുക
ସଂପୂର୍ଣ୍ଣ,കേവല
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,സമ്പൂർണ്ണ വിലാസം
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,സമ്പൂർണ്ണ അഭിസംബോധന
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,കേവല അസംബ്ലർ
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,കേവല കോഡ്
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,സമ്പൂർണ്ണ കമാൻഡ്
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,സമ്പൂർണ്ണ ഡാറ്റ
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,സമ്പൂർണ്ണ നിർദ്ദേശം
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,കേവല മോഡ്
ସଂପୂର୍ଣ୍ଣ ପଥ,കേവല പാത
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,അമൂർത്ത ക്ലാസ്
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,അമൂർത്ത ഡാറ്റ തരം
ବିସ୍ତୃତ ମେସିନ୍ |,അമൂർത്ത യന്ത്രം
ବିସ୍ତୃତ ପ୍ରତୀକ |,അമൂർത്ത ചിഹ്നം
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,അമൂർത്തമായ വാക്യഘടന
ଗ୍ରହଣ ପରୀକ୍ଷା,സ്വീകാര്യത പരിശോധന
ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |,ആക്സസ് പ്രാമാണീകരണം
ପ୍ରବେଶ କୋଡ୍,പ്രവേശന കോഡ്
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,പ്രവേശന നിയന്ത്രണം
ଆକ୍ସେସ୍ ସ୍କାନ୍ |,ആക്സസ് സ്കാൻ
ଆନୁଷଙ୍ଗିକ,ഉപസാധനം
ଖାତା,അക്കൗണ്ട്
ଖାତା ID,അക്കൗണ്ട് ID
ଜମାକାରୀ,ശേഖരണം
ସଠିକତା,കൃത്യത
acess,പ്രവേശനം
ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |,ആക്സസ് കൺട്രോൾ ബൈറ്റ്
acess index,പ്രവേശന സൂചിക
acess କି,ആക്സസ് കീ
acess matrix,ആക്സസ് മാട്രിക്സ്
acess ମୋଡ୍ |,ആക്സസ് മോഡ്
acess ଅଧିକାର,ആക്സസ് പ്രിവിലേജ്
acess ସୁରକ୍ଷା |,ആക്സസ് സുരക്ഷ
acess ସର୍ଭର |,ആക്സസ് സെർവർ
ଆକସେସ୍ ସମୟ |,പ്രവേശന സമയം
ସ୍ୱୀକୃତି,അംഗീകാരം
ଆକାଶବାଣୀ,ശബ്ദശാസ്ത്രം
ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ,സംക്ഷേപം
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,പ്രവർത്തന സന്ദേശം
ସକ୍ରିୟ,സജീവമാക്കൽ
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP),സജീവ സെർവർ പേജ് (ASP)
ସକ୍ରିୟ ସଂସ୍କରଣ |,സജീവ പതിപ്പ്
acyclic,അസൈക്ലിക്
acyclic ଗ୍ରାଫ୍ |,അസൈക്ലിക് ഗ്രാഫ്
ଅଦା ଭାଷା |,അഡാ ഭാഷ
ଆଡାପ୍ଟର,അഡാപ്റ്റർ
ଯୋଡନ୍ତୁ |,ചേർക്കുക
ଫାଇଲ୍ ଯୋଡନ୍ତୁ |,ഫയൽ ചേർക്കുക
ଅପରେସନ୍ ଯୋଡନ୍ତୁ |,പ്രവർത്തനം ചേർക്കുക
ଆଡର୍,ചേർക്കുന്നയാൾ
ଠିକଣା,വിലാസം
ଠିକଣା ବସ୍,വിലാസം ബസ്
ଠିକଣା ଫାଇଲ୍ |,വിലാസ ഫയൽ
ଠିକଣା ଫର୍ମାଟ୍,വിലാസ ഫോർമാറ്റ്
