Odiya,Marathi
ଆବଦ୍ଧ,Uptement
ସଂକ୍ଷିପ୍ତକରଣ,संक्षेप
ଅପହରଣ,अपहरण
ଆବେରୀ,अबाधित
ଦକ୍ଷତା,क्षमता
Ab initio,अब इनिशिओ
ସକ୍ଷମ,सक्षम
ଅସ୍ୱାଭାବିକ |,असामान्य
ଚତୁରତା,निर्मूलन
ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |,रद्दबातल पोस्ट
ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |,वर दिल्याप्रमाणे
ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |,वर उद्धृत
ଉପରେ କହିଲା,वरील म्हणाले
ଅନୁପସ୍ଥିତି,अनुपस्थिती
ଅଧ୍ୟାପୀ,अनुपस्थित
ଅନୁପସ୍ଥିତତା,अनुपस्थिति
ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି,अनुपस्थित विधान
ସଂପୂର୍ଣ୍ଣ,परिपूर्ण
ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |,परिपूर्ण मक्तेदारी
ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା,परिपूर्ण मालकी
ଶୋଷଣ,शोषण
ବିସ୍ତୃତ,गोषवारा
ବିସ୍ତୃତ,अमूर्त स्टेटमेंट
ଅବ urd ଧ |,बेशुद्ध
ପ୍ରଚୁରତା,विपुलता
ଶକ୍ତିର ଅପବ୍ୟବହାର |,शक्तीचा गैरवापर
ଅପମାନଜନକ ଭାଷା |,अपमानास्पद भाषा
ଏକାଡେମିକ୍ |,शैक्षणिक
ଏକାଡେମିକ୍ ଆଲୋଚନା,शैक्षणिक चर्चा
ଏକାଡେମିକ୍ ଛୁଟି |,शैक्षणिक रजा
ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |,शैक्षणिक पात्रता
ଏକାଡେମିକ୍ ରେକର୍ଡ |,शैक्षणिक नोंद
ଧ୍ୟାନଦେଇ,प्रवेश
ଗ୍ରହଣ କର,स्वीकारा
ଗ୍ରହଣ,स्वीकृती
ଅଫିସ୍ ଗ୍ରହଣ,कार्यालय स्वीकारणे
ଟେଣ୍ଡର ଗ୍ରହଣ,निविदा स्वीकारणे
ପ୍ରବେଶ,प्रवेश
ପ୍ରବେଶ,प्रवेश
ଆନୁଷଙ୍ଗିକ,Ory क्सेसरी
ଦୁର୍ଘଟଣା,अपघात
ସୁକମ୍ଲାଇଜେସନ୍,सहनशीलता
ଆବାସ,निवास
ସାଥୀ,सोबत
ଆକର୍ଡ,करार
ସମ୍ପତ୍ତୀ,अनुयायी
ସେହି ଅନୁଯାୟୀ |,त्यानुसार
ଖାତା,खाते
