English,Gujarati
A C equivalent circuit,એસી સમકક્ષ સર્કિટ
A to D converter,આંકડાકીય કન્વર્ટર માટે એનાલોગ
Absolute zero,સંપૂર્ણ શૂન્ય
Absorption coefficient,શોષણ ગુણાંક
Absorption spectrum,શોષણ સ્પેક્ટ્રમ
Acceptor atom,રીસેપ્ટર અણુ
A C coupling,વૈકલ્પિક વર્તમાન જોડાણ
Accumulation of electron,ઇલેક્ટ્રોન લણણી
Accumulation of holes,છિદ્ર સંગ્રહ
Activation energy,સક્રિયકરણ ઊર્જા
Active amplifier,સક્રિય એમ્પ્લીફાયર
Active diode circuit,સક્રિય ડાયોડ સર્કિટ
Active filter,સક્રિય ફિલ્ટર
Active high pass filter,સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર
Active load,સક્રિય લોડ
Active low pass filter,સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર
Active region,સક્રિય વિસ્તાર
Adaptive electronics,અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ
Adder,ઉમેરનાર
Adjustable band width,એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન
Admittance,પ્રવેશ
Aerial,એરિયલ
Agility frequency,pep આવર્તન
Air conditioner,એર કન્ડીશનર
Alignment,ગોઠવણી
Algorithm,અલ્ગોરિધમ
All pass filter,બધા પાસ ફિલ્ટર
Alloy junction,એલોય જંકશન
Attenuation,એટેન્યુએશન
Alternating current (AC),વૈકલ્પિક પ્રવાહ
Ambient temperature,આસપાસનું તાપમાન
Ambipolar,દ્વિધ્રુવી
Amplification,એમ્પ્લીફિકેશન
Amplifier,એમ્પ્લીફાયર
Amplifier efficiency,એમ્પ્લીફાયર કાર્યક્ષમતા
Amplitude,પરિમાણો
Amplitude altenuation,કંપનવિસ્તાર એટેન્યુએશન
Amplitude modulated oscillator,કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર
Amplitude modulation,કંપનવિસ્તાર મોડ્યુલેશન
Amplitude modulator,કંપનવિસ્તાર મોડ્યુલેટર
Angstrom unit,એંગસ્ટ્રોમ એકમ
Analog circuit,એનાલોગ સર્કિટ
Analog computer,એનાલોગ કમ્પ્યુટર
Analog filter,એનાલોગ ફિલ્ટર
Analog multimeter,એનાલોગ મલ્ટિમીટર
Analog switch,એનાલોગ સ્વીચ
AND gate,અને દરવાજો
Angular frequency,કોણીય આવર્તન
Anion,"anion, anion"
Annealing temperature,એનિલિંગ તાપમાન
Anode,એનોડ
Anode amplifier,એનોડ એમ્પ્લીફાયર
Anodization,anodyne
Antenna,એન્ટેના
Antenna elements,એન્ટેના ઘટક
Anti-reflection coating,વિરોધી પ્રતિબિંબીત કોટિંગ
Anti-log amplifier,એન્ટિલોગિન એમ્પ્લીફાયર
Anti-resonant circuit,પ્રતિરોધક સર્કિટ
Aperture time,દ્વારક સમયગાળો
Apparent power,વર્ચ્યુઅલ પાવર
Apparent wiring,વાયર કનેક્શન
Approximate voltage gain,અંદાજિત વોલ્ટેજ ગેઇન
Armstrong modulator,આર્મસ્ટ્રોંગ મોડ્યુલેટર
Arrays of antenna,એન્ટેના એરે
