Kannada,Gujarati
ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್,એસી સમકક્ષ સર્કિટ
ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,આંકડાકીય કન્વર્ટર માટે એનાલોગ
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,સંપૂર્ણ શૂન્ય
ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ,શોષણ ગુણાંક
ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ,શોષણ સ્પેક્ટ્રમ
ಗ್ರಾಹಕ ಪರಮಾಣು,રીસેપ્ટર અણુ
ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ,વૈકલ્પિક વર્તમાન જોડાણ
ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು,ઇલેક્ટ્રોન લણણી
ರಂಧ್ರ ಸಂಗ್ರಹಣೆ,છિદ્ર સંગ્રહ
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,સક્રિયકરણ ઊર્જા
ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್,સક્રિય એમ્પ્લીફાયર
ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್,સક્રિય ડાયોડ સર્કિટ
ಸಕ್ರಿಯ ಫಿಲ್ಟರ್,સક્રિય ફિલ્ટર
ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್,સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર
ಸಕ್ರಿಯ ಲೋಡ್,સક્રિય લોડ
ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್,સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર
ಸಕ್ರಿಯ ಪ್ರದೇಶ,સક્રિય વિસ્તાર
ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ
ಸೇರಿಸುವವನು,ઉમેરનાર
ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ,એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન
ನುಗ್ಗುವಿಕೆ,પ્રવેશ
ಏರಿಯಲ್,એરિયલ
ಪೆಪ್ ಆವರ್ತನ,pep આવર્તન
ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ,એર કન્ડીશનર
ಜೋಡಣೆ,ગોઠવણી
