English,Punjabi
A B amplifier,ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
aberration,ਵਿਗਾੜ
abnormal propagation,ਅਸਧਾਰਨ ਸੰਚਾਰ
abrupt,"ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
absent spectrum,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
absolute,"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
absolute humidity,ਪੂਰਨ ਨਮੀ
absolute motion,ਪੂਰਨ ਗਤੀ
absolute observation,ਪੂਰਨ ਨਿਰੀਖਣ
absolute temperature,ਪੂਰਨ ਤਾਪਮਾਨ
absolute zero,ਪੂਰਨ ਜ਼ੀਰੋ
absorb,ਸੋਖਣਾ
absorber,"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
absorbing power,ਸਮਾਈ ਸਮਰੱਥਾ
absorptance,ਸਮਾਈ
absorptive,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
absorptivity,ਸਮਾਈ
abundance ratio,ਗੁਣਾ ਅਨੁਪਾਤ
accelerate,ਤੇਜ਼ ਕਰੋ
accelerated,ਜਲਦੀ
acceleration,ਪ੍ਰਵੇਗ
acceleration of gravity,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
accelerative,ਐਕਸਲੇਟਰ
accelerator,ਐਕਸਲੇਟਰ
accelerometer,ਐਕਸਲੇਰੋਮੀਟਰ
accentuator,prestresser
acceptance test,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
acceptor,ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ
acceptor molecule,ਦਾਨੀ ਅਣੂ
access,"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ"
accessibility,ਪਹੁੰਚਯੋਗਤਾ
accessory,"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)"
access time,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
accidental error,ਵਿਜ਼ਟਰ ਗਲਤੀ
accommodation,ਵਿਵਸਥਾ
accumulated,ਇਕੱਠਾ ਕੀਤਾ
accumulation,"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
accumulator,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
accuracy,ਸ਼ੁੱਧਤਾ
accurate,ਅਸਲੀਅਤ
achromat,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ
achromatic,ਅਕ੍ਰੋਮੈਟਿਕ
achromatism,ਰੰਗੀਨਤਾ
acoustical,ਧੁਨੀ
acoustically insulated,ਸਾਊਂਡਪਰੂਫ਼
acoustical phonon,ਧੁਨੀ ਫੋਨੋਨ
acoustical unit,ਆਵਾਜ਼ ਯੂਨਿਟ
acoustic,ਧੁਨੀ
acoustic generator,ਆਵਾਜ਼ ਜਨਰੇਟਰ
action and reaction,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
activation,ਸਰਗਰਮੀ
"activation, energy",ਸਰਗਰਮੀ ਊਰਜਾ
activator,"ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ"
active,ਕਿਰਿਆਸ਼ੀਲ
activity,ਸਰਗਰਮੀ
actual stress,ਅਸਲ ਤਣਾਅ
acute exposure,ਘੁਸਰ-ਮੁਸਰ
add,ਸੰਪੇਕਸ਼ਤ
addition,"ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)"
additional tone,"ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)"
additive,additive
adhesion,adhesion
adhesional energy,ਚਿਪਕਣ ਵਾਲੀ ਊਰਜਾ
adiabat,adiabat
adiabatic,adiabatic
adiathermanous,ਗਰਮੀ ਇੰਸੂਲੇਟਿੰਗ
adjacent,ਲਗਾਵ
adjustable,ਵਿਵਸਥਿਤ
admittance,ਪ੍ਰਵੇਸ਼
adsorption,ਸੋਸ਼ਣ
advanced,ਅੱਗੇ
advancing,ਪ੍ਰਗਤੀਸ਼ੀਲ
aerial,"ਆਕਾਸ਼ੀ, ਹਵਾ (ਵੀ.), ਏਰੀਅਲ (ਐਡੀ.)"
aerial current,ਐਂਟੀਨਾ ਸਟ੍ਰੀਮ
aerial survey,ਹਵਾਈ ਸਰਵੇਖਣ
aerial velocity,ਹਵਾ ਦੀ ਗਤੀ
aerodynamic coefficient,ਐਰੋਡਾਇਨਾਮਿਕ ਗੁਣਾਂਕ
aerodynamic,ਐਰੋਡਾਇਨਾਮਿਕ
aerodynamics,ਐਰੋਡਾਇਨਾਮਿਕਸ
aeronautical,ਏਅਰੋਨੌਟਿਕਲ
aeronautics,ਐਰੋਨਾਟਿਕਸ
aeropulse,ਹਵਾ ਦੀ ਨਬਜ਼
aerosphere,"ਵਾਯੂਮੰਡਲ, ਗੈਸੋਸਫੀਅਰ"
afocal system,ਫੋਕਸ ਸਿਸਟਮ
after burning,ਵਾਪਸ ਇਗਨੀਸ਼ਨ
after glow,ਵਾਪਸ ਰੋਸ਼ਨੀ
aftershock,ਉਲਝਣ
