Punjabi,Gujarati
ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ,ગર્ભિત અંગ
ਅਧੂਰਾ,ગર્ભિત બીજ
ਗਰਭਪਾਤ,ગર્ભપાત
ਸੰਪੂਰਨ ਬੂਟੀ,પૂર્ણ નીંદણ
ਸਮਾਈ,સમારકામ
ਸਮਾਈ,સમાવેશ
ਅਬੀਸਨੀਅਨ ਰਾਈ,એબિસિનિયન સરસવ
ਅਚੰਭੇ,વાસ્તવિકતા
ਰਾਜਕੁਮਾਰੀ,ઉચ્ચારણ
ਲਹਿਜ਼ਾ (ਸੈੱਲ),ઉકાળો (કોષ)
ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ,સ્વીકૃત સહનશીલતા
ਸਹਾਇਕ,સહાયક
ਅਨੁਕੂਲਤਾ,સ્વાર્થીકરણ
ਇਕੱਠਾ,સંચય
ਸ਼ੁੱਧਤਾ,ચોકસાઈ
ਏਸਰਵੂਲਸ,એકરખાંશ
ਐਸੀਟਿਫਿਕੇਸ਼ਨ,સુશોભિતતા
ਐਸਿਡਿਫਿਕੇਸ਼ਨ,એસ્બરેશન
ਐਸਿਡਮੀਟਰ,અમ્લમાપક
ਐਸਿਡਿਟੀ,અમલ્ય
ਐਸਿਡੋਫਿਲਿਕ,અમ્લ્ક
ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ,એસિડ્યુલેટેડ રોક ફોસ્ફેટ
ਐਸਿਡੁਰਿਕ,કષ્ટાત્મક
ਐਕੁਇਫਰ,પાણીમાં જતું
ਗ੍ਰਹਿਣ,સંપાદન
ਏਕੜ,એકર
ਰਕਬੇ,એકર વિસ્તાર
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ,સંકુચિત રંગસૂત્ર
ਐਕਰੋਪੇਟਲ,આછું
ਐਸ਼੍ਰੋਸੋਮ,આછક
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,કૃત્ય
ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ,સક્રિય રુટ ક્ષેત્ર
ਗੰਭੀਰ,તીવ્ર
ਅਨੁਕੂਲਤਾ,અનુકૂલનક્ષમતા
ਅਨੁਕੂਲਤਾ,અનુકૂલન
ਚਿਪਕਿਆ,સંલગ્નતા
ADPIPOSE,ચરબીયુક્ત
ਵਿਵਸਥ ਸਮੀਕਰਨ,સમાયોજન સમીકરણ
ਅਡੋਬ ਮਿੱਟੀ,ગોરી માટી
ਮਨਜ਼ੂਰ,વ્યભિચાર
ਸਾਹਸੀ,આકસ્મિક
ਏਸੀਡਿਓਸਪੋਰ,જાસૂસી
ਏਓਲੀਅਨ ਪ੍ਰਕਿਰਿਆ,વાતજ પ્રક્રિયા
ਏਓਲੀਅਨ,વાતજ
Aeate,હાથબદલો કરવો
ਏਰੀਅਲ,હવાઈ
ਐਰੋਮੀਟਰ,વાયુવાસી
ਐਰੋਸੋਲ,વિમાન
ਖਰਾਸ਼,નિલાસ્ય
