English,Hindi,Assamese,Bengali,Gujarati,Kannada,Malayalam,Marathi,Odiya,Punjabi,Tamil,Telugu
a la,"उपकक्ष,पक्षक, नासा-पक्षक",a la,a la,a la,ಒಂದು ಲಾ,ഒരു ല,एक ला,a la,ਇੱਕ ਲਾ,ஒரு லா,ఒక లా
Aaron's rod (a small abacus),"पल्लव सज्जापट्टी, फूलछड़ी",হাৰোণৰ ৰড (এটা সৰু এবাকাছ),হারুনের রড (একটি ছোট অ্যাবাকাস),એરોનની લાકડી (એક નાનું અબેકસ),ಆರನ್ ರಾಡ್ (ಸಣ್ಣ ಅಬ್ಯಾಕಸ್),ആരോണിന്റെ വടി (ഒരു ചെറിയ അബാക്കസ്),आरोनची रॉड (एक लहान अॅबॅकस),ହାରୋଣଙ୍କ ବାଡ଼ି (ଏକ ଛୋଟ ଆବାକସ୍),ਹਾਰੂਨ ਦੀ ਡੰਡੇ (ਇੱਕ ਛੋਟਾ ਅਬਾਕਸ),ஆரோனின் தடி (ஒரு சிறிய அபாகஸ்),ఆరోన్ రాడ్ (ఒక చిన్న అబాకస్)
abaciscus,मठाधिकार क्षेत्र,abaciscus,অ্যাবাসিসকাস,એબેસિસસ,ಅಬಾಸಿಸ್ಕಸ್,അബാസിസ്കസ്,ऍबॅसिस्कस,abaciscus,ਅਬੈਸਿਸਕਸ,அபாசிஸ்கஸ்,అబాసిస్కస్
abaciscus (a stone mosaic),"कुट्टिम पाषाण, कुट्टिम खर्पर",abaciscus (একটি পাথরের মোজাইক),অ্যাবাসিস্কাস (একটি পাথরের মোজাইক),એબેસીસ્કસ (પથ્થરનું મોઝેક),ಅಬಾಸಿಸ್ಕಸ್ (ಒಂದು ಕಲ್ಲಿನ ಮೊಸಾಯಿಕ್),അബാസിസ്കസ് (കല്ല് മൊസൈക്ക്),अॅबॅसिस्कस (एक दगडी मोज़ेक),abaciscus (ଏକ ପଥର ମୋଜାଇକ୍),ਅਬੈਸਿਸਕਸ (ਇੱਕ ਪੱਥਰ ਦਾ ਮੋਜ਼ੇਕ),அபாசிஸ்கஸ் (ஒரு கல் மொசைக்),అబాసిస్కస్ (ఒక రాయి మొజాయిక్)
abacus,फलक,abacus,অ্যাবাকাস,અબેકસ,ಅಬ್ಯಾಕಸ್,അബാക്കസ്,अॅबॅकस,ଆବାକସ୍ |,abacus,அபாகஸ்,అబాకస్
abamurus,पुश्ता,abamurus,আবমুরাস,અબેમુરસ,ಅಬಾಮುರಸ್,അബാമുറസ്,अबमुरस,abamurus,ਅਬਾਮੁਰਸ,அபமுரஸ்,అబామురస్
abat-jour,तिर्यक गवाक्ष,abat-jour,abat-jour,abat-jour,abat-jour,abat-jour,abat-jour,abat-jour,abat-jour,abat-jour,abat-jour
abbacy,मठाधीश आवास; मठाधीरात्व,abbacy,অ্যাবসি,મઠ,ಅಬ್ಬಾಸಿ,ആശ്രമം,मठ,abbacy,abbacy,மடாதிபதி,మఠాధిపత్యము
abbadia (=badia),"मठ, गिरजा",আব্বাদিয়া (=বদিয়া),আবদিয়া (=বাদিয়া),અબદિયા (=બડિયા),ಅಬ್ಬಾಡಿಯಾ (=ಬಾಡಿಯಾ),അബ്ബാഡിയ (=ബദിയ),अब्बाडिया (=बडिया),abbadia (= badia),ਅਬਦੀਆ (=ਬਾਦੀਆ),அப்பாடியா (=பாடியா),అబ్బాడియా (=బాడియా)
abbeillio-acheulian,अबेबीली एश्यूली,abbeillio-এচেউলিয়ান,abbeillio-acheulian,abbeillio-acheulian,ಅಬ್ಬೆಲಿಯೊ-ಅಚೆಯುಲಿಯನ್,abbeillio-acheulian,abbeillio-acheulian,abbeillio-acheulian |,abbeillio-acheulian,abbeillio-acheulian,abbeillio-acheulian
Abberrvillian,अबेवीली उद्योग,এববেৰভিলিয়ান,আবেররভিলিয়ান,એબરર્વિલિયન,ಅಬ್ಬರ್ವಿಲಿಯನ್,അബെർവില്ലിയൻ,अबेरव्हिलियन,ଆବେରଭିଲିଆନ୍ |,ਐਬਰਵਿਲੀਅਨ,அபேர்வில்லியன்,అబ్బర్విలియన్
abberrvillian order,अबेवीली द् विमुख कुठार,abberrvillian ক্ৰম,aberrvillian আদেশ,એબરવિલિયન ઓર્ડર,ಅಬ್ಬರ್ವಿಲಿಯನ್ ಆದೇಶ,abberrvillian ഓർഡർ,abberrvillian ऑर्डर,abberrvillian କ୍ରମ |,aberrvillian ਆਰਡਰ,abberrvillian ஒழுங்கு,అబెర్విలియన్ ఆర్డర్
Abbevillian handaxe,अबेवेली हस्तकुठार,এবেভিলিয়ান হেণ্ডেক্স,অ্যাবেভিলিয়ান হ্যান্ড্যাক্স,એબેવિલિયન હેન્ડેક્સ,ಅಬ್ಬೆವಿಲಿಯನ್ ಹ್ಯಾಂಡ್ಯಾಕ್ಸ್,അബെവില്ലിയൻ കൈത്തറി,एबेव्हिलियन हँडॅक्स,ଆବେଭିଲିଆନ୍ ହ୍ୟାଣ୍ଡାକ୍ସ |,ਐਬੇਵਿਲੀਅਨ ਹੈਂਡੈਕਸ,அபேவில்லியன் கைக்குழந்தை,అబ్బేవిలియన్ హ్యాండ్యాక్స్
abbevillian industry,अबेबीली,abbevillian উদ্যোগ,আবাবিলিয়ান শিল্প,એબેવિલિયન ઉદ્યોગ,ಅಬ್ಬೆವಿಲಿಯನ್ ಉದ್ಯಮ,abbevillian വ്യവസായം,अबेव्हिलियन उद्योग,abbevillian ଶିଳ୍ପ |,ਐਬੇਵਿਲੀਅਨ ਉਦਯੋਗ,abbevillian தொழில்,అబ్బెవిలియన్ పరిశ్రమ
Abbey,"भिक्षु तथा भिक्षुणी विहारों का समूह,मठाधीश या मठाध्यक्ष",এবে,অ্যাবে,એબી,ಅಬ್ಬೆ,ആബി,अबे,ଆବି,ਐਬੇ,அபே,అబ్బే
Abbey of Westminster,वैस्टमिन्सटर मठ,ৱেষ্টমিনিষ্টাৰৰ এবে,ওয়েস্টমিনস্টারের অ্যাবে,વેસ્ટમિન્સ્ટરના એબી,ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ,വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി,वेस्टमिन्स्टरचे मठाधीश,ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |,ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ,வெஸ்ட்மின்ஸ்டர் அபே,అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్
abbeystead (=abbeystede),"मठाभूमि, मठक्षेत्र",ট্যাগ এর সাথে ছবি &#39;abbeystede&#39;:,abbeystead (=abbeystede),એબેસ્ટેડ (=મધ્યક્ષેત્ર),ಅಬ್ಬೆಸ್ಟೆಡ್ (=ಅಬ್ಬೆಸ್ಟೆಡ್),ആശ്രമാധിപൻ (=ആശ്രമാധിപൻ),abbeysted (= abbeystede),abbeystead (= abbeystede),abbeysted (=abbeystede),அபேஸ்டெட் (=அபிஸ்டெட்),మఠాధిపతి (=అబ్బాయిస్టెడ్)
abbozzo,अबोजो रेखाचित्र,abbozzo,abbozzo,એબોઝો,ಅಬ್ಬೊಜೊ,അബ്ബോസോ,अबोझो,abbozzo,ਐਬੋਜ਼ੋ,abbozzo,అబ్బోజ్జో
Abdarkhana,"आबदार खाना, पेय जल का भंडार",আব্দৰখানা,আবদারখানা,અબ્દરખાના,ಅಬ್ದರ್ಖಾನ,അബ്ദർഖാന,अबदरखाना,ଅବଦାରଖାନା |,ਅਬਦਰਖਾਨਾ,அப்தர்கானா,అబ్దర్ఖానా
abditory,मालखाना,abditory,ত্যাগী,ત્યાગી,ತ್ಯಾಗ,സ്ഥാനത്യാഗം,परित्याग,ଅବକ୍ଷୟ,ਅਯੋਗ,துறவு,త్యజించిన
abetment,कृंतन; निहनन,abetment,প্ররোচনা,ઉશ્કેરણી,ಕುಮ್ಮಕ್ಕು,പ്രേരണ,प्रवृत्त करणे,abetment,ਪ੍ਰੇਰਣਾ,உந்துதல்,ప్రేరేపణ
Abkhasian people,अबखार्सी जन,আবখাছিয়ান জনগোষ্ঠী,আবখাসিয়ান মানুষ,અબખાસિયન લોકો,ಅಬ್ಖಾಸಿಯನ್ ಜನರು,അബ്ഖാസിയൻ ജനത,अबखाशियन लोक,ଅବଖାସିଆନ୍ ଲୋକ |,ਅਬਖਾਸੀਅਨ ਲੋਕ,அப்காசிய மக்கள்,అబ్ఖాసియన్ ప్రజలు
abkshan,आबकशाँ,অবক্ষন,abkshan,abkshan,ಅಬ್ಕ್ಷನ್,അബ്ക്ഷൻ,abkshan,abkshan,abkshan,அப்க்ஷன்,అబ్క్షన్
abolition,"विलोपन, लोप",বিলুপ্তি,বিলুপ্তি,નાબૂદી,ನಿರ್ಮೂಲನೆ,ഉന്മൂലനം,निर्मूलन,ରଦ୍ଦ,ਖ਼ਤਮ ਕਰਨਾ,ஒழித்தல்,రద్దు
abolition of slavery,दासप्रथा का उन्मूलन,দাসত্ব বিলুপ্তি,দাসত্বের সমাপ্তি,ગુલામી નાબૂદી,ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ,അടിമത്തം നിർത്തലാക്കൽ,गुलामगिरीचे उच्चाटन,ଦାସତ୍ୱ ରଦ୍ଦ,ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ,அடிமைத்தனத்தை ஒழித்தல்,బానిసత్వం నిర్మూలన
aboriginal,आदिवासी,আদিবাসী,আদিবাসী,આદિવાસી,ಮೂಲನಿವಾಸಿ,ആദിവാസികൾ,आदिवासी,ଆଦିବାସୀ,ਆਦਿਵਾਸੀ,பழங்குடியினர்,ఆదివాసి
abrader,अपघर्षक,abrader,abrader,અબ્રાડર,ಅಬ್ರಾಡರ್,അബ്രാഡർ,abrader,abrader,abrader,சிராய்ப்புக்காரன்,అబ్రాడర్
Abraham Era,अब्राहम काल,আব্ৰাহাম যুগ,আব্রাহাম যুগ,અબ્રાહમ યુગ,ಅಬ್ರಹಾಂ ಯುಗ,അബ്രഹാം യുഗം,अब्राहम युग,ଅବ୍ରହାମ ଏରା,ਅਬਰਾਹਮ ਯੁੱਗ,ஆபிரகாம் சகாப்தம்,అబ్రహం యుగం
abrasion,"अपघर्षण, घिसाई",ঘৰ্ষণ,ঘর্ষণ,ઘર્ષણ,ಸವೆತ,ഉരച്ചിലുകൾ,घर्षण,ଘୃଣା,ਘਬਰਾਹਟ,சிராய்ப்பு,రాపిడి
abraum,गेरु,অব্ৰাউম,আব্রাম,અબ્રામ,ಅಬ್ರಾಮ್,അബ്രാം,अब्राम,ଆବ୍ରାମ୍ |,ਅਬਰਾਮ,ஆப்ரம்,అబ్రమ్
abraxas,"गंडा, तावीज, अब्रेक्सस",আব্ৰাক্সাছ,abraxas,અબ્રાક્સાસ,ಅಬ್ರಾಕ್ಸಾಸ್,അബ്രാക്സകൾ,abraxas,abraxas,abraxas,அபிராக்சாஸ்,అబ్రాక్సాస్
abreuvoir,रद्दे की दराज,abreuvoir,abreuvoir,અબ્રુવોયર,ಅಬ್ರೂವಾಯರ್,അബ്ര്യൂവോയർ,abreuvoir,abreuvoir,abreuvoir,அப்ரூவாயர்,అబ్రూవాయర్
absentee landlord,प्रवासी ज़मीदार,অনুপস্থিত মালিক,অনুপস্থিত বাড়িওয়ালা,ગેરહાજર મકાનમાલિક,ಗೈರುಹಾಜರಿ ಜಮೀನುದಾರ,ഹാജരാകാത്ത ഭൂവുടമ,अनुपस्थित जमीनदार,ଅନୁପସ୍ଥିତ ଜମିଦାର,ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ,இல்லாத நில உரிமையாளர்,హాజరుకాని భూస్వామి
absentee sovereignty ship,अन्यत्रवासी सम्प्रभुता,অনুপস্থিত সাৰ্বভৌমত্ব জাহাজ,অনুপস্থিত সার্বভৌমত্ব জাহাজ,ગેરહાજર સાર્વભૌમત્વ જહાજ,ಗೈರುಹಾಜರಿ ಸಾರ್ವಭೌಮತ್ವದ ಹಡಗು,ഹാജരാകാത്ത പരമാധികാര കപ്പൽ,अनुपस्थित सार्वभौमत्व जहाज,ଅନୁପସ୍ଥିତ ସାର୍ବଭ .ମତ୍ୱ ଜାହାଜ |,ਗੈਰਹਾਜ਼ਰੀ ਪ੍ਰਭੂਸੱਤਾ ਜਹਾਜ਼,இல்லாத இறையாண்மை கப்பல்,గైర్హాజరు సార్వభౌమాధికార నౌక
absolute,निरपेक्ष,নিৰপেক্ষ,পরম,સંપૂર્ણ,ಸಂಪೂರ್ಣ,കേവല,निरपेक्ष,ସଂପୂର୍ଣ୍ଣ,ਅਸੀਮ,அறுதி,సంపూర్ణ
absolute chronology,निरपेक्ष कालानुक्रम,নিৰপেক্ষ কালক্ৰম,পরম কালানুক্রম,સંપૂર્ણ ઘટનાક્રમ,ಸಂಪೂರ್ಣ ಕಾಲಗಣನೆ,കേവല കാലഗണന,परिपूर्ण कालगणना,ସଂପୂର୍ଣ୍ଣ ଇତିହାସ,ਪੂਰਨ ਕਾਲਕ੍ਰਮ,முழுமையான காலவரிசை,సంపూర్ణ కాలక్రమం
absolute dating,"निरपेक्ष तिथि निर्धारण, निरपेक्ष तिथ्‍यांकन",নিৰপেক্ষ ডেটিং,পরম ডেটিং,સંપૂર્ણ ડેટિંગ,ಸಂಪೂರ್ಣ ಡೇಟಿಂಗ್,സമ്പൂർണ്ണ ഡേറ്റിംഗ്,परिपूर्ण डेटिंग,ସଂପୂର୍ଣ୍ଣ ଡେଟିଂ |,ਪੂਰਨ ਡੇਟਿੰਗ,முழுமையான டேட்டிங்,సంపూర్ణ డేటింగ్
absolutism,निरंकुशशासनवाद,নিৰপেক্ষতাবাদ,নিরঙ্কুশতা,નિરંકુશતા,ನಿರಂಕುಶವಾದ,കേവലവാദം,निरंकुशता,ସଂପୂର୍ଣ୍ଣତା |,ਨਿਰੰਕੁਸ਼ਤਾ,முழுமையானவாதம்,సంపూర్ణవాదం
