Malayalam,English
എ.സി തുല്യമായ സർക്യൂട്ട്,A C equivalent circuit
അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ,A to D converter
കേവല പൂജ്യം,Absolute zero
ആഗിരണം ഗുണകം,Absorption coefficient
ആഗിരണം സ്പെക്ട്രം,Absorption spectrum
റിസപ്റ്റർ ആറ്റം,Acceptor atom
ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്,A C coupling
ഇലക്ട്രോൺ വിളവെടുപ്പ്,Accumulation of electron
ദ്വാര സംഭരണം,Accumulation of holes
സജീവമാക്കൽ ഊർജ്ജം,Activation energy
സജീവ ആംപ്ലിഫയർ,Active amplifier
സജീവ ഡയോഡ് സർക്യൂട്ട്,Active diode circuit
സജീവ ഫിൽട്ടർ,Active filter
സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ,Active high pass filter
സജീവ ലോഡ്,Active load
സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ,Active low pass filter
സജീവമായ പ്രദേശം,Active region
അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്,Adaptive electronics
ചേർക്കുന്നയാൾ,Adder
ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം,Adjustable band width
നുഴഞ്ഞുകയറ്റം,Admittance
ഏരിയൽ,Aerial
പെപ് ആവൃത്തി,Agility frequency
എയർ കണ്ടീഷണർ,Air conditioner
വിന്യാസം,Alignment
അൽഗോരിതം,Algorithm
എല്ലാ പാസ് ഫിൽട്ടറും,All pass filter
അലോയ് ജംഗ്ഷൻ,Alloy junction
ശോഷണം,Attenuation
ആൾട്ടർനേറ്റിംഗ് കറന്റ്,Alternating current (AC)
അന്തരീക്ഷ ഊഷ്മാവ്,Ambient temperature
ബൈപോളാർ,Ambipolar
ആംപ്ലിഫിക്കേഷൻ,Amplification
ആംപ്ലിഫയർ,Amplifier
ആംപ്ലിഫയർ കാര്യക്ഷമത,Amplifier efficiency
അളവുകൾ,Amplitude
ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ,Amplitude altenuation
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ,Amplitude modulated oscillator
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ,Amplitude modulation
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ,Amplitude modulator
angstrom യൂണിറ്റ്,Angstrom unit
അനലോഗ് സർക്യൂട്ട്,Analog circuit
അനലോഗ് കമ്പ്യൂട്ടർ,Analog computer
അനലോഗ് ഫിൽട്ടർ,Analog filter
അനലോഗ് മൾട്ടിമീറ്റർ,Analog multimeter
അനലോഗ് സ്വിച്ച്,Analog switch
ഒപ്പം ഗേറ്റും,AND gate
കോണീയ ആവൃത്തി,Angular frequency
"അയോൺ, അയോൺ",Anion
അനീലിംഗ് താപനില,Annealing temperature
ആനോഡ്,Anode
ആനോഡ് ആംപ്ലിഫയർ,Anode amplifier
അനോഡൈൻ,Anodization
ആന്റിന,Antenna
ആന്റിന ഘടകം,Antenna elements
