Punjabi,Tamil
ਅਬੇਲੀਅਨ ਸਮੂਹ,அபெலியன் குழு
ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ,அபிலியன் அரைகுழு
abscissa,abscissa
ਅਸੀਮ,அறுதி
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,முழுமையான ஒருங்கிணைப்பு
ਪੂਰਨ ਗਲਤੀ,முழுமையான பிழை
ਪੂਰਨ ਅਧਿਕਤਮ,முழுமையான அதிகபட்சம்
ਪੂਰਨ ਘੱਟੋ-ਘੱਟ,முழுமையான குறைந்தபட்சம்
ਸਹੀ ਮੁੱਲ,துல்லியமான மதிப்பு
ਪੂਰਨ ਗਤੀ,முழுமையான வேகம்
ਸਾਰ ਅਲਜਬਰਾ,சுருக்க இயற்கணிதம்
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,சுருக்க குழு கோட்பாடு
ਪ੍ਰਵੇਗ,முடுக்கம்
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,புவியீர்ப்பு காரணமாக முடுக்கம்
ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ,ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ,ஏற்றுக்கொள்ளக்கூடிய வரம்பு
ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ,ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை
ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ,ஏற்றுக்கொள்ளக்கூடிய மாதிரி
ਸੰਚਿਤ ਗਲਤੀ,திரட்டப்பட்ட பிழை
ਸ਼ੁੱਧਤਾ,துல்லியம்
ਐਕਟਿੰਗ ਫੋਰਸ,செயல்படும் சக்தி
ਕਾਰਵਾਈ,நடவடிக்கை
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,செயல் மற்றும் எதிர்வினை
ਅਸਲ ਵਿਗਿਆਨ,உண்மையான அறிவியல்
ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ,கடுமையான கோண முக்கோணம்
acyclic,அசைக்ளிக்
ਸ਼ਾਮਲ ਕਰੋ,கூட்டு
ਜੋੜਨ ਵਾਲਾ,சேர்ப்பான்
ਇਸ ਤੋਂ ਇਲਾਵਾ,கூடுதலாக
ਜੋੜ ਫਾਰਮੂਲਾ,கூட்டல் சூத்திரம்
ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,சிக்கலான எண்களைச் சேர்த்தல்
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,செயல்பாடுகளைச் சேர்த்தல்
ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ,மெட்ரிக்குகள் சேர்த்தல்
ਬਹੁਪਦ ਦਾ ਜੋੜ,பல்லுறுப்புக்கோவைகள் சேர்த்தல்
ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ,நிகழ்தகவுகளைச் சேர்த்தல்
ਵੈਕਟਰ ਦਾ ਜੋੜ,திசையன்கள் சேர்த்தல்
ਵਾਧੂ ਪ੍ਰਮੇਯ,கூட்டல் தேற்றம்
additive ਗਰੁੱਪ,சேர்க்கை குழு
additive ਉਲਟ,தலைகீழ் சேர்க்கை
additive ਸੰਪਤੀ,சேர்க்கை சொத்து
additivity,சேர்க்கை
ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ,அருகாமை அணி
ਨੇੜੇ,அருகில்
ਨੇੜੇ ਦੇ ਕੋਣ,அருகில் உள்ள கோணங்கள்
ਨੇੜੇ ਦਾ ਸਿਰਾ,அருகில் உள்ள உச்சி
ਨਾਲ ਜੁੜੋ,இணை
ਨਾਲ ਲੱਗਦੇ,அருகில்
ਸੰਜੋਗ ਨਿਰਧਾਰਕ,இணைந்த தீர்மானிப்பான்
ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ,இணை வேறுபாடு சமன்பாடு
ਸੰਜੋਗ ਸਮੀਕਰਨ,இணைந்த சமன்பாடு
ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ,இணை அணி
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,மேட்ரிக்ஸின் இணைப்பு
ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ,adjugate matrix
ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ,காற்றியக்க விசை
ਐਰੋਡਾਇਨਾਮਿਕਸ,காற்றியக்கவியல்
affine ਜਿਓਮੈਟਰੀ,இணைப்பு வடிவியல்
affine ਮੈਪਿੰਗ,இணைப்பு மேப்பிங்
affine ਪਰਿਵਰਤਨ,இணைப்பு மாற்றம்
ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ,ஒருங்கிணைக்கும் மாறிகள்
ਅਲਜਬਰਾ,இயற்கணிதம்
ਬੀਜਗਣਿਤ ਬੰਦ,இயற்கணிதப்படி மூடப்பட்டது
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,இயற்கணித சமன்பாடு
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,இயற்கணித வெளிப்பாடு
ਬੀਜਗਣਿਤ ਰੂਪ,இயற்கணித வடிவம்
ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ,இயற்கணித செயல்பாடு
ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ,இயற்கணித வடிவியல்
ਬੀਜਗਣਿਤ ਗੁਣਾ,இயற்கணிதப் பெருக்கம்
ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ,இயற்கணித அமைப்பு
ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ,அனைத்து முழு எண் பிரச்சனை
ਵੰਡ ਸਮੱਸਿਆ,ஒதுக்கீடு பிரச்சனை
ਵਰਣਮਾਲਾ ਸੰਕੇਤ,அகரவரிசைக் குறியீடு
ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ,அகரவரிசை எழுத்து
ਵਿਕਲਪਕ ਕੋਣ,மாற்று கோணம்
ਬਦਲਵੇਂ ਰੂਪ,மாற்று வடிவம்
ਬਦਲਵੇਂ ਸਮੂਹ,மாற்று குழு
ਬਦਲਵੀਂ ਮੈਟਰਿਕਸ,மாற்று அணி
ਬਦਲਵੀਂ ਲੜੀ,மாற்று தொடர்
ਵਿਕਲਪਕ ਅਨੁਮਾਨ,மாற்று கருதுகோள்
ਵਿਕਲਪਕ ਅਨੁਕੂਲਤਾ,மாற்று ஆப்டிமா
ਵਿਕਲਪਕ ਨਤੀਜਾ,மாற்று விளைவு
ਐਨਾਲਾਗ-ਟੂ-ਡਿਜੀਟਲ ਕਨਵਰਟਰ,அனலாக்-டு-டிஜிட்டல் மாற்றி
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,அனலாக் கணினி
ਵਿਸ਼ਲੇਸ਼ਣ,பகுப்பாய்வு
ਸਹਿਪ੍ਰਸਤੀ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,இணையான பகுப்பாய்வு
ਗਣਨਾ ਡੇਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,கணக்கியல் தரவு பகுப்பாய்வு
ਵਿਭਿੰਨਤਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,மாறுபாட்டின் பகுப்பாய்வு
ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ,பகுப்பாய்வு வடிவியல்
ਵਿਸ਼ਲੇਸ਼ਣ ਫੰਕਸ਼ਨ,பகுப்பாய்வு செயல்பாடு
ਕੋਣ,கோணம்
ਸੰਪਰਕ ਦਾ ਕੋਣ,தொடர்பு கோணம்
ਭਟਕਣ ਦਾ ਕੋਣ,விலகல் கோணம்
ਡਿਪਰੈਸ਼ਨ ਦਾ ਕੋਣ,மனச்சோர்வின் கோணம்
ਭਟਕਣ ਦਾ ਕੋਣ,விலகல் கோணம்
ਵਿਭਿੰਨਤਾ ਦਾ ਕੋਣ,விலகல் கோணம்
ਉਚਾਈ ਦਾ ਕੋਣ,உயரத்தின் கோணம்
ਘਟਨਾ ਦਾ ਕੋਣ,நிகழ்வு கோணம்
ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ,திட்ட கோணம்
ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ,பிரதிபலிப்பு கோணம்
ਅਪਵਰਤਨ ਦਾ ਕੋਣ,ஒளிவிலகல் கோணம்
ਰੋਟੇਸ਼ਨ ਦਾ ਕੋਣ,சுழற்சி கோணம்
ਕੁੱਲ ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ,மொத்த பிரதிபலிப்பு கோணம்
ਕੋਣੀ ਪ੍ਰਵੇਗ,கோண முடுக்கம்
ਕੋਣੀ ਗਤੀ,கோண இயக்கம்
ਕੋਣੀ ਗਤੀ,கோண வேகம்
ਕੋਣੀ ਵੇਗ,கோண வேகம்
ਐਨੁਲਸ,வளையம்
ਜਵਾਬ,பதில்
ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ,எதிர்ப்பு வழித்தோன்றல்
ਵਿਰੋਧੀ ਸਮਰੂਪ ਫੰਕਸ਼ਨ,சமச்சீரற்ற செயல்பாடு
ਲਾਗੂ ਹੈ,பொருந்தும்
ਐਪਲੀਕੇਸ਼ਨ,விண்ணப்பம்
ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ,பயன்பாட்டு டைனமிக் நிரலாக்கம்
ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ,பயன்படுத்தப்படும் வடிவியல்
ਲਾਗੂ ਗਣਿਤ,பயன்பாட்டு கணிதம்
ਲਾਗੂ ਅੰਕੜੇ,பயன்பாட்டு புள்ளிவிவரங்கள்
ਲਗਭਗ,தோராயமாக
ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ,தோராயமாக தொடர்ச்சியான செயல்பாடு
ਅੰਦਾਜ਼ਨ ਢੰਗ,தோராயமான முறை
ਅੰਦਾਜ਼ਨ ਹੱਲ,தோராயமான தீர்வு
ਲਗਭਗ ਸਮੱਸਿਆ,தோராயமான பிரச்சனை
ਲਗਭਗ ਸੰਪਤੀ,தோராயமான சொத்து
ਯੋਗਤਾ ਟੈਸਟ ਬੈਟਰੀ,திறன் சோதனை பேட்டரி
Argand ਚਿੱਤਰ,அர்காண்ட் வரைபடம்
ਆਪਹੁਦਰੇ ਢੰਗ ਨਾਲ ਚੁਣਿਆ ਗਿਆ ਹੈ,தன்னிச்சையாக தேர்வு
ਮਨਮਾਨੀ,தன்னிச்சையான
ਆਪਹੁਦਰੇ ਸਥਿਰ,தன்னிச்சையான மாறிலி
ਆਪਹੁਦਰੇ ਤੱਤ,தன்னிச்சையான உறுப்பு
ਮਨਮਾਨੀ ਬਿੰਦੂ,தன்னிச்சையான புள்ளி
ਆਰਕੀਮੀਡੀਅਨ ਕਾਨੂੰਨ,ஆர்க்கிமிடியன் சட்டம்
ਆਰਕੀਮੀਡੀਜ਼ ਸਿਧਾਂਤ,ஆர்க்கிமிடிஸ் கொள்கை
ਚਾਪ ਦੀ ਲੰਬਾਈ,வில்லின் நீளம்
ਚੱਕਰ ਦਾ ਚਾਪ,வட்ட வில்
ਚਾਪ ਸਾਇਨ ਵੰਡ,ஆர்க் சைன் விநியோகம்
ਚਾਪ ਸਾਇਨ ਪਰਿਵਰਤਨ,ஆர்க் சைன் மாற்றம்
ਖੇਤਰ,பகுதி
ਖੇਤਰੀ ਬਣਤਰ,பகுதி அமைப்பு
ਕੰਪਲੈਕਸ ਨੰਬਰ ਦੀ ਦਲੀਲ,கலப்பு எண்ணின் வாதம்
ਗਣਿਤ ਦਾ ਮਤਲਬ,எண்கணித சராசரி
ਗਣਿਤ ਦੀ ਕਾਰਵਾਈ,எண்கணித செயல்பாடு
ਗਣਿਤ ਦੀ ਇਕਾਈ,எண்கணித அலகு
ਪ੍ਰਬੰਧ,ஏற்பாடு
ਐਰੇ,வரிசை
ਨਕਲੀ ਸੈਟੇਲਾਈਟ,செயற்கை செயற்கைக்கோள்
