Kannada,Gujarati
ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,મહારમાન સપાટી
ಹೊಟ್ಟೆ,પેટ
ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ,પેટનો એરોર્ટા
ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ,આધાર ગેંગલિયા
ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್,Abલ્મોશ્ચસ એસ્ક્યુલ્ટસ
ವಿರೂಪಗೊಳಿಸುವಿಕೆ,વિપુલતા
ಅಬ್ಬರ,નાજુક
ಅಬಿಂಗ್ಡನ್ ಆಮೆ,એબિંગ્ડન કાચબો
ಕ್ಷು ತನ್ನತೆ,સ્વત્વાર્પણ
ಅಸಹ್ಯವಾದ,અહંકારી
ಉದಾಸೀಯ ಅಂಶ,અભણ પરિબળ
ಅಸಹಜ ಮೂತ್ರ,અસામાન્ય પેશાબ
ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್,એબીઓ રક્ત જૂથ
ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ,સદસ્યાટ
ಕಂದಿಸುವುದು,વિકલાંગતા
ಹೀರಿಕೊಳ್ಳಿ,શોષવું
ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ,શોષણ ટોચ
ಹೀರುವಿಕೆ,સમાવેશ
ಅಕಿಯಾ ಕ್ಯಾಟೆಚು,બાવળ
ಅಕ್ಯಾಬಿಕಾ,એકરિયા અરબીકા
ಅಣಕಾದ,એકર
ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ,સ્વીકાર્ય જાતીય વર્તન
ಪರಿಕರ ಗ್ರಂಥಿ,સહાયક ગ્રંથિ
ಪರಿಕರ ಗ್ರಂಥಿ,સહાયક ગ્રંથિ
ಪರಿಕರ ಅಂಗ,સહાયક અંગ
ಒಗ್ಗೂಡಿಸುವಿಕೆ,સ્વાર્થીકરણ
ಒಗ್ಗಿಸು,મામૂલી કરવું
ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು),આવાસ (ધ્યાન કેન્દ્રિત)
ಕಣ್ಣಿನ ವಸತಿ,આંખનું સ્થાન
ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ,પરિધિ
ಸಂಗ್ರಹಣೆ,સંચય
ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ,કાર્બનિક પદાર્થનું સંચય
ಮಣ್ಣಿನ ಸಂಗ್ರಹ,જમીનનો સંચય
ಉಭಯಾಕಾರದ,મધ્યમ
ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ,મધ્ય જીવ
ಅಸೆಟಾಬುಮ್,અકારો
ಅಸೆಟಾಲ್ಡಿಹೈಡ್,Ecetaldehyde
ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್,એસીટીલ કોએન્ઝાઇમ
ಕಸ,એકલતા
ಮೊಲ ಪ್ರಕಾರ,અચેન પ્રકાર
ಉಂಗುರ,અહંકાર
