Gujarati,Malayalam
ગર્ભપાત,ഉപേക്ഷിക്കുക
ગર્ભપાત સમય,ടൈമർ നിർത്തുക
અબાધિત સંબોધન,കേവല വിലാസം
પૂર્ણ સંબોધન,കേവല വിലാസം
સંપૂર્ણ સંમેલન,കേവല അസംബന്ധം
પૂર્ણ સંહિતા,കേവല കോഡ്
પૂર્ણ સંહિતા,കേവല കോഡിംഗ്
પૂર્ણ આદેશ,കേവല കമാൻഡ്
સંપૂર્ણ સંકલન,കേവല കോർഡിനേറ്റ്
અબાધિત આંકડા,കേവല ഡാറ്റ
નિરપેક્ષ ભૂલ,കേവല പിശക്
પૂર્ણ અભિવ્યક્તિ,കേവല പദപ്രയോഗം
અબાધિત સૂચના,കേവല പ്രബോധനം
અબાધિત લોડર,കേവല ലോഡർ
સંપૂર્ણ,കേവല ക്രമം
પૂર્ણ કાર્યક્રમ,കേവല പ്രോഗ്രാമിംഗ്
અબાધિત મુદત,കേവല പദം
અબાધિત મૂલ્ય,യഥാർത്ഥ മൂല്യം
અબાધિત વેક્ટર,കേവല വെക്റ്റർ
નિષ્ક્રિય,വേര്പെട്ടുനില്ക്കുന്ന
યોગ્યતા,അമൃതിയുള്ള
સાર -સારાંશ,അമൂർത്ത ചിഹ്നം
પ્રવેગશ ગાળો,ത്വരിതപ്പെടുത്തൽ കാലയളവ്
પ્રવેગકોનો સમય,ത്വരണം സമയം
ઉચ્ચારણ,സരഭാരം
સ્વીકૃતિ કસોટી,സ്വീകാര്യത പരിശോധന
પ્રવેશ,പ്രവേശനം
પ્રવેશ હાથ,കൈ
પ્રવેશ -વ્યવસ્થા,ആക്സസ് ക്രമീകരണം
પ્રવેશ સત્તાવાર,അതോറിറ്റി ആക്സസ് ചെയ്യുക
પ્રવેશ -ખર્ચ,ആക്സസ് ചാർജ്
પ્રવેશ -વર્ગ,ആക്സസ് ക്ലാസ്
પ્રવેશ -આધાર વ્યવસ્થાપન,ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക
પર્યાવરણ,പ്രവേശന അന്തരീക്ഷം
પ્રવેશ અંતર,വിടവ് ആക്സസ് ചെയ്യുക
પ્રવેશ -સૂચિ,ആക്സസ് സൂചിക
પ્રવેશ -રેખા,ആക്സസ് ലൈൻ
પ્રવેશ -પદ્ધતિ,ആക്സസ് സംവിധാനം
પ્રવેશ પદ્ધતિ,ആക്സസ് രീതി
પ્રવેશ -પદ્ધતિ,ആക്സസ് രീതി പതിവ്
પ્રવેશ -પદ્ધતિ,ആക്സസ് മോഡ്
પ્રવેશ -હક,വലത് ആക്സസ്
પ્રવેશ -સ્કેન,ആക്സസ് സ്കാൻ
પ્રવેશ સમય,ആക്സസ് സമയം
નામું,അക്കൌണ്ടിംഗ്
હિસાબ -પદ્ધતિ પદ્ધતિ,അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം
હિસાબ -વ્યવસ્થા,അക്ക ing ണ്ടിംഗ് മെഷീൻ
ખાતા નંબર,അക്കൗണ്ട് നമ്പർ
સંચયી પ્રજનનકર્તા,അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം
એકઠા કરનાર,സഞ്ചിതം
સંચિત રજિસ્ટર,സഞ്ചിത രജിസ്റ്റർ
સંચય -પાળી સૂચના,സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം
ચોકસાઈ,കൃതത
ચોકસાઈ નિયંત્રણ,കൃത്യത നിയന്ത്രണ പ്രതീകം
ચોકસાઈ નિયંત્રણ પદ્ધતિ,കൃത്യത നിയന്ത്രണ സംവിധാനം
પાસાનો પાસાનો પો,എയ്സ് പൈലറ്റ്
પાત્ર સ્વીકારવું,പ്രതീകം അംഗീകരിക്കുക
ધ્વનિકર્તા,അക്കോസ്റ്റിക് കപ്ലർ
ધ્વનિ -જોડાણ,അക്കോസ്റ്റിക് കപ്ലിംഗ്
ધ્વનિ વિલંબ રેખા,അക്ക ou സ്റ്റിക് കാലതാമസം
ધ્વનિમૂર્તિ,അക്കോസ്റ്റിക് മെമ്മറി
ધ્વનિ -મોડેમ,അക്കോസ്റ്റിക് മോഡം
ધ્વનિ સંકેત,അക്കോസ്റ്റിക് സിഗ്നൽ
ધ્વનિ સંગ્રહ,അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്
ટૂંકાક્ષર,സംക്ഷേപം
ક્રિયા,പവര്ത്തി
કાર્ય -ચક્ર,പ്രവർത്തന ചക്രം
ક્રિયા -રેખ,ആക്ഷൻ ലൈൻ
ક્રિયા,ആക്ഷൻ സന്ദേശം
કાર્ય -સ્પષ્ટીકરણ,പ്രവർത്തന സവിശേഷത
સક્રિય,സജീവമാക്കല്
સક્રિય,സജീവമായ
સક્રિય ફાઈલ,സജീവ ഫയൽ
સક્રિય રેખા,സജീവ ലൈൻ
સક્રિય કડી,സജീവ ലിങ്ക്
સક્રિય માસ્ટર ફાઇલ,സജീവ മാസ്റ്റർ ഫയൽ
સક્રિય મુખ્ય વસ્તુ,സജീവ മാസ്റ്റർ ഇനം
સક્રિય ઉપગ્રહ,സജീവ ഉപഗ്രഹം
સક્રિય કેન્દ્ર,സജീവ സ്റ്റേഷൻ
સક્રિય સંગ્રહ,സജീവ സംഭരണം
