Malayalam,Marathi
എ.സി തുല്യമായ സർക്യൂട്ട്,एसी समतुल्य सर्किट
അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ,एनालॉग ते अंकीय कनवर्टर
കേവല പൂജ്യം,पूर्ण शून्य
ആഗിരണം ഗുണകം,शोषण गुणांक
ആഗിരണം സ്പെക്ട്രം,शोषण स्पेक्ट्रम
റിസപ്റ്റർ ആറ്റം,रिसेप्टर अणू
ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്,पर्यायी वर्तमान जोडणी
ഇലക്ട്രോൺ വിളവെടുപ്പ്,इलेक्ट्रॉन कापणी
ദ്വാര സംഭരണം,भोक संचयन
സജീവമാക്കൽ ഊർജ്ജം,सक्रियता ऊर्जा
സജീവ ആംപ്ലിഫയർ,सक्रिय अॅम्प्लीफायर
സജീവ ഡയോഡ് സർക്യൂട്ട്,सक्रिय डायोड सर्किट
സജീവ ഫിൽട്ടർ,सक्रिय फिल्टर
സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ,सक्रिय उच्च वारंवारता पर्केट फिल्टर
സജീവ ലോഡ്,सक्रिय भार
സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ,सक्रिय कमी वारंवारता पार्स फिल्टर
സജീവമായ പ്രദേശം,सक्रिय क्षेत्र
അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്,अनुकूली इलेक्ट्रॉनिक्स
ചേർക്കുന്നയാൾ,जोडणारा
ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം,समायोज्य बँड विस्तार
നുഴഞ്ഞുകയറ്റം,प्रवेश
ഏരിയൽ,एरियल
പെപ് ആവൃത്തി,pep वारंवारता
എയർ കണ്ടീഷണർ,एअर कंडिशनर
വിന്യാസം,संरेखन
അൽഗോരിതം,अल्गोरिदम
എല്ലാ പാസ് ഫിൽട്ടറും,सर्व पास फिल्टर
അലോയ് ജംഗ്ഷൻ,मिश्र धातु जंक्शन
ശോഷണം,क्षीणन
ആൾട്ടർനേറ്റിംഗ് കറന്റ്,पर्यायी प्रवाह
അന്തരീക്ഷ ഊഷ്മാവ്,वातावरणीय तापमान
ബൈപോളാർ,द्विध्रुवीय
ആംപ്ലിഫിക്കേഷൻ,प्रवर्धन
ആംപ്ലിഫയർ,अॅम्प्लिफायर
ആംപ്ലിഫയർ കാര്യക്ഷമത,एम्पलीफायर कार्यक्षमता
അളവുകൾ,परिमाण
ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ,मोठेपणा क्षीणन
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ,अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ,मोठेपणा मॉड्यूलेशन
