Kannada,Punjabi
ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್,ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ
ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,ਪੂਰਨ ਜ਼ੀਰੋ
ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ,ਸਮਾਈ ਗੁਣਾਂਕ
ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ
ಗ್ರಾಹಕ ಪರಮಾಣು,ਰੀਸੈਪਟਰ ਐਟਮ
ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ,ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ
ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು,ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ
ರಂಧ್ರ ಸಂಗ್ರಹಣೆ,ਮੋਰੀ ਸਟੋਰੇਜ਼
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,ਸਰਗਰਮੀ ਊਰਜਾ
ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್,ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ
ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್,ਸਰਗਰਮ diode ਸਰਕਟ
ಸಕ್ರಿಯ ಫಿಲ್ಟರ್,ਸਰਗਰਮ ਫਿਲਟਰ
ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್,ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ
ಸಕ್ರಿಯ ಲೋಡ್,ਸਰਗਰਮ ਲੋਡ
ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್,ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ
ಸಕ್ರಿಯ ಪ್ರದೇಶ,ਸਰਗਰਮ ਖੇਤਰ
ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ
