Punjabi,Hindi
ਅਬੇਲੀਅਨ ਸਮੂਹ,आबेली समूह
ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ,आबेली सामिसमूह
abscissa,भुज
ਅਸੀਮ,"निरपेक्ष, परम, अचर, परिशुद्‌ध"
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,निरपेक्ष अभिसरण
ਪੂਰਨ ਗਲਤੀ,निरपेक्ष त्रुटि
ਪੂਰਨ ਅਧਿਕਤਮ,परम उच्चिष्ठ
ਪੂਰਨ ਘੱਟੋ-ਘੱਟ,परम निम्निष्ठ
ਸਹੀ ਮੁੱਲ,निरपेक्ष मान
ਪੂਰਨ ਗਤੀ,निरपेक्ष वेग
ਸਾਰ ਅਲਜਬਰਾ,अमूर्त बीजगणित
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,अमूर्त समूह सिद्‌धांत
ਪ੍ਰਵੇਗ,त्वरण
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,गुरुत्वीय त्वरण
ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ,स्वीकार्य वरण-समुच्चय
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,स्वीकार्य गुणता स्तर
ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ,स्वीकार्य परिसर
ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ,मान्य विश्वसनीयता स्तर
ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ,स्वीकरण-प्रतिचयन
ਸੰਚਿਤ ਗਲਤੀ,संचित त्रुटि
ਸ਼ੁੱਧਤਾ,यथार्थता
ਐਕਟਿੰਗ ਫੋਰਸ,लगा हुआ बल
ਕਾਰਵਾਈ," क्रिया , कर्म"
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,क्रिया और प्रतिक्रिया
ਅਸਲ ਵਿਗਿਆਨ,बीमा विज्ञान
ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ,न्यूनकोण त्रिभुज
acyclic,अचक्रीय
ਸ਼ਾਮਲ ਕਰੋ,"योग करना, जोड़ना"
ਜੋੜਨ ਵਾਲਾ,योजक
ਇਸ ਤੋਂ ਇਲਾਵਾ,"योग, जोड़, संकलन (स.), योगात्मक (वि.)"
ਜੋੜ ਫਾਰਮੂਲਾ,योग का सूत्र
ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,सम्मिश्र संख्याओं का योग
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,फलनों का योग
ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ,आव्यूहों का योग
ਬਹੁਪਦ ਦਾ ਜੋੜ,बहुपदों का योग
ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ,प्रायिकताओं का योग
ਵੈਕਟਰ ਦਾ ਜੋੜ,सदिशों का योग
ਵਾਧੂ ਪ੍ਰਮੇਯ,"योग प्रमेय बेरीज सिद्‌धांत,"
additive ਗਰੁੱਪ,योज्य समूह
additive ਉਲਟ,योज्य व्युत्क्रम
additive ਸੰਪਤੀ,"योज्यता, योगशीलता"
additivity,योज्यता
ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ,आसन्नता आव्यूह
ਨੇੜੇ," संलग्न, निकटवर्ती , आसन्न"
ਨੇੜੇ ਦੇ ਕੋਣ,आसन्न कोण
ਨੇੜੇ ਦਾ ਸਿਰਾ,आसन्न शीर्ष
ਨਾਲ ਜੁੜੋ,सहबद्‌ध करना
ਨਾਲ ਲੱਗਦੇ,"संलग्न संलग्नीत,"
ਸੰਜੋਗ ਨਿਰਧਾਰਕ,सहखंडज सारणिक
ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ,संलग्न अवकल समीकरण
ਸੰਜੋਗ ਸਮੀਕਰਨ,संलग्न समीकरण
ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ,सहखंडज आव्यूह
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,आव्यूह सहखंडज
ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ,सहखंडज आव्यूह
ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ,ग्राह्य निर्णय फलन
ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ,ग्राह्य परिकल्पना
ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ,वायुगतिक बल
ਐਰੋਡਾਇਨਾਮਿਕਸ,वायु गतिकी
affine ਜਿਓਮੈਟਰੀ,सजातीय ज्यामिति
affine ਮੈਪਿੰਗ,सजातीय प्रतिचित्रण
affine ਪਰਿਵਰਤਨ,सजातीय रूपांतरण
ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ,समुच्चयी चर
ਅਲਜਬਰਾ," बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया"
ਬੀਜਗਣਿਤ ਬੰਦ,"बीजतः संवृत, बीजतः"
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,बीजीय समीकरण
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,बीजीय व्यंजक
ਬੀਜਗਣਿਤ ਰੂਪ,बीजीय समघात
