Kannada,Punjabi
ಸ್ಥಗಿತಗೊಳಿಸು,ਅਧੂਰਾ ਛੱਡਣਾ
ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ,ਅਧੂਰਾ ਛੱਡੋ
ಸಂಪೂರ್ಣ ವಿಳಾಸ,निरपेक्ष an s
ಸಂಪೂರ್ಣ ವಿಳಾಸ,ਪੂਰਨ ਪਤਾ
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,ਸੰਪੂਰਨ ਸੰਜਮ
ಸಂಪೂರ್ಣ ಕೋಡ್,ਸੰਪੂਰਨ ਕੋਡ
ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್,ਸੰਪੂਰਨ ਕੋਡਿੰਗ
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,ਸੰਪੂਰਨ ਕਮਾਂਡ
ಸಂಪೂರ್ಣ ಸಮನ್ವಯ,ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ
ಸಂಪೂರ್ಣ ಡೇಟಾ,ਸੰਪੂਰਨ ਡੇਟਾ
ಸಂಪೂರ್ಣ ದೋಷ,ਪੂਰੀ ਗਲਤੀ
ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ,ਪੂਰਨ ਸਮੀਕਰਨ
ಸಂಪೂರ್ಣ ಸೂಚನೆ,ਪੂਰਨ ਹਦਾਇਤ
ಸಂಪೂರ್ಣ ಲೋಡರ್,ਸੰਪੂਰਨ ਲੋਡਰ
ಸಂಪೂರ್ಣ ಕ್ರಮ,ਸੰਪੂਰਨ ਕ੍ਰਮ
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
ಸಂಪೂರ್ಣ ಪದ,ਸੰਪੂਰਨ ਅਵਧੀ
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,ਸਹੀ ਮੁੱਲ
ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್,ਸੰਪੂਰਨ ਵੈਕਟਰ
ಅಮೂರ್ತ,ਸਾਰ
ಅಮೂರ್ತಗೊಳಿಸುವ,ਐਬਸਟ੍ਰੈਕਟਿੰਗ
ಅಮೂರ್ತ ಚಿಹ್ನೆ,ਸੰਖੇਪ ਪ੍ਰਤੀਕ
ವೇಗವರ್ಧನೆ ಅವಧಿ,ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ
ವೇಗವರ್ಧಕ ಸಮಯ,ਪ੍ਰਵੇਗ ਟਾਈਮ
ಉಚ್ಚಾರಣಾ,ਲਹਿਜ਼ਾ
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
ಪ್ರವೇಶ,ਪਹੁੰਚ
ಪ್ರವೇಶ,ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ
ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ,ਐਕਸੈਸ ਪ੍ਰਬੰਧ
ಪ್ರವೇಶ,ਪਹੁੰਚ ਅਥਾਰਟੀ
ಪ್ರವೇಶ,ਐਕਸੈਸ ਚਾਰਜ
ಪ್ರವೇಶ ವರ್ಗ,ਐਕਸੈਸ ਕਲਾਸ
ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ,ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ
ಪ್ರವೇಶ ಪರಿಸರ,ਐਕਸੈਸ ਵਾਤਾਵਰਣ
ಪ್ರವೇಶದ ಅಂತರ,ਐਕਸੈਸ ਪਾੜਾ
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,ਐਕਸੈਸ ਇੰਡੈਕਸ
ಪ್ರವೇಶ,ਐਕਸੈਸ ਲਾਈਨ
ಪ್ರವೇಶ ಕಾರ್ಯ,ਐਕਸੈਸ ਵਿਧੀ
ಪ್ರವೇಶ ವಿಧಾನ,ਐਕਸੈਸ ਵਿਧੀ
ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ,ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ
ಪ್ರವೇಶ ಕ್ರಮ,ਐਕਸੈਸ ਮੋਡ
ಪ್ರವೇಶ ಬಲ,ਸਹੀ ਪਹੁੰਚ
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,ਐਕਸੈਸ ਸਕੈਨ
ಪ್ರವೇಶ ಸಮಯ,ਐਕਸੈਸ ਟਾਈਮ
ಲೆಕ್ಕಪತ್ರ,ਲੇਖਾ
ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ,ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ
ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ,ਲੇਖਾ ਮਸ਼ੀਨ
ಖಾತೆ ಸಂಖ್ಯೆ,ਅਕਾਊਂਟ ਨੰਬਰ
ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು,ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ
ಸಂಗ್ರಹಣೆದಾರ,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ
ಸಂಚಯಕ ನೋಂದಣಿ,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ
ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ,ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ
ನಿಖರತೆ,ਸ਼ੁੱਧਤਾ
ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ
ನಿಖರತೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ
ಏಸ್ ಪೈಲಟ್,ਏਸ ਪਾਇਲਟ
ಪಾತ್ರವನ್ನು ಅಂಗೀಕರಿಸಿ,ਅੱਖਰ ਮੰਨੋ
ಅಕೌಸ್ಟಿಕ್ ಕೋಪ್ಲರ್,ਧੁਨੀ ਕਥਾ
ಅಕೌಸ್ಟಿಕ್ ಜೋಡಣೆ,ਧੁਨੀ
ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ,ਧੁਨੀ ਦੇਰੀ ਨਾਲ
ಅಕೌಸ್ಟಿಕ್ ಸ್ಮರಣೆ,ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ
ಸಕೌಸ್ಟಿಕ್ ಮೋಡೆಮ್,ਧੁਨੀ ਮਾਡਮ
ಅಕೌಸ್ಟಿಕ್ ಸಂಕೇತ,ਧੁਨੀ ਸੰਕੇਤ
ಅಕೌಸ್ಟಿಕ್ ಸಂಗ್ರಹ,ਧੁਨੀ ਸਟੋਰੇਜ
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,ਐਕਰੋਨਾਈਮ
ಕ್ರಿಯಾಶೀಲತೆ,ਕਾਰਵਾਈ
ಕ್ರಿಯಾಶೀಲತೆ,ਐਕਸ਼ਨ ਚੱਕਰ
ಕ್ರಿಯಾಶೀಲ ರೇಖೆ,ਐਕਸ਼ਨ ਲਾਈਨ
ಕ್ರಿಯಾಶೀಲ,ਐਕਸ਼ਨ ਸੰਦੇਸ਼
ಕ್ರಿಯಾಶೀಲತೆ,ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,ਸਰਗਰਮੀ
ಸಕ್ರಿಯ,ਕਿਰਿਆਸ਼ੀਲ
ಸಕ್ರಿಯ ಫೈಲ್,ਐਕਟਿਵ ਫਾਈਲ
ಸಕ್ರಿಯ ರೇಖೆ,ਐਕਟਿਵ ਲਾਈਨ
ಸಕ್ರಿಯ ಲಿಂಕ್,ਕਿਰਿਆਸ਼ੀਲ ਲਿੰਕ
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಫೈಲ್,ਐਕਟਿਵ ਮਾਸਟਰ ਫਾਈਲ
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಐಟಂ,ਐਕਟਿਵ ਮਾਸਟਰ ਆਈਟਮ
ಸಕ್ರಿಯ ಉಪಗ್ರಹ,ਐਕਟਿਵ ਸੈਟੇਲਾਈਟ
ಸಕ್ರಿಯ ನಿಲ್ದಾಣ,ਐਕਟਿਵ ਸਟੇਸ਼ਨ
ಸಕ್ರಿಯ ಸಂಗ್ರಹಣೆ,ਐਕਟਿਵ ਸਟੋਰੇਜ
ಚಟುವಟಿಕೆ,ਸਰਗਰਮੀ
ಚಟುವಟಿಕೆ ಮಟ್ಟ,ਸਰਗਰਮੀ ਪੱਧਰ
ಚಟುವಟಿಕೆ ಲೋಡಿಂಗ್,ਗਤੀਵਿਧੀ ਲੋਡਿੰਗ
ಚಟುವಟಿಕೆ ಅನುಪಾತ,ਗਤੀਵਿਧੀ ਅਨੁਪਾਤ
ನಿಜವಾದ ವಿಳಾಸ (= ಸಂಪೂರ್ಣ ವಿಳಾಸ),ਅਸਲ ਪਤਾ (= ਪੂਰਨ ਪਤਾ)
ನಿಜವಾದ ಕೋಡ್ (= ಸಂಪೂರ್ಣ ಕೋಡ್),ਅਸਲ ਕੋਡ (= ਸੰਪੂਰਨ ਕੋਡ)
ನಿಜವಾದ ಡೇಟಾ ವರ್ಗಾವಣೆ ದರ,ਅਸਲ ਡੇਟਾ ਟ੍ਰਾਂਸਫਰ ਰੇਟ
ವಾಸ್ತವಿಕ ದಶಮಾಂಶ ಬಿಂದು,ਅਸਲ ਦਸ਼ਮਲਵ ਬਿੰਦੂ
ನಿಜವಾದ ಸೂಚನೆ (= ಪರಿಣಾಮಕಾರಿ ಸೂಚನೆ),ਅਸਲ ਹਦਾਇਤਾਂ (= ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਹਦਾਇਤ)
ವಾಸ್ತವಿಕ ಕೀ,ਅਸਲ ਕੁੰਜੀ
ವಾಸ್ತವಿಕ ಸಮಯ,ਅਸਲ ਸਮਾਂ
ನಿಜವಾದ ಕೆಲಸದ ಸಮಯ,ਅਸਲ ਕੰਮ ਦਾ ਸਮਾਂ
ಸಂಕೇತ,ਅਦਾਕਾਰੀ ਸੰਕੇਤ
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,ਅਨੁਕੂਲਤਾ
ಅಳವಡಗಾರ,ਅਡੈਪਟਰ
ಹೊಂದಾಣಿಕೆಯ ಚಾನಲ್ ಹಂಚಿಕೆ,ਅਡੈਪਟਿਵ ਚੈਨਲ ਅਲਾਟਮੈਂਟ
ಹೊಂದಾಣಿಕೆಯ ಏಕೀಕರಣ,ਅਨੁਕੂਲ ਏਕੀਕਰਣ
ಅಡಾಪ್ಟಿವ್ ಟ್ರಾನ್ಸ್‌ವರ್ಸಲ್ ಈಕ್ವಲೈಜರ್,ਅਨੁਕੂਲਤਾ ਦੇ ਟਰਾਂਸਵਰਸਟਲ ਬਰਾਬਰੀ
ಪ್ರವೇಶವನ್ನು ಸೇರಿಸಲಾಗಿದೆ,ਇੰਦਰਾਜ਼ ਸ਼ਾਮਲ ਕੀਤਾ
ಸೇರಿಸು,ਐਡੇਂਡ
ಸೇರಿಸುವವನು,ਐਡਰਰ
ಸೇಡ್ ಸಬ್ಟ್ರಾಕ್ಟರ್,ਐਡਰੈਸਬਰਸਟਰੈਕਟਰ
ಕಡತವನ್ನು ಸೇರಿಸು,ਫਾਈਲ ਸ਼ਾਮਲ ਕਰੋ
ಹೆಚ್ಚುವರಿ ಅಕ್ಷರ (= ವಿಶೇಷ ಅಕ್ಷರ),ਵਾਧੂ ਅੱਖਰ (= ਵਿਸ਼ੇਸ਼ ਚਰਿੱਤਰ)
ಸೇರ್ಪಡೆ ರೆಕಾರ್ಡರ್,ਜੋੜ ਰਿਕਾਰਡਰ
ಸೇರ್ಪಡೆ ಮೇಜು,ਜੋੜ ਸਾਰਣੀ
ಸಂಯೋಜಕ ಗುಣಲಕ್ಷಣ,ਜੋੜ
ಮೋಡ್ ಸೇರಿಸಿ,ਮੋਡ ਸ਼ਾਮਲ ਕਰੋ
ಕಾರ್ಯಾಚರಣೆ ಸೇರಿಸಿ,ਓਪਰੇਸ਼ਨ ਸ਼ਾਮਲ ਕਰੋ
ಭಾಷಣ,ਪਤਾ
ವಿಳಾಸದ ಅಳತೆ,ਸੰਬੋਧਿਤਯੋਗਤਾ ਉਪਾਅ
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಮತಲ ಸ್ಥಾನ,ਪਤਾ ਕਰਨ ਯੋਗ ਹਰੀਜੱਟਲ ਸਥਿਤੀ
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಬಿಂದು,ਪਤਾ ਕਰਨ ਯੋਗ ਬਿੰਦੂ
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಥಾನ,ਪਤਾ ਕਰਨ ਯੋਗ ਸਥਿਤੀ
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ರಿಜಿಸ್ಟರ್,ਪਤਾ ਕਰਨ ਯੋਗ ਰਜਿਸਟਰ
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಂಗ್ರಹಣೆ,ਪਤਾ ਕਰਨ ਯੋਗ ਸਟੋਰੇਜ
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಲಂಬ ಸ್ಥಾನ,ਪਤਾ ਕਰਨ ਯੋਗ ਲੰਬਕਾਰੀ ਸਥਿਤੀ
ವಿಳಾಸ ಬಸ್,ਪਤਾ ਬੱਸ
ವಿಳಾಸ ಕೋಡ್,ਪਤਾ ਕੋਡ
ವಿಳಾಸ ಹೋಲಿಕೆದಾರ,ਪਤਾ ਕੰਪਰੇਟਰ
ವಿಳಾಸ ಗಣನೆ,ਪਤਾ ਬਕਾਏ
ವಿಳಾಸ ಸ್ಥಿರ,ਪਤਾ ਲਗਾਤਾਰ
ವಿಳಾಸ ಪರಿವರ್ತನೆ,ਪਤਾ ਬਦਲਣਾ
ವಿಳಾಸ ಡೇಟಾ,ਪਤਾ ਡਾਟਾ
ವಿಳಾಸ ಮೆಮೊರಿ,ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ
ವಿಳಾಸ ಪರಿಣಾಮಕಾರಿ,ਪਤਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ
ವಿಳಾಸ ಕ್ಷೇತ್ರ,ਪਤਾ ਖੇਤਰ
ವಿಳಾಸ ಸ್ವರೂಪ,ਪਤਾ ਫਾਰਮੈਟ
ವಿಳಾಸ ಉಚಿತ ಕಾರ್ಯಕ್ರಮ,ਪਤਾ ਮੁਫਤ ਪ੍ਰੋਗਰਾਮ
ಸಂಬೋಧಿಸುವುದು,ਸੰਬੋਧਨ ਕਰਨਾ
"ಸಂಬೋಧಿಸುವುದು
 ಪಾತ್ರ","ਸੰਬੋਧਨ ਕਰਨਾ
 ਅੱਖਰ"
ಅಡಚಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,ਰੁਕਾਵਟ ਨੂੰ ਸੰਬੋਧਿਤ ਕਰਨਾ
ವಿಳಾಸ ಲೂಪ್,ਪਤਾ ਲਗਾਉਣ
ವರ್ಚುವಲ್ ಮೆಮೊರಿಯನ್ನು ಉದ್ದೇಶಿಸಿ,ਵਰਚੁਅਲ ਮੈਮੋਰੀ ਨੂੰ ਸੰਬੋਧਨ ਕਰਨਾ
ವಿಳಾಸ ಇಂಟರ್ಲೇಟಿಂಗ್,ਪਤਾ ਲਗਾਉਣਾ
ವಿಳಾಸವಿಲ್ಲದ ಸೂಚನಾ ಸ್ವರೂಪ,ਬਰੇਸ਼ਨ ਰਹਿਤ ਨਿਰਦੇਸ਼ ਦਾ ਫਾਰਮੈਟ
ವಿಳಾಸ ಸಾಲು,ਐਡਰੈੱਸ ਲਾਈਨ
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,ਪਤਾ ਮੈਪਿੰਗ
ವಿಳಾಸ ಗುರುತು,ਪਤਾ ਮਾਰਕ
ವಿಳಾಸ ಮಾರ್ಪಾಡು,ਪਤਾ ਸੋਧ
ವಿಳಾಸದ ಭಾಗ,ਪਤਾ ਭਾਗ
ವಿಳಾಸ ಪಾಯಿಂಟರ್,ਪਤਾ ਪੁਆਇੰਟਰ
ವಿಳಾಸ ನೋಂದಣಿ,ਪਤਾ ਰਜਿਸਟਰ
ವಿಳಾಸ ಸಂಕೇತ,ਪਤਾ ਸਿਗਨਲ
ವಿಳಾಸದ ಗಾತ್ರ,ਪਤਾ ਅਕਾਰ
ವಿಳಾಸ ಸ್ಥಳ,ਪਤਾ ਸਪੇਸ
ವಿಳಾಸ ಬಾಹ್ಯಾಕಾಶ ಗುರುತಿಸುವಿಕೆ,ਪਤਾ ਸਪੇਸ ਪਛਾਣਕਰਤਾ
ವಿಳಾಸ ನಿಲುಗಡೆ,ਪਤਾ ਬੰਦ
ವಿಳಾಸ ಜಾಡಿನ,ਪਤਾ ਟਰੇਸ
ವಿಳಾಸ ಟ್ರ್ಯಾಕ್,ਪਤਾ ਟਰੈਕ
ವಿಳಾಸ ಅನುವಾದ,ਪਤਾ ਅਨੁਵਾਦ
ವಿಳಾಸ ಅನುವಾದಕ,ਪਤਾ ਅਨੁਵਾਦਕ
ಕಕ್ಸಚ್ಚುವಿಕೆಯನ್ನು ಸೇರಿಸಿ ಸಮಯ,ਸ਼ਾਮਲ ਕਰੋ-ਘਟਾਓ
ಸಮಯವನ್ನು ಸೇರಿಸಿ,ਸਮਾਂ ਸ਼ਾਮਲ ਕਰੋ
ಪಕ್ಕದ,ਅਡਜੈਂਸੀ
ಪಕ್ಕದ ರಚನೆ,ਐਡਜੈਂਸੀ structure ਾਂਚਾ
ಪಕ್ಕದ ಚಾನಲ್,ਨਾਲ ਲੱਗਦੇ ਚੈਨਲ
ಪಕ್ಕದ ಡೊಮೇನ್,ਨਾਲ ਲੱਗਦੇ ਡੋਮੇਨ
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ਨਾਲ ਲੱਗਦੀ ਮੈਟ੍ਰਿਕਸ
ಪಕ್ಕದ ನೋಡ್,ਨਾਲ ਲੱਗਦੀ ਨੋਡ
ಪಕ್ಕದ ಸುಬೇರಿಯಾ,ਆਸ ਪਾਸ ਦੇ ਉਪਰਾਸਾ
ಹೊಂದಾಣಿಕೆ (ಸಿಸ್ಟಮ್),ਐਡਰਜਾਈਨ (ਸਿਸਟਮ)
ಸರಿಹೊಂದಿಸು,ਵਿਵਸਥਤ ਕਰੋ
ಹೊಂದಾಣಿಕೆ ವ್ಯಾಪ್ತಿ,ਵਿਵਸਥਤ ਹੱਦ ਤੱਕ
ಪಠ್ಯ ಮೋಡ್ ಅನ್ನು ಹೊಂದಿಸಿ,ਟੈਕਸਟ ਮੋਡ ਨੂੰ ਵਿਵਸਥਤ ਕਰੋ
ಆಡಳಿತ ದತ್ತಾಂಶ ಸಂಸ್ಕರಣೆ,ਪ੍ਰਬੰਧਕੀ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ
ಆಡಳಿತಾತ್ಮಕ ಕಾರ್ಯಾಚರಣೆ,ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ
ಆಡಳಿತಕಾರಕ,ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ
ಆಡಳಿತ ನಿರ್ವಾಹಕ ಕೇಂದ್ರ,ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ ਸਟੇਸ਼ਨ
ಆಡಳಿತಾತ್ಮಕ ಬೆಂಬಲ ವ್ಯವಸ್ಥೆ,ਪ੍ਰਬੰਧਕੀ ਸਹਾਇਤਾ ਸਿਸਟਮ
ಸುಧಾರಿತ ಸಂವಹನ ಸೇವೆ,ਤਕਨੀਕੀ ਸੰਚਾਰ ਸੇਵਾ
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,ਐਡਵਾਂਸਡ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
ಸುಧಾರಿತ ಆಪ್ಟಿಕಲ್ ಕ್ಯಾರೆಕ್ಟರ್ ರೀಡರ್,ਐਡਵਾਂਸਡ ਆਪਟੀਕਲ ਅੱਖਰ ਪਾਠਕ
ಸುಧಾರಿತ ವೈಜ್ಞಾನಿಕ ಕಂಪ್ಯೂಟರ್,ਤਕਨੀਕੀ ਵਿਗਿਆਨਕ ਕੰਪਿ computer ਟਰ
ವೈಮಾನಿಕ,ਏਰੀਅਲ
ಒಟ್ಟು,ਸਮੁੱਚੀ
ಒಟ್ಟು ಅಭಿವ್ಯಕ್ತಿ,ਸਮੁੱਚੀ ਸਮੀਕਰਨ
ಗುರಿ ವೃತ್ತ,ਉਦੇਸ਼ ਸਰਕਲ
ಗುರಿ ಕ್ಷೇತ್ರ (= ಗುರಿ ಚಿಹ್ನೆ),ਉਦੇਸ਼ ਖੇਤਰ (= ਪ੍ਰਤੀਕ ਦਾ ਨਿਸ਼ਾਨਾ)
