Tamil,English
அபாகஸ்,abacus
அசாதாரண நிறுத்தம்,abnormal termination
கருக்கலைப்பு,abort
அறுதி,absolute
முழுமையான முகவரி,absolute address
முழுமையான முகவரி,absolute addressing
முழுமையான அசெம்பிளர்,absolute assembler
முழுமையான குறியீடு,absolute code
முழுமையான கட்டளை,absolute command
முழுமையான தரவு,absolute data
முழுமையான அறிவுறுத்தல்,absolute instruction
முழுமையான பயன்முறை,absolute mode
முழுமையான பாதை,absolute path
முழுமையான நிரலாக்கம்,absolute programming
சுருக்க வர்க்கம்,abstract class
சுருக்க தரவு வகை,abstract data type
சுருக்க இயந்திரம்,abstract machine
சுருக்க சின்னம்,abstract symbol
சுருக்க தொடரியல்,abstract syntax
ஏற்றுக்கொள்ளும் சோதனை,acceptance testing
அணுகல் அங்கீகாரம்,access authentication
அணுகல் குறியீடு,access code
நுழைவு கட்டுப்பாடு,access control
அணுகல் ஸ்கேன்,access scan
துணை,accessory
கணக்கு,account
கணக்கு ஐடி,account ID
திரட்டி,accumulator
துல்லியம்,accuracy
அணுகல்,acess
அணுகல் கட்டுப்பாட்டு பைட்,acess control byte
அணுகல் குறியீடு,acess index
அணுகல் விசை,acess key
அணுகல் அணி,acess matrix
அணுகல் முறை,acess mode
அணுகல் சலுகை,acess privilege
அணுகல் பாதுகாப்பு,acess security
அணுகல் சேவையகம்,acess server
அணுகல் நேரம்,acess time
ஒப்புகை,acknowledgement
ஒலியியல்,acoustics
சுருக்கம்,acronym
செயல் செய்தி,action message
செயல்படுத்துதல்,activation
செயலில் உள்ள சர்வர் பக்கம் (ASP),active server page (ASP)
செயலில் உள்ள பதிப்பு,active version
அசைக்ளிக்,acyclic
அசைக்ளிக் வரைபடம்,acyclic graph
அட மொழி,Ada language
அடாப்டர்,adapter
கூட்டு,add
கோப்பை சேர்க்க,add file
செயல்பாட்டைச் சேர்க்கவும்,add operation
சேர்ப்பான்,adder
முகவரி,address
முகவரி பேருந்து,address bus
முகவரி கோப்பு,address file
முகவரி வடிவம்,address format
முகவரி ஜெனரேட்டர்,address generator
முகவரி வரி,address line
முகவரி மேப்பிங்,address mapping
முகவரி சுட்டி,address pointer
முகவரி பதிவு,address register
முகவரி தீர்மானம்,address resolution
முகவரி மொழிபெயர்ப்பு,address translation
நினைவாற்றலை உரையாற்றினார்,addressed memory
உரையாற்றுவது,addressing
போதுமான அளவுகோல்கள்,adequacy criteria
இணைந்த,adjoint
நிர்வாகம்,administration
நிர்வாகி,administrator
அடோப் அக்ரோபேட்,adobe acrobat
அடோ போட்டோஷாப்,adobe photoshop
அட்வான்ஸ் பிசினஸ் அப்ளிகேஷன் புரோகிராமிங் (ஏபிஏபி),Advance Business Application Programming (ABAP)
மேம்பட்ட தரவு,advanced data
மேம்பட்ட தகவல் அமைப்பு,advanced information system
மேம்பட்ட தொழில்நுட்பம் (AT),advanced technology (AT)
முகவர்,agent
திரட்டுதல்,aggregation
வான்வழி கணினி அமைப்பு,airborne computer system
அல்டஸ் பக்க தயாரிப்பாளர்,aldus page maker
எச்சரிக்கை பெட்டி,alert box
அல்கோல்,algol
அல்காரிதம்,algorithm
அல்காரிதம் பகுப்பாய்வு,algorithm analysis
அல்காரிதம் திறன்,algorithm efficiency
மாற்றுப்பெயர்,alias
சீரமைப்பு,alignment
ஒதுக்கீடு,allocation
அகரவரிசை,alphabetic
எண்ணெழுத்து,alphanumeric
எண்ணெழுத்து விசைப்பலகை,alphanumeric key board
ஆல்பா-சோதனை,alpha-test
ஆல்பா பதிப்பு,alpha-version
alt விசை,alt key
அல்டாவிஸ்டா,altavista
தெளிவின்மை,ambiguity
தெளிவற்ற இலக்கணம்,ambiguous grammar
அமெரிக்க தேசிய தரநிலை நிறுவனம் (ANSI),American National Standards Institute (ANSI)
தகவல் பரிமாற்றத்திற்கான அமெரிக்க தரநிலை குறியீடு (ASCII),American Standard Code For Information Interchange (ASCII)
அனலாக்,analog
அனலாக் கணினி,analog computer
அனலாக் சாதனம்,analog device
அனலாக் மோடம்,analog modem
அனலாக் டு டிஜிட்டல் மாற்றி (ADC),Analog To Digital Converter (ADC)
மற்றும்,AND
மற்றும் சுற்று,AND circuit
மற்றும் வாயில்,AND gate
மற்றும் செயல்பாடு அல்ல (விலக்கு),AND not operation (Exclusion)
இயங்குபடம்,animation
சிறுகுறிப்பு,annotation
ஒழுங்கின்மை,anomaly
முன்னோடி,antecedent
முன்கூட்டிய பேஜிங்,anticipatory paging
எதிர்ப்பு சமச்சீர்,anti-symmetric
வைரஸ் தடுப்பு நிரல்,antivirus program
ஆப்லெட்,applet
பயன்பாட்டு டெவலப்பர்,application developer
பயன்பாட்டு நிரலாக்கம்,application programming
பயன்பாட்டு நிரலாக்க இடைமுகம் (API),application programming interface (API)
பயன்பாட்டு மென்பொருள்,application software
பயன்பாட்டு மொழி,applicative language
தோராயக் கோட்பாடு,approximation theory
கட்டிடக்கலை,architecture
பகுதி பரிமாற்றம்,area transfer
வாதம்,argument
எண்கணித மற்றும் தர்க்க அலகு,arithmatic and logic unit
எண்கணித சரிபார்ப்பு,arithmatic check
எண்கணித மாறிலி,arithmatic constant
எண்கணித தரவு,arithmatic data
எண்கணித அறிவுரை,arithmatical instruction
எண்கணிதம் மற்றும் தருக்க அலகு (ALU),arithmetic and logic unit (ALU)
அர்பானெட்,ARPANET
வரிசை,array
வரிசை கேச்,array cache
வரிசை கணினி,array computer
வரிசை உறுப்பு,array element
வரிசை பெயர்,array name
வரிசை செயலி,array processor
அம்புக்குறி விசைகள்,arrow keys
உச்சரிப்பு,articulation
உச்சரிப்பு புள்ளி,articulation point
செயற்கை சுருக்கம்,artificial compaction
செயற்கை கட்டுப்பாடு,artificial control
செயற்கை நுண்ணறிவு,artificial intelligence
ஏறுபவர்,ascender
ஏறும் வகை,ascending sort
ASCII betical order,ASCII betical order
ASCII கட்டுப்பாட்டு எழுத்து,ASCII control character
ASCII கோப்பு,ASCII file
ASCII எழுத்துரு,ASCII font
ASCII பரிமாற்றம்,ASCII transfer
விகிதம்,aspect ratio
ASPI,ASPI
ASR டைமர்,ASR timer
கூடி,assemble
அசெம்பிளர்,assembler
சட்டசபை,assembly
சட்டசபை மொழி,assembly language
வலியுறுத்தல்,assertion
பணி நியமனம்,assignment
சங்கம்,association
துணை முகவரி,associative address
துணை நினைவகம்,associative memory
ஆஸ்டிரிக்,asteric
சமச்சீரற்ற,asymmetric
ஒத்திசைவற்ற,asynchronous
ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL),asynchronous Digital Subscriber Line (ADSL)
ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM),asynchronous Time Division Multiplexing (ATDM)
ஒத்திசைவற்ற பரிமாற்றம்,asynchronous transfer
ஒத்திசைவற்ற பரிமாற்ற முறை (ATM),asynchronous Transfer Mode (ATM)
அணு,atom
இணைக்கப்பட்ட ஆவணம்,attached document
இணைக்கப்பட்டுள்ள கோப்பு,attached file
இணைப்பு,attachment
பண்பு,attribute
ஆடியோ,audio
தணிக்கை நிரலாக்கம்,audit programming
தணிக்கை சோதனை,audit trail
பெருக்குதல்,augmentation
அங்கீகார நெறிமுறை,authentication protocol
ஆசிரியர் அமைப்பு,authoring system
அங்கீகாரம்,authorization
தானியங்கு சுருக்கம்,auto abstract
தானாக துவக்குதல்,autobooting
ஆட்டோகேட்,autocad
ஆட்டோலாக் ஆன்,autolog on
தானியங்கி,automata
தானியங்கு கோட்பாடு,automata theory
தானியங்கி கணினி,automatic computing
தானியங்கி தரவு செயலாக்கம்,automatic data processing
தானியங்கி பிழை திருத்தம்,automatic error correction
தானியங்கி செயல்பாடு,automatic function
தானியங்கி அட்டவணைப்படுத்தல்,automatic indexing
தானியங்கி நூலக அழைப்பு,automatic library call
தானியங்கி நிரலாக்க,automatic programming
தானியங்கி மீட்பு திட்டம்,automatic recovery program
தானியங்கி வழக்கம்,automatic routine
தானியங்கி கணினி மீட்பு,automatic system recovery
தானியங்கி பணம் செலுத்தும் இயந்திரம் (ATM),automatic teller machine (ATM)
தானியங்கி,automation
தானியங்கி,autoplay
தானாக சேமிக்கவும்,autosave
துணை,auxiliary
துணை நினைவகம்,auxiliary memory
துணை சேமிப்பு,auxiliary storage
கிடைக்கும் பட்டியல்,available list
