Bengali,Kannada
অ্যাম্পিয়ার (একক),ಆಂಪಿಯರ್ (ಘಟಕ)
অ্যাংস্ট্রাম,ಆಂಗ್ಸ್ಟ್ರಮ್
A-শ্রেণীর পরিবর্ধক,ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್
এএন রেডিও সহায়,ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್
একটি-স্ক্যানিং উপস্থাপনা,ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ
a-দর্শ,a-ದರ್ಶ್
A-স্কোপ কর্মক্ষমতা,ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ
A-T বাঁকা স্ফটিক,A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್
"এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন","ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ"
am,ಬೆಳಗ್ಗೆ
এএমইউ (পারমাণবিক ভর একক),AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ)
আর্ড-ওয়ার্ক*,aard-vark*
ab-ampere,ಅಬ್-ಆಂಪಿಯರ್
A-B শ্রেণীর পরিবর্ধক,A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್
adah,ಅದಾ
A-B শক্তি পিটক,ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ
abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ,abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್
আবে নম্বর (আবে ধ্রুবক),ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ)
abe রিফ্র্যাক্টোমিটার,ಅಬೆ ವಕ್ರೀಕಾರಕ
অ্যাবে সাইন স্টেট,ಅಬೆ ಸೈನ್ ರಾಜ್ಯ
স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ,ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ
abcoulom,abcoulom
"aberration, aberration","ವಿಪಥನ, ವಿಪಥನ"
বিকৃতি সংশোধনকারী লেন্স,ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ
আকাশ বিকৃতি,ಆಕಾಶ ವಿಪಥನ
আবফারদ,abfarad
ইবেনরি,ಎಬೆನ್ರಿ
আবলুস প্রভাব,ಎಬೊನಿ ಎಫೆಕ್ಟ್
অস্বাভাবিক মেরুকরণ,ಅಸಹಜ ಧ್ರುವೀಕರಣ
অস্বাভাবিক সংক্রমণ,ಅಸಹಜ ಪ್ರಸರಣ
অলৌকিক প্রতিফলন,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿಬಿಂಬ
অস্বাভাবিক প্রতিসরণ*,ಅಸಹಜ ವಕ್ರೀಭವನ*
অস্বাভাবিক প্রতিরোধ,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿರೋಧ
ab-om,ab-om
"preponderance, ব্যর্থতা","ಪ್ರಾಧಾನ್ಯತೆ, ವೈಫಲ್ಯ"
"সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত","ಲಗತ್ತಿಸಲಾಗಿದೆ, ಸಾಮಾನ್ಯವಾಗಿ, ನಿಂತಿರುವ, ಕತ್ತರಿಸಿದ, ವಿಭಜಿತ"
প্রায়ই লাফ দেয়,ಆಗಾಗ್ಗೆ ಜಿಗಿತಗಳು
হাত*,ಕೈ*
হারিয়ে যাওয়া প্রতিফলন,ಕಳೆದುಹೋದ ಪ್ರತಿಬಿಂಬ
অনুপস্থিত বর্ণালী,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"পরম, পরম, ধ্রুবক, নিখুঁত","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
পরম ত্বরণ,ಸಂಪೂರ್ಣ ವೇಗವರ್ಧನೆ
পরম বাস্তবতা,ಸಂಪೂರ್ಣ ವಾಸ್ತವ
পরম ঠিকানা,ಸಂಪೂರ್ಣ ವಿಳಾಸ
ভূ-আপেক্ষিক উচ্চতা মিটার,ಜಿಯೋರೆಲೇಟಿವ್ ಅಲ್ಟಿಮೀಟರ್
ভূতাত্ত্বিক উচ্চতা,ಭೂವೈಜ್ಞಾನಿಕ ಎತ್ತರ
