Tamil,Kannada
கைவிடப்பட்ட உறுப்பு,ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ
நிறுத்தப்பட்ட விதை,ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ
கருக்கலைப்பு,ಗರ್ಭಪಾತ
முழுமையான களை,ಸಂಪೂರ್ಣ ಕಳೆ
உறிஞ்சப்பட்ட கேஷன்,ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್
உறிஞ்சுதல்,ಹೀರುವಿಕೆ
அபிசீனிய கடுகு,ಪ್ರಪಾತದ ಸಾಸಿವೆ
அகரைடு,ಉಜ್ಜೆ
உச்சரிப்பு,ಉಪನಾಮದ
உச்சநிலை (செல்),ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ)
ஏற்றுக்கொள்ளப்பட்ட சகிப்புத்தன்மை,ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ
துணை,ಪರಿಕರ
பழக்கவழக்கமயமாக்கல்,ಒಗ್ಗೂಡಿಸುವಿಕೆ
குவிப்பு,ಸಂಗ್ರಹಣೆ
துல்லியம்,ನಿಖರತೆ
அசெருலஸ்,ಕಸಚೂಕು
அசிடிபிகேஷன்,ಸಮಗ್ರೀಕರಣ
அமிலமயமாக்கல்,ಆಮ್ಲೀಕರಣ
அமிலமீட்டர்,ಆಚಿಮೀಟರ್ ಚೀಟಿ
அமிலத்தன்மை,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
அமிலத்தன்மை கொண்ட,ಸಿಹಿನೀರಿನ
அமிலப்படுத்தப்பட்ட ராக் பாஸ்பேட்,ಆಮ್ಲೀಯ
அமிலத்தன்மை,ಸಂಚೇಮದ
நீர்வாழ்,ಜಲಚರಗಳು
கையகப்படுத்தல்,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
ஏக்கர்,ಎಕರೆ
ஏக்கர் தூரம்,ಎಕರೆ
அக்ரோசென்ட்ரிக் குரோமோசோம்,ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು
அக்ரோபெட்டல்,ಖುಷಿಯ
சக்ரோசோம்,ಸುಣ್ಣ
ஆக்டினோமைசீட்கள்,ಅಂಧ
செயலில் ரூட் மண்டலம்,ಸಕ್ರಿಯ ಮೂಲ ವಲಯ
கடுமையான,ತೀವ್ರ
தகவமைப்பு,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
தழுவல்,ರೂಪಾಂತರ
ஒட்டுதல்,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
கொழுப்பு,ಅಡಿ
சரிசெய்தல் சமன்பாடு,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
அடோப் மண்,ಮಣ್ಣು
கலப்படம்,ವ್ಯಭಿಚಾರಮಾಡುವ
சாகச,ಸಾಹಸದ
Aecidiospore,ಅಕ್ಸಿಯೊಸ್ಪೋರ್
ஏலியன் செயல்முறை,ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ
ஏயோலியன்,ಅಯೋಲಿಯನ್
காற்றோட்டம்,ಗಾಳಿಗೊಡ್ಡು
வான்வழி,ವೈಮಾನಿಕ
ஏரோமானி,ವಾಯುಮಾಪಕ
ஏரோசோல்,ವಾಯುಪಾವತಿ
அவதூறு,ಅಸ್ವಸ್ಥತೆ
ஏட்டாலஜி (நோயியல்,ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ)
காடு வளர்ப்பு,ಸಂಯಮ
கிளர்ச்சி,ಆಂದೋಲನ
அக்மார்க்,ಅಣಕೇಡು
விவசாய,ಕೃಷಿ
வேளாண் மருத்துவமனை,ಕೃಷಿ ಚಿಕಿತ್ಸಾಲಯ
விவசாய உழைப்பு,ಕೃಷಿ ದುಡಿಮೆ
விவசாய சந்தைப்படுத்தல்,ಕೃಷಿ ಮಾರಾಟ
விவசாய தொழில்நுட்பம்,ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ
வேளாண்மை,ಕೃಷಿ
வேளாண் வளர்ப்பை,ಕೃಪಣಸಾಮರಿ
வேளாண் பன்முகத்தன்மை,ಕೃಷಿ -ವೈವಿಧ್ಯತೆ
வேளாண் வியாபார குறைபாடுகள்,ಕೃಷಿ ಜೀವವಿಜ್ಞಾನದ ದೋಷಗಳು
வேளாண்வியல்,ಕೃಷಿ ಜೀವವಿಜ್ಞಾನ
வேளாண் பன்முகத்தன்மை,ಕೃಷಿ -ವೈವಿಧ್ಯತೆ
வேளாண் மண்டல,ಕೃಷಿ ವಲಯ
வளர்ப்பு,ಕೃಚಾರಕ
விவசாயவியல்,ಕೃಷಿ ಶಾಸ್ತ್ರ
வேளாண்,ಕೃಷಿ ವಿಜ್ಞಾನ
அக்ரோபாஸ்டோரல்,ಅಬ್ವಿಶರ
அக்ரோபிராசெசிங்,ಕೃಷಿಪ್ರೊಸೆಸಿಂಗ್
அக்ரோஸ்டாலஜி,Agrostology
வேளாண் வகை,ಕೃಪೆ
விமான ஆலை,ಗಾಳಿ ಸಸ್ಯ
அகியோச்சி மண்,ಅಕೋಚಿ ಮಣ್ಣು
ஆல்பினிசம்,ಆಲ್ಬೋ
அல்பிசோல்ஸ்,ಆಲ್ಫಿಸೋಲ್ಸ್
பாசி,ಪಾಚಿ
பாசி நோய்,ಪಾಚಿಯ ಕಾಯಿಲೆ
கார நீர்,ಕ್ಷಾರ ನೀರು
கார,ಕ್ಷಾರೀಯ
அல்லீல்,ಇಳಿಜಾರು
அல்லீல கெமிக்கல்ஸ்,ಆಲಿನೋಕೆಮಿಕಲ್ಸ್
அல்லீலோமார்ப்,ಅನನುಕಣ
அலெலோபதி,ಅಲಲೋಪತಿ
சந்து பயிர்,ಅಲ್ಲೆ ಕ್ರಾಪಿಂಗ್
ஒதுக்கீடு,ನಿಯೋಜಕ
Allocamy,ಅಲೋಗಮಿ
அலோமெட்ரி,ಮಾಪಕ
அலோபோலிப்ளோயிட்,ಸೂತ್ರ
அலோசினாப்சிஸ் (அலோசின்டெசிஸ்),ಅಲೋಸೈನಾಪ್ಸಿಸ್ (ಅಲೋಸಿಂಡೆಸಿಸ್)
மாற்று தாங்கி,ಪರ್ಯಾಯ ಬೇರಿಂಗ್
மாற்று நில பயன்பாடு,ಪರ್ಯಾಯ ಭೂ ಬಳಕೆ
சுற்றுப்புறம்,ಸುತ್ತುವರಿಯುವ
அமெலியோரண்ட்,ಅಚಲ
அமிடோசிஸ்,ಅಮೀಟಾಸಿ
வெடிமருந்து,ಕಸಚುಗಾರ
அம்மோனிகேஃபிகேஷன்,ಅಮೋನೀಕರಣ
அம்மோனியர்,ಅಮೋನಿಗೆ ಮಾಡುವವ
அமார்,ಅಬ್ಬರಿಸು
ஆம்பிமிக்ஸிஸ்,ಉಭಯಮತ್ರ
ஆம்போடெரிக்,ಉದ್ದವಾದ
அனபோலிசம்,ಅನಾಬಾಲಿಸಂ
காற்றில்லா,ಬಯೆರೋಲೆ
அனூப்ளோயிட்,ಅನೆಲಾಯ್ಡ್
கோண நடவு,ಕೋನ ನೆಡುವುದು
கால்நடை வளர்ப்பு,ಪಶುಸಂಗೋಪನೆ
விலங்கு மறுப்பு,ಪ್ರಾಣಿಗಳ ನಿರಾಕರಣೆ
ஆற்றல் உயிரின,ಅನಿಮೇಟ್ ಎನರ್ಜಿ
அனிசோப்ளோயிட்,ಹದಮೆರಗಿ
ஆண்டு ஆலை,ವಾರ್ಷಿಕ ಸಸ್ಯ
ஆண்டு,ವಾರ್ಷಿಕ
ஆன்டெஸிஸ்,ಸ ೦ ಗೀತ
ஆந்த்ராக்ஸ்,ಆಂಥ್ರಾಕ್ಸ್
மானுடவியல் காரணி,ಮಾನವಜನ್ಯದ ಅಂಶ
ஆண்டிபியோசிஸ்,ಪ್ರತಿಜೀವಕ
நுண்ணுயிர்க்கொல்லி,ಪ್ರತಿಜೀವಕ
மாற்று,ಪ್ರತಿವಿಷ
ஆக்ஸிஜனேற்றிகள்,ಆವರಣಕಾರಕ
ஆன்டிடாக்சின்,ಪ್ರತಿಚರಣ
ANNULUS,ಉಚ್ಚಾರಣಾ
அஃபிட்,ಮುನಸು
அபிகல் மொட்டு,ಸುಲಿಯ ಮೊಗ್ಗು
நுனி ஆதிக்கம்,ಅಪಿಕಲ್ ಪ್ರಾಬಲ್ಯ
Apulcalure (தேனீ வைத்திருத்தல்),ಅಪಿಕಲ್ಚರ್ (ಬೀ ಕೀಪಿಂಗ್)
Apomixis,ತಿಕ್ಕಲು
அப்போப்டொசிஸ்,ಅಪಶೂನ್ಯತೆ
இணைப்பு,ಅನುಬಂಧ
பசி,ಜೀರ್ಣಕಾರಕವಾಗಿ
பயன்படுத்தப்பட்டது,ಅನ್ವಯಿಕ
நீர்வாழ் களை,ಜಲಚರಗಳು
ஆர்போரியல்,ಆಕ್ಷರ
ஆர்பரைசேஷன்,ಗುಂಡಿನ ಕವಚ
தொல்பொருள்-பொட்டானியல் பதிவுகள்,ಪುರಾತತ್ವ-ಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು
பகுதி புள்ளிவிவரங்கள்,ಪ್ರದೇಶದ ಅಂಕಿಅಂಶಗಳು
பகுதி,ಪ್ರದೇಶ
வறண்ட சுற்றுச்சூழல் அமைப்பு,ಶುಷ್ಕ ಪರಿಸರ ವ್ಯವಸ್ಥೆ
Aril,ಹದಮೆರಗಿ
நறுமணம்,ಸುವಾಸನೆ
நறுமண ஆலை,ಆರ್ಯ ಸಸ್ಯ
நறுமண அரிசி,ಆರೊಮ್ಯಾಟಿಕ್ ಅಕ್ಕಿ
அம்பு,ಬಾಣ
அசெப்ஸிஸ்,ಕಸ ರೋಗಿಗಳು
அசெப்டிக்,ಅಸೆಪ್ಟ್
ஓரினச்சேர்க்கை பரப்புதல்,ಅಲೈಂಗಿಕ ಪ್ರಸಾರ
மதிப்பீடு,ಪರಾಕ್ರಮ
சொத்துக்கள்,ಸ್ವಸಮಾನಗಳು
ஒருங்கிணைப்பு,ಏಕೀಕರಣ
தொடர்பு,ಸಂಘ
ஆஸ்ட்ரிஜென்ட்,ತಗ್ಗು
அசினாப்சிஸ்,ಕಸ ರೋಗ
அடாவிசம்,ಅಟಾವ್ ವಾದ
அணுசக்தி,ವ್ಯಭಿಚಾರಿ
அட்ராபி,ಕ್ಷೀಣತೆ
தன்னியக்க,ಸ್ವಯಂಚಾಲಿತ
ஆட்டோலிசிஸ்,ಆಟೊಲಿಸಿಸ್
ஆட்டோஆக்ஸிஜனேற்றம்,ದಾಟುವಿಕೆ
ஆட்டோபோலிப்ளோயிட்,ಸ್ವಯಂಚಾಲನ ಫಲಕ
ஆக்சின்கள்,ಸಮಶೀತ
Awn (முறுக்கு),AWN (ಬಿರುಗೂದಲುಗಳು)
பாதம் கொட்டை,ಬಾದು
கற்றாழை,ಅಡೆ
அமராந்தஸ்,ಹುಳಿ
அம்மி,ಅಮ್ಮ
அஞ்சன் புல்,ಅಂಜಾನ್ ಹುಲ್ಲು
அந்தூரியம்,ಆಧಿವಾತ
"அன்லா, இந்திய நெல்லிக்காய்","ಅಯಾನ್ಲಾ, ಭಾರತೀಯ ಗೂಸ್ಬೆರ್ರಿ"
ஆப்பிள்,ಸೇಬು
பாதாமி,ಏಪ್ರಲಿ
ஆர்பியன் மல்லிகை,ಆರ್ಬಿಯಾನ್ ಜಾಸ್ಮಿನ್
அரேகா நட்டு,ಅರೆನಗವ
அர்ஜுன்,ಹಳ್ಳ
Asfoetida,ಅಸ್ಫೊಟಿಡಾ
சாம்பல் பூசணிக்காய்,ಬೂದಿ ಸೋರೆಕಾಯಿ
அசோகா மரம்,ಅಶೋಕ ಮರ
ஆஷ்த்மா களை (யூபோர்பியா),ಆಶ್ಥಮಾ ವೀಡ್ (ಯುಫೋರ್ಬಿಯಾ)
அஸ்பாரகஸ்,ಶತಾವರಿ
வெண்ணெய்,ಆವಕಾಡು
அல்பால்ஃபா (லூசர்ன்),ಅಲ್ಫಾಲ್ಫಾ (ಲುಸೆರ್ನ್)
எறும்புகள்,ಇರುವೆಗಳು
அஃபிட்ஸ்,ಗಿಡಹೇನುಗಳು
இராணுவ புழு,ಸೈನ್ಯದ ಹುಳು
விவசாய பொருளாதார நிபுணர்,ಕೃಷಿ ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞ
வேளாண் நீட்டிப்பு,ಕೃಷಿ ವಿಸ್ತರಣಾವಾದಿ
விவசாய விஞ்ஞானி,ಕೃಷಿ ವಿಜ್ಞಾನಿ
விவசாய பொறியாளர்,ಕೃಷಿ ಎಂಜಿನಿಯರ್
வேளாண் நிபுணர்,ಕೃಷಿ ವಿಜ್ಞಾನಿ
வேளாண் விஞ்ஞானி,ಕೃಷಿವಾದಿ
வேளாண் இயற்பியல்,ಕೃಷಿ ಭೌತ
விலங்கு வளர்ப்பாளர்,ಪ್ರಾಣಿ ತಳಿಗಾರ
பேசிலஸ் வைரஸ்,ಬ್ಯಾಸಿಲಸ್ ವೈರಸ್
பேசிலஸ்,ಗಾಡಿ
பாக்டீரியா,ಬ್ಯಾಕ್ಟೀರಿಯಾ
பாக்டீரியோடாக்சின்,ಬ್ಯಾಕ್ಟೀರಿಯೊಕ್ಸಿನ್
கரும்பு சக்கை,ಬಜಾಸ್ಸೆ
இருப்புநிலை,ಸಮತೋಲನ
சீரான கருத்தரித்தல்,ಸಮತೋಲನೀಕರಣ
பார் வரைபடம்,ಗಿರಣಿ ರೇಖೆ
பட்டை,ತೊಗಟೆ
காற்றழுத்தமானி,ಮಾಪಕ
தரிசு,ಬಂಜೆ
அடித்தளம்,ಬೇನೆ
பேசின்,ಜಲಾನಯನ ಪ್ರದೇಶ
பாசிபெட்டல்,ಸ್ವಲ್ಪ
பாஸ்கிஸ்டெர்னம்,ಬಾಸದ
விரிகுடா பருவமழை,ಕೊಂಬೆ ಮಾನ್ಸುನ್
தாங்கும் ஆலை,ಹೊಳಪಿನ
படுக்கை,ಹಾಸಿಗೆ
படுக்கை,ದಟ್ಟಕಾರ
படுக்கை,ಹಾಸಿಗೆ
பீட் மோலாஸ்கள்,ಬೀಟ್ ಮೊಲಾಸಸ್
பெல்லோஸ்,ಬೆನ್ನೆಲುಬು
பெல்ட்,ಪಟ್ಟಿಗೆ
நன்மை-செலவு பகுப்பாய்வு,ಲಾಭ-ವೆಚ್ಚ ವಿಶ್ಲೇಷಣೆ
சார்புடைய (மாதிரி),ಪಕ್ಷಪಾತ (ಮಾದರಿ)
இருபது ஆண்டு,ದ್ವೈವಾರ್ಷಿಕ
இரும,ದ್ವಿಪದೀಯ
உயிரி கையேடு,ಜೈವಿಕ ವ್ಯಾಪ್ತಿಯ
பயோக்ளைமேட்,ಜೈ ಜೈವಿಕ ಗ್ರಂಥಾಲಯ
பயோஎனெர்ஜி,ಜೈವಿಕ ಕರ್ತವ್ಯ
பயோனமிக்ஸ்,ಜೈವಿಕಶಾಸ್ತ್ರ
உயிரியக்கவியல்,ಜೈವಿಕ ರಿಯಾಯಿತಿ
உயிர்க்கோளம்,ಜೀವಗೋಳ
உயிரியல்,ಜೈವಿಕ
உயிரியல் வகை,ಬಯೋಟೈತನ
இருபால்,ದ್ವಿಲಿಂಗಿ
பிளான்சிங்,ಚಿರತೆ
குண்டு வெடிப்பு,ಹರಡು
கலவை,ಮಿಶ್ರಣ
ப்ளைட்,ಗದ್ದಲ
கொப்புளம்,ಗುಳ್ಳೆ
நீல புரட்சி,ನೀಲಿ ಕ್ರಾಂತಿ
கீழே வெப்ப அறை,ಕೆಳಗಿನ ಶಾಖ ಕೊಠಡಿ
கீழே வெப்ப நுட்பம்,ಕೆಳಗಿನ ಶಾಖ ತಂತ್ರ
பிரான்,ಹೊಟ್ಟು
கிளைகள்,ಕವಲೊಡೆ
கிளை,ಸಣ್ಣ ಕೊಂಬೆ
இனம்,ತಳಿ
இனப்பெருக்க,ತಳಿ
கரைந்து,ಕಂಗುರು
அடைகாக்கும்,ಸಂಸಾರ
வளரும்,ಮೊಳಕೆಯ
பட்ஜெட்,ಬಜೆ
இடையக,ಬಫಲು
விளக்கை,ಬಟಗು
பன்ட்,ಚೂರುಚೂರಾಗಿ
துணை தயாரிப்பு,ಉಪ-ಉತ್ಪನ್ನ
பாபுல் அகாசியா,ಬಾಬುಲ್ ಅಕೇಶಿಯ
குழந்தை சோளம்,ಬೇಬಿ ಕಾರ್ನ್
பேல்,ಬುದ್ದಿ
பெயில்,ಬಾಯಿ
பால்சம்,ಕಸಕ
மூங்கில்,ಬಿದಿರು
வாழை,ಬಾಳೆಹಣ್ಣು
ஆலமரம்,ಆಲದ ಮರ
பார்லி,ಬಾರ್ಲಿ
பார்ன்யார்ட் மில்லட்,ಬಾರ್ನ್ಯಾರ್ಡ್ ರಾಗಿ
துளசி,ತುಳಸಿ
பாஸ்டர்ட் சிடார்,ಬಾಸ್ಟರ್ಡ್ ಸೀಡರ್
பாஸ்டர்ட் மைரோபாலன்,ಬಾಸ್ಟರ್ಡ್ ಮೈರೋಬಾಲನ್
ப au ஹினியா,ಮಾಟ
பே பெர்ரி,ಕೊಲ್ಲಿ ಬೆರ್ರಿ
பீன்,ಹುರುಳಿ
பீட்,ಬೀಟ್
பெல்லடோனா,ಬೆಲ್ಲ
பெர்,ಗಡಿ
பெர்சீம்,ಗಡಿ
பெட்டல்,ಬಿಲ್ಲೆ
பிலிம்பி,ಬಿಲಿಂಬಿ
பாகற்காய்,ಹಾಗಲಕಾಯಿ
கருப்பு கிராம்,ಕಪ್ಪು ಗ್ರಾಂ
கருப்பு நைட்ஷேட்,ಕಪ್ಪು ನೈಟ್ಶೇಡ್
Bougainvillea,ಬಾಗ್‌ನ್ವಿಲ್ಲಾ
பாட்டில் தூரிகை,ಬಾಟಲಿ ಕುಂಚ
சுரைக்காய்,ಬಾಟಲಿ ಸೋರೆ
பெட்டி மரம்,ಬಾಕ್ಸ್ ಮರ
ரொட்டி பழம்,ಬ್ರೆಡ್ ಹಣ್ಣು
பிரைடல் க்ரீப்பர்,ವಧುವಿನ
பிரிஞ்சல்,ಬಿಲ್ಲಾ
பிராட் பீன்,ವಿಶಾಲ ಹುರುಳಿ
ப்ரோக்கோலி,ಕೋಸುಗಡ್ಡೆ
பிரஸ்ஸலின் முளை,ಬ್ರಸೆಲ್ ಮೊಳಕೆ
பக்வீட்,ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯೆಟ್
பியூட்டியா,ದೆವ್ವ
பாண்டிகூட்,ದಳ
தாங்க,ಕರಾರು
வண்டு,ಜೀರುಂಡೆ
கொப்புளம் வண்டு,ಗುಳ್ಳೆ ಜೀರುಂಡೆ
நீல காளை,ನೀಲಿ ಬುಲ್
போல் புழு,ಬಾಲ್ ಹುಳು
பட்டாம்பூச்சி,ಚಿಟ್ಟೆ
பாக்டீரியாலஜிஸ்ட்,ಬ್ಯಾಕ್ಟೀರಿಯವಿಜ್ಞಾನಿ
உயிர் வேதியியலாளர்,ಜೈವಿಕ ರಸಾಯನಶಾಸ್ತ್ರಜ್ಞ
உயிரியலாளர்,ಜೀವಶಾಸ್ತ್ರಜ್ಞ
பயோடெக்னாலஜிஸ்ட்,ಜೈವಿಕ ತಂತ್ರಜ್ಞಾನಶಾಸ್ತ್ರಜ್ಞ
தாவரவியலாளர்,ಸಸ್ಯಶಾಸ್ತ್ರಜ್ಞ
சி ஈரப்பதம் சிறப்பியல்பு வளைவு,ಸಿ ತೇವಾಂಶ ವಿಶಿಷ್ಟ ವಕ್ರರೇಖೆ
கேக்,ಕೇಕು
கணக்கீட்டு,ಕ್ಯಾಲ್ಕೇರಿಯ
கணக்கீடு,ಲೆಕ್ಕಪರಿಶೋಧನೆ
பாஸ்பேட் கணக்கீடு,ಫಾಸ್ಫೇಟ್ನ ಲೆಕ್ಕಾಚಾರ
காலோசிட்டி,ಗಲಾಟೆ
கால்சஸ்,ನಮ್ಮನ್ನು ಕರೆ ಮಾಡಿ
கலிக்ஸ்,ಕಣಿವೆ
கலிக்ஸ்-எண்ட்,ಕ್ಯಾಲಿಕ್ಸ್ ಅಂತ್ಯ
காம்பியம்,ಕ್ಯಾಂಬಿಯಂ
புற்றுநோய்,ಗೋಪುರ
கேனிங்,ಡಬ್ಬಿ
விதானம்,ಮೇಲಾವರಣ
மூலதனம்,ಬಂಡವಾಳ
கேப்ரிஃபிகேஷன்,ರಭಸ
காப்ஸ்யூல்,ಬಿರಡೆ
கார்பனேற்றப்பட்ட,ಇಂಗಾಲದ
கார்பனாக்கல்,ಇಂಗಾಲೀಕರಣ
கார்பல்,ಗಡಿ
கார்பஸ்,ಗಾಡಿ
வார்ப்பு,ಬಿಂಚು
வினையூக்கம்,ಕಟಾಬೋಲಿಸಂ
வினையூக்கம்,ವೇಗವರ್ಧನೆ
கம்பளிப்பூச்சி,ಮರಿಹುಳು
சி-டி.என்.ஏ நூலகம்,ಸಿ-ಡಿಎನ್‌ಎ ಗ್ರಂಥಾಲಯ
உச்சவரம்பு,ಚಾವಣಿಯ
செல்,ಕೋಶ
மத்திய தலைவர் அமைப்பு,ಕೇಂದ್ರ ನಾಯಕ ವ್ಯವಸ್ಥೆ
மையமாக,ಕೇಂದ್ರೀಯ
மையவிலக்கு,ಕೇಂದ್ರೀಕರಣ
மையவிலக்கு,ಕೇಂದ್ರಾಪಗಾಮಿ
சென்ட்ரியோல்,ಕೇಂದ್ರ
சென்ட்ரோஜெனிக்,ಮಧ್ಯಭಾಗದ
சென்ட்ரெஸ்ஜெனஸ்,ಮಧ್ಯಮ ಜನಕ
செர்கஸ்,ಸರ್ಕಸ್
தானியங்கள்,ಏಕದಳ
சான்றிதழ்,ಪ್ರಮಾಣೀಕರಣ
சான்றளிக்கப்பட்ட விதை,ಬೀಜ
சஃப்,ಚಾವಟಿ
சலாசா,ದನಗಳು
வேதியியல்,ರಾಸಾಯನಿಕತೆ
சியாஸ்மா,ಚಿರತೆ
குளிர்ச்சியான நேரம்,ತಣ್ಣಗಾಗುವ ಸಮಯ
குளிர்ச்சியான காயம்,ತಣ್ಣಗಾಗುವುದು
சிமேரா,ಚಿಮಿಯ
குளோராந்தி,ಕ್ಲೋರಾಂಥಿ
குளோரோபில்,ಚೂರು
குளோரோசிஸ்,ಕ್ಲೋರೋಸಿಸ್
குளோரோலஜி,ಕ್ಲೋರಸ್ ಶಾಸ್ತ್ರ
குரோமாடிட்,ವರ್ಣರಂಜಿತ
குரோமாடின்,ಕ್ರೊಮ್ಯಾಟಿನ್
குரோமடோகிராபி,ವರ್ಣರೇಖನ
குரோமாடோலிசிஸ்,ವರ್ಣರಂಗೀಕರಣ
குரோமோசென்ட்ரே,ವರ್ಣಚಿತ್ರ
குரோமோஜெனெஸிஸ்,ವರ್ಣಗುವನ
குரோமோபுரோட்டீன்,ವರ್ಣರಂಜಿತ
குரோமோசோம்,ವರ್ಣತಂತು
நாள்பட்ட,ದೀರ್ಘಕಾಲದ
சிட்ரேஞ்ச்,ನಲಿದ
