Tamil,Malayalam
கைவிடப்பட்ட உறுப்பு,നിർത്തലാക്കിയ അവയവം
நிறுத்தப்பட்ட விதை,നിർത്തലാക്കിയ വിത്ത്
கருக்கலைப்பு,ഗര്ഭഛിദം
முழுமையான களை,കേവല കള
உறிஞ்சப்பட்ட கேஷன்,ആഗിരണം ചെയ്യപ്പെട്ട വ്യാജം
உறிஞ்சுதல்,ആഗിരണം
அபிசீனிய கடுகு,അബിസീനിയൻ കടുക്
அகரைடு,Ala എഴുതിയത്
உச்சரிப்பு,അക്വെൻട്രിക്
உச்சநிலை (செல்),ആക്സന്റ്വേറ്റ് (സെൽ)
ஏற்றுக்கொள்ளப்பட்ட சகிப்புத்தன்மை,അംഗീകരിച്ച സഹിഷ്ണുത
துணை,ഉപസാധനം
பழக்கவழக்கமயமாக்கல்,ACCLIMATIES
குவிப்பு,കൂന്വാരം
துல்லியம்,കൃതത
அசெருலஸ்,Aiverulus
அசிடிபிகேஷன்,അസഹീകരണം
அமிலமயமாக்கல்,അസിഡിറ്റി
அமிலமீட்டர்,ആദിമീറ്റര്
அமிலத்தன்மை,അസിഡിറ്റി
அமிலத்தன்மை கொண்ட,അഡോഫിലിക്
அமிலப்படுத்தப்பட்ட ராக் பாஸ்பேட்,അസിഡിലേറ്റഡ് റോക്ക് ഫോസ്ഫേറ്റ്
அமிலத்தன்மை,അയ്യോണിക്
நீர்வாழ்,അക്വിഫർ
கையகப்படுத்தல்,കൈവശപ്പെടുത്തൽ
ஏக்கர்,ഏന്വുല്ല്
ஏக்கர் தூரம்,പസ്താര
அக்ரோசென்ட்ரிக் குரோமோசோம்,അക്രോസൻട്രിക് ക്രോമസോം
அக்ரோபெட்டல்,അക്രോപോറ്റൽ
சக்ரோசோம்,അക്രോസോം
ஆக்டினோமைசீட்கள்,ആക്റ്റിനോമൈസെറ്റുകൾ
செயலில் ரூட் மண்டலம்,സജീവ റൂട്ട് സോൺ
கடுமையான,തുളച്ചുകയറുന്ന
தகவமைப்பு,പൊരുത്തപ്പെടലി
தழுவல்,പൊരുത്തപ്പെടുത്തൽ
ஒட்டுதல்,അഷൈൻ
கொழுப்பு,അദിപ്പോസ്
சரிசெய்தல் சமன்பாடு,ക്രമീകരണ സമവാക്യം
அடோப் மண்,അഡോബ് മണ്ണ്
கலப்படம்,പ്രത്യേകത
சாகச,സാഹസികത
Aecidiospore,Aecidiossoror
ஏலியன் செயல்முறை,ഓലിയൻ പ്രക്രിയ
ஏயோலியன்,Aiolian
காற்றோட்டம்,ഓറേറ്റ്
வான்வழி,ഏരിയൽ
ஏரோமானி,ഏയ്റോമീറ്റർ
ஏரோசோல்,എയറോസോൾ
அவதூறு,പകർച്ചവ്വാധം
ஏட்டாலஜி (நோயியல்,Aetiiology (etiology)
காடு வளர்ப்பு,വനനം
கிளர்ச்சி,പ്രക്ഷോഭക്തി
அக்மார்க்,ന്വര്
விவசாய,കാർഷികം
வேளாண் மருத்துவமனை,കാർഷിക ക്ലിനിക്
விவசாய உழைப்பு,കാർഷിക തൊഴിലാളി
விவசாய சந்தைப்படுத்தல்,കാർഷിക മാർക്കറ്റിംഗ്
விவசாய தொழில்நுட்பம்,കാർഷിക സാങ്കേതികവിദ്യ
வேளாண்மை,കൃഷിപ്പണി
வேளாண் வளர்ப்பை,അഗ്രിസിൾവികൾച്ചർ
வேளாண் பன்முகத்தன்மை,കാർഷികൈവൻവിറ്റി
வேளாண் வியாபார குறைபாடுகள்,അഗ്രോബയോളജിക്കൽ വൈകല്യങ്ങൾ
வேளாண்வியல்,അഗ്രോബയോളജി
வேளாண் பன்முகத்தன்மை,അഗ്രോകീല വൈവിധ്യമാർന്ന വൈവിധ്യമാർന്ന
வேளாண் மண்டல,അഗ്രോക്ലിമാറ്റിക് സോണിംഗ്
வளர்ப்பு,അഗ്രോഫോറസ്ട്രി
விவசாயவியல்,ങ്ങളോട്
வேளாண்,അഗ്രോണമി
அக்ரோபாஸ்டோரல்,അഗ്രോപസ്റ്റോറൽ
அக்ரோபிராசெசிங்,കാർഷികസംരക്ഷണം
அக்ரோஸ்டாலஜி,അഗ്രോസ്റ്റോസ്റ്റിയോളജി
வேளாண் வகை,അഗ്രോട്ടിപ്പ്
விமான ஆலை,എയർ പ്ലാന്റ്
அகியோச்சி மண்,അക്കിയോച്ചി മണ്ണ്
ஆல்பினிசம்,ആൽബിനിസം
அல்பிசோல்ஸ்,ആൽഫിസോളുകൾ
பாசி,ആല്ഗകൾ
பாசி நோய்,ആൽഗൽ രോഗം
கார நீர்,ക്ഷാളി വെള്ളം
கார,ആൽക്കലൈൻ
அல்லீல்,അല്ലലേ
அல்லீல கெமிக்கல்ஸ்,അല്ലോകെമിക്കലുകൾ
அல்லீலோமார்ப்,AllloMorph
அலெலோபதி,നിയോവദാതി
சந்து பயிர்,ഓൺലൈൻ ക്രോപ്പിംഗ്
ஒதுக்கீடு,അലോക്കർപി
Allocamy,അലോഗാമി
அலோமெட்ரி,അലറിരം
அலோபோலிப்ளோயிட்,Allopolyplogid
அலோசினாப்சிஸ் (அலோசின்டெசிஸ்),Allosynapsis (Allowsyndesis)
மாற்று தாங்கி,ഇതര ബെയറിംഗ്
மாற்று நில பயன்பாடு,ഇതര ഭൂമി ഉപയോഗം
சுற்றுப்புறம்,ആംബിയന്റ്സ്
அமெலியோரண்ட்,സൗഹാർഭോഗം
அமிடோசிஸ்,അമിറ്റോസിസ്
வெடிமருந்து,അമിനിവൽക്കരണം
அம்மோனிகேஃபிகேஷன்,അമ്മോണിഫിക്കേഷൻ
அம்மோனியர்,അമോമോണിഫയർ
அமார்,അമോഫ്
ஆம்பிமிக்ஸிஸ்,ആംഫിമിക്സിസ്
ஆம்போடெரிக்,ആംഫോടെക്
அனபோலிசம்,അനാബോളിസം
காற்றில்லா,അയ്റോബ്
அனூப்ளோயிட்,Aneuplogode
கோண நடவு,ആംഗിൾ നടുക്കം
கால்நடை வளர்ப்பு,മൃഗസംരക്ഷണം
விலங்கு மறுப்பு,മൃഗങ്ങളെ പ്രതിഫലിപ്പിക്കൽ
ஆற்றல் உயிரின,ആത്യന്തിക .ർജ്ജം
அனிசோப்ளோயிட்,Anisoplode
ஆண்டு ஆலை,വാർഷിക സസ്യം
ஆண்டு,ആണ്ടുതോറുമുള്ള
ஆன்டெஸிஸ்,ആന്തീസിസ്
ஆந்த்ராக்ஸ்,ആന്ത്രാക്സ്
மானுடவியல் காரணி,ആന്ത്രോപെനിക് ഘടകം
ஆண்டிபியோசிஸ்,ആന്റിബിയോസിസ്
நுண்ணுயிர்க்கொல்லி,രോഗനാശിനി
மாற்று,മറുമരുന്ന്
ஆக்ஸிஜனேற்றிகள்,ആന്റിഓക്സിഡന്റുകൾ
ஆன்டிடாக்சின்,ആന്റിടോക്സിൻ
ANNULUS,അപര്യാഘാതം
அஃபிட்,ആഫിഡ്
அபிகல் மொட்டு,അഗ്രമുദിനം
நுனி ஆதிக்கம்,അഗ്ര ആധിപത്യം
Apulcalure (தேனீ வைத்திருத்தல்),അപ്പോർച്ചർ (ബീ സൂപ്പർഡിംഗ്)
Apomixis,അപ്പോമിക്സിസ്
அப்போப்டொசிஸ்,അപ്പോപ്ടോസിസ്
இணைப்பு,അനുബന്ധം
பசி,വിശപ്പ്
பயன்படுத்தப்பட்டது,പ്രയോഗിച്ചു
நீர்வாழ் களை,അക്വാട്ടിക് കള
ஆர்போரியல்,അർബോറിയൽ
ஆர்பரைசேஷன்,അർബോറൈസേഷൻ
தொல்பொருள்-பொட்டானியல் பதிவுகள்,ആർഎംജിയോ-ബൊട്ടാണിക്കൽ റെക്കോർഡുകൾ
பகுதி புள்ளிவிவரங்கள்,ഏരിയ സ്ഥിതിവിവരക്കണക്കുകൾ
பகுதி,പദേശം
வறண்ட சுற்றுச்சூழல் அமைப்பு,വരണ്ട ആവാസവ്യവസ്ഥ
Aril,വര്ഷ്ടിക്കുക
நறுமணம்,സൗരഭം
நறுமண ஆலை,ആരോമാറ്റിക് പ്ലാന്റ്
நறுமண அரிசி,ആരോമാറ്റിക് അരി
அம்பு,അഴുക്കുചാല്
அசெப்ஸிஸ்,അശെപ്സിസ്
