Telugu,Marathi
అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్,वेस्टमिन्स्टरचे मठाधीश
పదవీ విరమణ,निषिद्ध
బానిసత్వ నిర్మూలన,गुलामगिरीचे उच्चाटन
ఆదివాసి,आदिवासी
అబ్రహం యుగం,अब्राहम युग
గైర్హాజరు భూస్వాములు,अनुपस्थित जमीनदार
అకాడమీ,अकादमी
అక్ర సమావేశం,अक्रा परिषद
సంపాదన,जमा
సంస్కారము,संवर्धन
అసెల్డామా,एसेलडामा
అచెయన్ (=అచియన్),आचियन (=अचियन)
అచీయన్ లీగ్ (=అచియన్ లీగ్),आचियन लीग (=अचियन लीग)
అక్రోపోలిస్,एक्रोपोलिस
ఆక్టా డియుర్నా,Acta Diurna
ఆక్టా సెనాటస్,Acta Senatus
యాక్టే అడిషనల్,ऍक्ट अॅडिशनल
యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు),सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड)
సాధించేవారి చర్య,प्राप्तकर्त्याची कृती
నష్టపరిహారం మరియు ఉపేక్ష చట్టం,नुकसानभरपाई आणि विस्मरणाचा कायदा
సెటిల్మెంట్ చట్టం,सेटलमेंटचा कायदा
ప్రకటన ఒప్పంద ముద్ర,जाहिरात करार सील
అడుల్లామైట్స్,अदुल्लामाइट्स
విరోధి,विरोधक
విరోధి,विरोधक
అయాన్,एऑन
ఏరోరియం,एरेरियम
వైమానిక యుద్ధం,हवाई युद्ध
ఏటోలియన్ లీగ్,एटोलियन लीग
వయస్సు,वय
వృద్ధాప్యం (=వృద్ధాప్యం),वृद्धत्व (=वृद्धत्व)
వృద్ధాప్య ప్రక్రియ,वृद्धत्व प्रक्रिया
అగెలై,अगेलाय
శౌర్య యుగం,पराक्रमाचे वय
జ్ఞానోదయం వయస్సు,ज्ञानाचे वय
పెరికిల్స్ వయస్సు,पेरिकल्सचे वय
కారణం వయస్సు,कारण वय
వ్యవసాయం,कृषीवाद
వ్యవసాయ ఉద్యమం,कृषी चळवळ
అల్బియాన్,अल्बिओन
ఆల్బమ్,अल्बम
ఆల్డర్మాన్,अल्डरमन
అల్లుడు చేతులు,मोहक हात
సఖ్యత,मैत्री
యాంఫిక్యోనిక్ కౌన్సిల్,एम्फेक्टियोनिक परिषद
యాంఫిక్యోనిక్ లీగ్,एम्फेक्टियोनिक लीग
యాంఫీ థియేటర్,अॅम्फिथिएटर
అమ్రి నల్ గ్రూప్ (కుండల),अमरी नल गट (मातीचा)
అనాక్రోనిజం,अनाक्रोनिझम
అనాక్రోనిస్టిక్,अनाक्रोनिस्टिक
పూర్వీకుడు,पूर्वज
పూర్వీకుల ఆరాధన,पूर्वजांची पूजा
పూర్వీకులు,वंशपरंपरा
పూర్వీకులు,वंशपरंपरा
పూర్వీకులు,वंशपरंपरा
పూర్వీకులు,वंशपरंपरा
ప్రాచీన పాలన,प्राचीन राजवट
ప్రాచీన,प्राचीन
పురాతన బల్లాడ్,प्राचीन बालगीत
పురాతన నమ్మకం,प्राचीन श्रद्धा
ప్రాచీన ఆచారం,प्राचीन प्रथा
పురాతన చరిత్ర,प्राचीन इतिहास
పురాతన స్మారక చిహ్నాలు,प्राचीन स्मारके
ఉదంతము,किस्सा
ఏంజెలోట్,अँजेलोट
ఏంజెలస్,एंजलस
అంజివిన్ (=అంజెవిన్),अँजेविन (=अंजेविन)
కోణాలు,कोन
ఆంగ్లికన్,अँग्लिकन
ఆంగ్లికన్ కమ్యూనియన్,अँग्लिकन कम्युनियन
ఆంగ్లికనిజం,अँग्लिकनवाद
ఆంగ్లో-ఫోబ్,अँग्लो-फोब
ఆంగ్లో-ఫోబియా,अँग्लो-फोबिया
ఆంగ్లో-సాక్సన్,अँग्लो-सॅक्सन
ఆంగ్లో-సాక్సోనిజం,अँग्लो-सॅक्सोनवाद
అన్నలిస్ట్,अॅनालिस्ट
అన్నల్స్,इतिहास
అనుబంధం,संलग्नीकरण
