Bengali,Odiya
অ্যাবাকাস,ଆବାକସ୍ |
অস্বাভাবিক সমাপ্তি,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
গর্ভপাত,ପରିତ୍ୟାଗ
পরম,ସଂପୂର୍ଣ୍ଣ
পরম ঠিকানা,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
পরম ঠিকানা,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
পরম সংযোজনকারী,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
পরম কোড,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
পরম আদেশ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
পরম তথ্য,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
পরম নির্দেশ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
পরম মোড,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
পরম পথ,ସଂପୂର୍ଣ୍ଣ ପଥ
পরম প্রোগ্রামিং,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
বিমূর্ত ক্লাস,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
বিমূর্ত তথ্য প্রকার,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
বিমূর্ত মেশিন,ବିସ୍ତୃତ ମେସିନ୍ |
বিমূর্ত প্রতীক,ବିସ୍ତୃତ ପ୍ରତୀକ |
বিমূর্ত বাক্য গঠন,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
স্বীকৃতি যাচাইকরণ,ଗ୍ରହଣ ପରୀକ୍ଷା
অ্যাক্সেস প্রমাণীকরণ,ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |
প্রবেশাধিকার কোড,ପ୍ରବେଶ କୋଡ୍
প্রবেশাধিকার নিয়ন্ত্রণ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
অ্যাক্সেস স্ক্যান,ଆକ୍ସେସ୍ ସ୍କାନ୍ |
আনুষঙ্গিক,ଆନୁଷଙ୍ଗିକ
অ্যাকাউন্ট,ଖାତା
অ্যাকাউন্ট আইডি,ଖାତା ID
সঞ্চয়কারী,ଜମାକାରୀ
সঠিকতা,ସଠିକତା
