Hindi,Odiya
अजीवात् जनन,ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |
अपसामान्य,ପରମାନନ୍ଦ
1. चतुर्थ आमाशय 2. ऐवोमैसम,1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |
रुद्ध-वृद्धि अंग,ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |
रुद्ध वृद्धि बीज,ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |
1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध,1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |
1. अवांछित अपतृण 2. पूर्ण खरपतवार,1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |
अवशोषित धनायन,ଅବଶୋଷିତ କ୍ୟାସନ୍ |
अवशोषण,ଅବଶୋଷଣ
ऐबिसिनी सरसों,ଅବିଶ୍ୱାସୀ ସୋରିଷ |
1.एकेरेसनाशी 2. चिचड़ीनाशी,1. ଆକାରିସାଇଡ୍ |
अकेंद्री,ସେଣ୍ଟ୍ରିପେଟାଲ୍ |
प्रवर्धन (कोशिका),ବୃଦ୍ଧି (କକ୍ଷ)
स्वीकृत सह्यता,ଅନୁମୋଦିତ ସହନଶୀଳତା |
1.अतिरिक्त 2. सहायक 3. गौण,1. ଅତିରିକ୍ତ 2.accessory 3.accessory
पर्यनुकूलन,ଆଡାପ୍ଟେସନ୍
संचय,ଜମା
1.vयथार्थता 2. परिशुद्धता,1. ସଠିକତା 2. ସଠିକତା |
1. एसर्वुलस 2. बीजाणुपात्र,1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |
1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन,1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |
1. अम्लीकरण 2. अम्लन,1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |
1.अम्लतामापी 2. एसिडीमीटर,1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |
अम्लता,ଅମ୍ଳତା |
अम्लरागी,ଏସିଡୋଫାଇଲ୍ |
अम्लीकृत रॉक फॉस्फेट,ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |
अम्लसह,ଅମ୍ଳଯୁକ୍ତ |
जलभृत,ଜଳଜଳ
अधिग्रहण,ଅଧିଗ୍ରହଣ
एकड़,ଏକର
1.क्षेत्रफल 2. रकबा,1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର
उपांत बिंदु क्रोमोसोम,ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |
अग्राभिसारी,ଆଗକୁ ଦେଖିବା
ऐक्रोसोम,ଆକ୍ରୋସୋମ୍ |
एक्टिनोमाइसिटीज,ଆକ୍ଟିନୋମାଇସେଟ୍ସ |
सक्रिय मूलक्षेत्र,ସକ୍ରିୟ କୋର୍ |
1.उग्र 2. तीव्र,1. କ୍ରୋଧିତ 2. ତୀବ୍ର
अनुकूलनशीलता,ଅନୁକୂଳତା
अनुकूलन,କଷ୍ଟମାଇଜେସନ୍
1. आसंजन 2. अभिलाग,1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |
वसामय,sebaceous
समायोजन समीकरण,ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ
ऐडोब मृदा,ଆଡୋବ ମାଟି |
अपमिश्रक,ବ୍ୟଭିଚାର
अपस्थानिक,ଏକ୍ଟୋପିକ୍
इसीडियोस्पोर इसीडियम बीजाणु,Isidiospore Isidium Spore |
वातोढ़ प्रक्रिया,ଏରୋଡାଇନାମିକ୍ ପ୍ରକ୍ରିୟା |
वातोढ़,ଭେଣ୍ଟ୍ରାଲ୍ |
वातन करना,ବିମାନକୁ
