Hindi,Punjabi
अपसामान्य,ਅਸਧਾਰਨ
विफलन,ਅਧੂਰਾ ਛੱਡਣਾ
"अपघर्षण, घिसाई",ਘ੍ਰਿਣਾ
"असंलग्न, अचानक, सहसा, विच्छिन्न",ਅਚਾਨਕ
निरपेक्ष क्षेत्र सामर्थ्य,ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ
परम ताप,ਪੂਰਨ ਤਾਪਮਾਨ
निरपेक्ष मान,ਸਹੀ ਮੁੱਲ
"अवशोषित करना, अवशोषण करना",ਸੋਖਣਾ
अवशोषण गुणांक,ਸਮਾਈ ਸਹਿਕਾਰਤਾ
अवशोषण हानि,ਸਮਾਈ ਨੁਕਸਾਨ
"अमूर्त, सारांश, सार, संक्षेप",ਸਾਰ
त्वरणमापी,ਐਕਸੀਲਾਮੀਟਰ
स्वीकृति परीक्षण,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
अभिगम,ਪਹੁੰਚ
अभिगम नियंत्रण,ਐਕਸੈਸ ਕੰਟਰੋਲ
अभिगम बिंदु,ਐਕਸੈਸ ਪੁਆਇੰਟ
अभिगम काल,ਐਕਸੈਸ ਟਾਈਮ
अभिगम्यता,ਪਹੁੰਚਯੋਗਤਾ
संचायक सेल,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ
यथार्थता,ਸ਼ੁੱਧਤਾ
यथार्थ,ਸਹੀ
अवर्णक लेन्स,ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼
"अम्ल, ऐसिड",ਐਸਿਡ
अम्लसह,ਐਸਿਡ ਦਾ ਸਬੂਤ
अम्लता,ਐਸਿਡਿਟੀ
"पावती द्वयंक, पावती बिट",ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ
ध्वानिक,ਧੁਨੀ
ध्वानिक संचार,ਧੁਨੀ ਸੰਚਾਰ
ध्वानिक विसरण,ਧੁਨੀ ਫੈਲਾਉਣ
ध्वानिक समकारी,ਧੁਨੀ ਬਰਾਬਰੀ
"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश",ਧੁਨੀ ਫੀਡਬੈਕ
"ध्वानिक फिल्टर, ध्वानिक निस्यंदक",ਧੁਨੀ ਫਿਲਟਰ
ध्वानिक प्रतिबाधा,ਧੁਨੀ ਰੁਕਾਵਟ
"ध्वानिक आवरण, ध्वानिक प्रच्छादन",ਧੁਨੀ ਮਾਸਕਿੰਗ
ध्वानिक षक्ति,ਧੁਨੀ ਸ਼ਕਤੀ
ध्वानिक गुणधर्म,ਧੁਨੀ ਸੰਪਤੀ
ध्वानिक प्रतिघात,ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ
ध्वानिक प्रतिवर्त,ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ
ध्वानिक टाइल,ਧੁਨੀ ਟਾਈਲ
ध्वानिक तरंग,ਧੁਨੀ ਲਹਿਰ
ध्वानिक अवशोषण गुणांक,ਧੁਨੀ ਸਮਾਈ
ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक,ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ
ध्वानिक अवमंदन,ਧੁਨੀ ਗਿੱਲੀ
ध्वानिक विलंब लाइन,ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ
ध्वानिक विरूपण,ਧੁਨੀ ਵਿਗਾੜ
ध्वनि-वाहिनी,ਧੁਨੀ ਨਲੀ
ध्वानिक ऊर्जा,ਧੁਨੀ energy ਰਜਾ
ध्वानिक पुनर्निवेश,ਧੁਨੀ ਫੀਡਬੈਕ
"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक",ਧੁਨੀ ਫਿਲਟਰ
ध्वानिक प्रतिबाधा,ਧਾਰਨਾ
ध्वानिक संचरण नियतांक,ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ
ध्वानिक प्रतिरोध,ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ
ध्वानिकतः रुद्ध,ਧੁਨੀ
"ध्वानिकी, ध्वनि विज्ञान",ਧੁਨੀ
"अधिग्रहण, अर्जन, उपार्जन",ਗ੍ਰਹਿਣ
संक्षिप्त रूप,ਐਕਰੋਨਾਈਮ
कार्य क्षेत्र,ਕਾਰਵਾਈ ਖੇਤਰ
"सक्रियकृत तंतु, सक्रियित तंतु",ਸਰਗਰਮ ਤੰਦ
सक्रिय,ਕਿਰਿਆਸ਼ੀਲ
सक्रिय क्षेत्र,ਐਕਟਿਵ ਖੇਤਰ
सक्रिय विंडो,ਐਕਟਿਵ ਵਿੰਡੋ
अनुकूलनीयता,ਅਨੁਕੂਲਤਾ
"अनुकूलक, अनुकूलित्र",ਅਡੈਪਟਰ (ਅਡੈਪਟਰ)
अनुकूली विभेदी स्पंद कोड मॉडुलन,ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ
"पता पुस्तिका, एड्रेस बुक",ਐਡਰੈੱਸ ਬੁੱਕ
"पता बस, एड्रेस बस",ਪਤਾ ਬੱਸ
"पता विभेदन, एड्रेस विभेदन",ਪਤਾ ਹੱਲ
"आसन्न सरणी व्यतिकरण, आसन्न चैनल व्यतिकरण",ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ
"आसन्न चैनल वरण-क्षमता, आसन्न चैनल चयनात्मकता",ਨਾਲਤ ਚੈਨਲ ਚੋਣ
आसन्न आवृत्ति,ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ
आसन्न आवृत्ति चैनल,ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ
"आसन्न चित्र वाहक, संलग्न वीडियो वाहक",ਨਾਲ ਲੱਗਦੀ ਤਸਵੀਰ ਕੈਰੀਅਰ
आसन्न ध्वनि वाहक,ਨਾਲ ਲੱਗਦੀ ਆਵਾਜ਼ ਕੈਰੀਅਰ
"निकटवतब स्टेशन, निकटवतब केंद्र",ਨਾਲ ਲੱਗਦੀ ਸਟੇਸ਼ਨ
समायोज्य,ਵਿਵਸਥਤ
समायोज्य संधारित्र,ਵਿਵਸਥਤ ਕੰਡੈਂਸਰ
समायोज्य दाब,ਦਬਾਅ ਵਿਵਸਥਿਤ ਕਰਨਾ
समायोजी रिंच,ਰੈਂਚ ਨੂੰ ਵਿਵਸਥਿਤ ਕਰਨਾ
समायोजन,ਵਿਵਸਥਾ
"प्रशासक, नियंत्रक",ਪ੍ਰਬੰਧਕ
उन्नत प्रौद्योगिकी,ਤਕਨੀਕੀ ਤਕਨਾਲੋਜੀ
"एरियल (ऐन्टेना), आकाशी, वायव, हवाई",ਏਰੀਅਲ
एरियल व्यूह,ਏਰੀਅਲ ਐਰੇ
"एरियल वर्धक, ऐन्टेना वर्धक",ਏਰੀਅਲ ਬੂਸਟਰ
ऐन्टेना धारा,ਏਰੀਅਲ ਮੌਜੂਦਾ
ऐन्टेना भूसंपर्कक स्विच,ਏਰੀਅਲ ਕਮਾ ਸਵਿੱਚ
ऐन्टेना दक्षता,ਏਰੀਅਲ ਕੁਸ਼ਲਤਾ
ऐन्टेना प्रतिबाधा,ਏਰੀਅਲ ਰੁਕਾਵਟ
ऐन्टेना प्रेरकत्व,ਏਰੀਅਲ ਇੰਡਕੈਕਟੈਂਸ
ऐन्टेना विद्तरोधी,ਏਰੀਅਲ ਇਨਸੂਲੇਟਰ
ऐन्टेना भारण कुंडली,ਹਵਾਈ ਲੋਡਿੰਗ ਕੋਇਲ
आकाषी फोटोग्राफी,ਹਵਾਈ ਫੋਟੋਗ੍ਰਾਫੀ
ऐन्टेना षक्ति,ਏਰੀਅਲ ਪਾਵਰ
आकाशी विकिरण प्रतिरोध,ਏਰੀਅਲ ਰੇਡੀਏਸ਼ਨ ਰੀਸੈਂਟਸ
ऐन्टेना प्रतिघात,ਏਰੀਅਲ ਪ੍ਰਤੀਕਰਮ
वायुगतिकी,ਐਰੋਡਾਇਨਾਮਿਕਸ
"एजेंसी, अभिकरण",ਏਜੰਸੀ
वायु संपीडक,ਏਅਰ ਕੰਪ੍ਰੈਸਰ
वायु संधारित्र,ਏਅਰ ਕੰਡੈਂਸਰ
वायुशीतित,ਹਵਾ ਠੰ .ੀ
वायु क्रोडित कुंडली,ਏਅਰ ਕੋਰਡ ਕੋਇਲ
वातानुकूलन,ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ
ऐल्बीडो,ਅਲਬਾਡੋ
"कलन विधि, एल्गोरिथ्म",ਐਲਗੋਰਿਦਮ
एलियासिंग,ਅਲਾਇਸਿੰਗ
संरेखण,ਐਲਿੰਗਿੰਗ
संरेखण,ਅਲਾਈਨਮੈਂਟ
सर्व तरंग एरियल,ਸਾਰੇ ਵੇਵ ਏਰੀਅਲ
नियतन,ਅਲਾਟਮੈਂਟ
"वर्णक्रमीय, वर्णक्रमिक",ਵਰਣਮਾਲਾ
अक्षरांकीय,ਅਲਫਾਨੁਮਿਕ
अक्षरांकीय संप्रतीक,ਅੱਖਰ ਅੱਖਰ
अक्षरांकीय सूचना,ਅਲਫਾਨੁਮਿਕ ਜਾਣਕਾਰੀ
प्रत्यावतब धारा (ए सी),ਬਦਲਵੇਂ ਮੌਜੂਦਾ (ਏ.ਸੀ.)
प्रत्यावर्तन,ਬਦਲਵਾਂ
"प्रत्यावर्तक, प्रत्यावर्तित्र",ਅਲਟਰਨੇਟਰ
"तुंगता, उन्नतांश, शीर्षलंब",ਉਚਾਈ
अपभू-तुंगता,ਅਗੇਬੀ ਦੀ ਉਚਾਈ
उपभू-तुंगता,ਚਰਿੱਜ ਦੀ ਉਚਾਈ
