Punjabi,Odiya
ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
ਵਿਗਾੜ,ଘୃଣ୍ୟତା |
ਅਸਧਾਰਨ ਸੰਚਾਰ,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
"ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |"
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
ਪੂਰਨ ਨਮੀ,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
ਪੂਰਨ ਗਤੀ,ସଂପୂର୍ଣ୍ଣ ଗତି
ਪੂਰਨ ਨਿਰੀਖਣ,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
ਪੂਰਨ ਤਾਪਮਾਨ,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
ਪੂਰਨ ਜ਼ੀਰੋ,ସଂପୂର୍ଣ୍ଣ ଶୂନ
ਸੋਖਣਾ,ଶୋଷଣ
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ","ଶୋଷକ, ଶୋଷକ"
ਸਮਾਈ ਸਮਰੱਥਾ,ଅବଶୋଷଣ କ୍ଷମତା |
ਸਮਾਈ,ଅବସାଦ |
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ,ଶୋଷକ
ਸਮਾਈ,ଶୋଷଣ
ਗੁਣਾ ਅਨੁਪਾਤ,ବହୁଗୁଣ ଅନୁପାତ |
ਤੇਜ਼ ਕਰੋ,ତ୍ୱରାନ୍ୱିତ କର |
ਜਲਦੀ,ଶୀଘ୍ର ଶୀଘ୍ର
ਪ੍ਰਵੇਗ,ତ୍ୱରଣ
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
ਐਕਸਲੇਟਰ,ତ୍ୱରକ
ਐਕਸਲੇਟਰ,ତ୍ୱରକ
ਐਕਸਲੇਰੋਮੀਟਰ,ଆକ୍ସିଲେରୋମିଟର
prestresser,ସମ୍ମାନ
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,ଗ୍ରହଣୀୟ ପରୀକ୍ଷା
ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ,ଗ୍ରହଣକାରୀ
ਦਾਨੀ ਅਣੂ,ଦାତା ଅଣୁ
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ","ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |"
ਪਹੁੰਚਯੋਗਤਾ,ଅଭିଗମ୍ୟତା
"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)","ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,ପ୍ରବେଶ ସମୟ
ਵਿਜ਼ਟਰ ਗਲਤੀ,ପରିଦର୍ଶକ ତ୍ରୁଟି |
ਵਿਵਸਥਾ,ଆଡଜଷ୍ଟେସନ୍
ਇਕੱਠਾ ਕੀਤਾ,ସଂଗୃହିତ
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","ଜମା, ଜମା"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,ଜମାକାରୀ
ਸ਼ੁੱਧਤਾ,ସଠିକତା
ਅਸਲੀਅਤ,ବାସ୍ତବତା
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |
ਅਕ੍ਰੋਮੈਟਿਕ,ଆକ୍ରୋମାଟିକ୍ |
ਰੰਗੀਨਤਾ,ଆକ୍ରୋମାଟିଟି
ਧੁਨੀ,ଶବ୍ଦ
ਸਾਊਂਡਪਰੂਫ਼,ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |
ਧੁਨੀ ਫੋਨੋਨ,ଆକାଶବାଣୀ ଫୋନନ୍ |
ਆਵਾਜ਼ ਯੂਨਿਟ,ଧ୍ୱନି ଏକକ |
ਧੁਨੀ,ଶବ୍ଦ
ਆਵਾਜ਼ ਜਨਰੇਟਰ,ଶବ୍ଦ ଜେନେରେଟର
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
ਸਰਗਰਮੀ,ସକ୍ରିୟ
ਸਰਗਰਮੀ ਊਰਜਾ,ସକ୍ରିୟ ଶକ୍ତି
"ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ","ସକ୍ରିୟକାରୀ, ସକ୍ରିୟକାରୀ |"
ਕਿਰਿਆਸ਼ੀਲ,ସକ୍ରିୟ |
ਸਰਗਰਮੀ,ସକ୍ରିୟତା
ਅਸਲ ਤਣਾਅ,ପ୍ରକୃତ ଚାପ
ਘੁਸਰ-ਮੁਸਰ,ଫୁସ୍ଫୁସ୍
ਸੰਪੇਕਸ਼ਤ,ସଂକ୍ଷେପରେ
"ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)","ରାଶି, ଯୋଗ, ସମୁଦାୟ (ଏଡି।), ଯୋଗୀ (v।)"
"ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)","ସଂଯୋଗ ସ୍ୱର, ଅତିରିକ୍ତ ସ୍ୱର (ସ୍ ow ର)"
additive,ଯୋଗୀ
adhesion,ଆଡିଶିନ୍ |
ਚਿਪਕਣ ਵਾਲੀ ਊਰਜਾ,ଆଡେସିଭ୍ ଶକ୍ତି |
adiabat,adiabat
adiabatic,ଆଡିଆବାଟିକ୍ |
ਗਰਮੀ ਇੰਸੂਲੇਟਿੰਗ,ଉତ୍ତାପ ଇନସୁଲେଟିଂ
ਲਗਾਵ,ସଂଲଗ୍ନ
ਵਿਵਸਥਿਤ,ନିୟନ୍ତ୍ରିତ
ਪ੍ਰਵੇਸ਼,ଅନୁପ୍ରବେଶ
ਸੋਸ਼ਣ,ବିଜ୍ or ାପନ
ਅੱਗੇ,ଆଗକୁ
ਪ੍ਰਗਤੀਸ਼ੀਲ,ପ୍ରଗତିଶୀଳ |
"ਆਕਾਸ਼ੀ, ਹਵਾ (ਵੀ.), ਏਰੀਅਲ (ਐਡੀ.)","akashi, air (v।), aerial (ed।)"
ਐਂਟੀਨਾ ਸਟ੍ਰੀਮ,ଆଣ୍ଟେନା ଷ୍ଟ୍ରିମ୍ |
ਹਵਾਈ ਸਰਵੇਖਣ,ବାୟୁ ସର୍ବେକ୍ଷଣ |
ਹਵਾ ਦੀ ਗਤੀ,ବାୟୁ ବେଗ
ਐਰੋਡਾਇਨਾਮਿਕ ਗੁਣਾਂਕ,ଏରୋଡାଇନାମିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
ਐਰੋਡਾਇਨਾਮਿਕ,ଏରୋଡାଇନାମିକ୍ |
ਐਰੋਡਾਇਨਾਮਿਕਸ,ଏରୋଡାଇନାମିକ୍ସ |
ਏਅਰੋਨੌਟਿਕਲ,ଏରୋନେଟିକାଲ୍ |
ਐਰੋਨਾਟਿਕਸ,ଏରୋନେଟିକ୍ସ |
ਹਵਾ ਦੀ ਨਬਜ਼,ବାୟୁ ନାଡ
"ਵਾਯੂਮੰਡਲ, ਗੈਸੋਸਫੀਅਰ","ବାୟୁମଣ୍ଡଳ, ଗ୍ୟାସୋସଫର |"
ਫੋਕਸ ਸਿਸਟਮ,ଫୋକସ୍ ସିଷ୍ଟମ୍ |
ਵਾਪਸ ਇਗਨੀਸ਼ਨ,ପଛ ଇଗ୍ନିସନ୍ |
ਵਾਪਸ ਰੋਸ਼ਨੀ,ପଛ ଆଲୋକ
ਉਲਝਣ,ସଂକଟ
"ਉਮਰ, ਉਮਰ, ਉਮਰ, ਯੁੱਗ (ਐਡੀ.), ਸਮੇਂ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਕਰਨ ਲਈ (ਵਰਤ.), ਸਮਾਂ, ਸਮੇਂ ਦੁਆਰਾ ਪ੍ਰਭਾਵਿਤ ਹੋਣ ਲਈ","ବୟସ, ବୟସ, ବୟସ, ଯୁଗ (ଏଡି।), ସମୟ (ver।), ସମୟ, ସମୟ ଦ୍ୱାରା ପ୍ରଭାବିତ ହେବା |"
ਸਮਾਂ ਪ੍ਰਭਾਵਿਤ ਹੋਇਆ,ସମୟ ପ୍ରଭାବିତ |
"ਬੁਢਾਪਾ, ਬੁਢਾਪਾ","ବାର୍ଦ୍ଧକ୍ୟ, ବାର୍ଦ୍ଧକ୍ୟ"
ਸਮਾਂ ਪ੍ਰਭਾਵ,ସମୟ ପ୍ରଭାବ
ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ,ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା
ਗੰਭੀਰਤਾ ਰਹਿਤ,ମାଧ୍ୟାକର୍ଷଣ |
ਸੁਲ੍ਹਾ,ପୁନ iliation ନିର୍ମାଣ
"ਏਅਰਬੋਰਨ ਰਾਡਾਰ, ਏਰੀਅਲ ਰਾਡਾਰ","ବାୟୁବାହୀ ରାଡାର, ଏରିଆଲ୍ ରାଡାର୍ |"
"ਏਰੀਅਲ ਟੀਚਾ, ਏਰੀਅਲ ਟੀਚਾ","ଏରିଲ୍ ଟାର୍ଗେଟ୍, ଏରିଲ୍ ଟାର୍ଗେଟ୍ |"
ਹਵਾ ਸਾਹ ਲੈਣ ਵਾਲਾ,ବାୟୁ ଶ୍ ir ାସକ୍ରିୟା
ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ,ଶୀତତାପ ନିୟନ୍ତ୍ରଣ
ਏਅਰਕ੍ਰੂ ਟ੍ਰਾਂਸਫਾਰਮਰ,ଏୟାରକ୍ରାଫ୍ ଟ୍ରାନ୍ସଫର୍ମର |
ਜਹਾਜ਼,ବିମାନ
ਅਲਾਈਨਮੈਂਟ,ଶ୍ରେଣୀବଦ୍ଧତା |
ਅਲਾਈਨਮੈਂਟ ਗਲਤੀ,ଶ୍ରେଣୀବଦ୍ଧ ତ୍ରୁଟି |
ਲਾਈਵ ਸਰਕਟ,ଲାଇଭ୍ ସର୍କିଟ୍ |
ਪੂਰੀ ਕੱਚ ਦੀ ਟਿਊਬ,ପୂର୍ଣ୍ଣ ଗ୍ଲାସ୍ ଟ୍ୟୁବ୍ |
ਸਾਰੀ ਧਾਤ ਦੀ ਟਿਊਬ,ପୁରା ଧାତୁ ଟ୍ୟୁବ୍ |
ਠੀਕ ਕਰਨ ਲਈ,ଠିକ କରିବା ପାଇଁ
"ਮਿਸਰਤੁ (ਸੰਪਾਦਕ), ਮਿਸ਼ਰਤਵਨ (ਸੀ.ਆਰ.)","ମିସ୍ରାଟୁ (ଏଡି।), ମିଶ୍ରଭାନ୍ (କ୍ର।)"
ਮਿਸ਼ਰਤਵਨ,ମିଶ୍ର
ਸਰਵ ਵਿਆਪਕ ਮਾਧਿਅਮ,ସର୍ବବ୍ୟାପୀ ମାଧ୍ୟମ |
ਓਮਨੀ ਐਂਟੀਨਾ,omni ଆଣ୍ଟେନା |
ਅਲਮੈਨਕ,ଆଲମାନାକ |
ਅਲਫ਼ਾ,ଆଲଫା
ਅਲਫ਼ਾ-ਗਤੀਵਿਧੀ,ଆଲଫା-କାର୍ଯ୍ୟକଳାପ |
