Tamil,Malayalam
ஆம்பியர் (அலகு),ആമ്പിയർ (യൂണിറ്റ്)
ஆங்ஸ்ட்ரம்,ആംഗ്സ്ട്രം
ஏ-வகுப்பு பெருக்கி,എ-ക്ലാസ് ആംപ്ലിഫയർ
ஏஎன் ரேடியோ சஹே,എഎൻ റേഡിയോ സഹായ്
ஒரு ஸ்கேனிங் விளக்கக்காட்சி,a-സ്കാനിംഗ് അവതരണം
ஒரு-தர்ஷ்,ഒരു-ദർശ്
ஏ-ஸ்கோப் செயல்திறன்,എ-സ്കോപ്പ് പ്രകടനം
ஏ-டி வளைந்த படிகம்,എ-ടി വളഞ്ഞ ക്രിസ്റ്റൽ
"ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்","എസി-ഡിസി ആനുകൂല്യങ്ങൾ, എ. സി.ഡി. സി.ലാബി, എ. സി.ഡി. c. ആംപ്ലിഫിക്കേഷൻ"
நான்,രാവിലെ
AMU (அணு நிறை அலகு),എഎംയു (ആറ്റോമിക് മാസ് യൂണിറ്റ്)
aard-vark*,aard-vark*
ab-ஆம்பியர்,എബി-ആമ്പിയർ
A-B வகுப்பு பெருக்கி,എ-ബി ക്ലാസ് ആംപ്ലിഫയർ
அட,അദാ
ஏ-பி சக்தி பிடகா,എ-ബി ശക്തി പിടക
abc = சீரமைப்பு விளக்கப்படம் = nomograph,abc = വിന്യാസ ചാർട്ട് = നോമോഗ്രാഫ്
அபே எண் (அபே மாறிலி),അബെ നമ്പർ (അബെ സ്ഥിരാങ്കം)
அபே ரிஃப்ராக்டோமீட்டர்,അബെ റിഫ്രാക്റ്റോമീറ്റർ
அபே சைன் நிலை,അബെ സൈൻ സംസ്ഥാനം
தானியங்கி சார்பு இழப்பீடு,ഓട്ടോമാറ്റിക് ബയസ് നഷ്ടപരിഹാരം
abcoulom,abcoulom
"பிறழ்வு, பிறழ்வு","അപഭ്രംശം, അപഭ്രംശം"
பிறழ்வு திருத்தி லென்ஸ்,വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്
வானம் பிறழ்வு,ആകാശ വ്യതിയാനം
அபராட்,abfarad
எபென்ரி,എബൻറി
கருங்காலி விளைவு,എബോണി പ്രഭാവം
