Telugu,Odiya
అబాక్సియల్ ఉపరితలం,ଅବକାଶର ପୃଷ୍ଠ |
ఉదరం,ପେଟ
ఉదర బృహద్ధమని,ପେଟର ଆର୍ଟା |
ఉదర గాంగ్లియా,ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |
అబెల్మోస్చస్ ఎస్కులెంటస్,ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |
అబెర్రేషన్,ଆବର୍ଗନ
అబీస్,ଆବିସ୍
అబింగ్డన్ తాబేలు,ଆବିଙ୍ଗଡନ୍ କଇଁଛ |
అబియోజెనిసిస్,Abognescesis
అబియోటిక్,ଅବିଟ
అబియోటిక్ కారకం,ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |
అసాధారణ మూత్రం,ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |
అబో బ్లడ్ గ్రూప్,ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |
అబ్సిసిక్ ఆమ్లం,ଅବସିସିକ୍ ଏସିଡ୍ |
అబ్సిసిషన్,ଅବସିସନ
గ్రహించండి,ଶୋଷଣ
శోషణ శిఖరం,ଅବଶୋଷଣ ଶିଖର |
శోషణ,ଶୋଷଣ
అకాసియా కాటెచు,ଆକାସିଆ କ୍ୟାଚଚୁ |
అకారియా అరబికా,ଆକାରିଆ ଆରବୀ |
అకాప్రిన్,ଆକ୍ରିନ
ఆమోదయోగ్యమైన లైంగిక ప్రవర్తన,ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |
అనుబంధ గ్రంథి,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
అనుబంధ గ్రంథి,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
అనుబంధ అవయవం,ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |
అలవాటు,ସୁକମ୍ଲାଇଜେସନ୍
అలవాటు,ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |
వసతి,ଆବାସ (ଧ୍ୟାନ)
కంటి వసతి,ଆଖିରେ ରହିବା
అక్రెషన్ పెరుగుదల,ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |
చేరడం,ଜମା
సేంద్రీయ పదార్థాలు చేరడం,ଜମାକାରୀ ପଦାର୍ଥର ଜମା |
నేల చేరడం,ମାଟିର ଜମା |
ఎసిల్యులర్,Acellululula |
ఎసెల్యులర్ జీవి,ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |
ఎసిటాబులం,ଏସିଟାବୁଲମ୍
ఎసిటాల్డిహైడ్,ACTalDeyDee
ఎసిటైల్ కోఎంజైమ్,ACETIL କୋଏନୋଜିମ୍ |
అచతినా,ଆଖିନିନା |
అచెనే రకం,ଅହିଯାଉଥିବା ପ୍ରକାର |
అచెన్,ଅହିଯେ
అచ్లామిడోస్పోరే,ଅଖ୍ଲଣିଡୋସପୋରିଆ |
ఆమ్ల వర్షము,ଅମ୍ଳ ବର୍ଷା
ఆమ్ల,ଅମ୍ଳୀୟ
ఆమ్ల వాయువు,ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |
ఆమ్లత్వం,ଅମ୍ଳତା
అసినార్ సెల్,ଆଖର ସେଲ୍ |
Acoelomate,ଆକ୍ୱେମିଲେଟ୍ |
అకోనిటమ్,ଆକୋନିଟମ୍
ఎకార్న్ పురుగు,ଆକ୍ୟୁନ୍ ପୋକ |
ఎకౌస్టిక్ జోనింగ్,ଆକାଶବାଣୀ ଜୋନିଂ |
సంపాదించిన పాత్ర,ଅର୍ଜନ ବର୍ଣ୍ଣ
రోగనిరోధక శక్తిని సంపాదించింది,ଅଜାଣତର କାରଣ
ఇమ్యునో లోపం (AIDS),ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |
అక్రినియా,ଅକାନିଆ
యాక్రిడిన్ డై,ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ
అక్రోసెంట్రిక్,ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |
అక్రోమియన్,ଆକ୍ରୋମିଅନ୍ |
అక్రోపెటల్ సీక్వెన్స్,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
అక్రోపెటల్ ఆర్డర్,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
అక్రోసిన్,ଆକ୍ରୋସିନ୍ |
ఆక్టిన్,ଆକ୍ଟିନ୍ |
ఆక్టిన్ లాంటి ప్రోటీన్,ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |
ఆక్టినోమోర్ఫిక్,ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |
ఆక్టినోమైసెట్స్,ଆକ୍ଟିନୋମିସେସିସ୍ |
చర్య సామర్థ్యం,କାର୍ଯ୍ୟ ସମ୍ଭାବନା
సక్రియం చేయబడిన బురద,ସକ୍ରିୟ ସ୍ଲେଜ୍ |
సక్రియం చేయబడిన బురద ఫ్లోక్,ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |
యాక్టివేషన్ ఎనర్జీ,ସକ୍ରିୟ ଶକ୍ତି
క్రియాశీల శోషణ,ସକ୍ରିୟ ଶୋଷଣ
క్రియాశీల రోగనిరోధక శక్తి,ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |
క్రియాశీల రేడియేషన్,ସକ୍ରିୟ ବିକିରଣ |
క్రియాశీల సైట్,ସକ୍ରିୟ ସାଇଟ୍
యాక్టివిన్,କାର୍ଯ୍ୟକର୍ତ୍ତା
అక్యూమినేట్,ଆକ୍ରମିନେଟ୍ |
ఆడమియా,ଆଡାମାସିଆ |
అనుకూలత,ଅନୁକେତ
అనుసరణ,ଆଡାପ୍ଟେସନ୍
కాంతి పాలనకు అనుసరణ,ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |
నీటి కొరతకు అనుసరణ,ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |
అనుకూల లక్షణాలు,ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |
అనుకూల రోగనిరోధక శక్తి,ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |
అడాప్టివ్ రేడియేషన్,ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |
అనుకూల లక్షణం,ଆଡାପ୍ଟିଭ୍ ଗୁଣ |
అడాక్సియల్ ఉపరితలం,ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |
వ్యసనపరుడైన రుగ్మత,ନିଶା ବ୍ୟାଧି |
అడెనిన్,ଆଡେନିନ୍
అడెనోకార్టికోట్రోపిన్,ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |
అడెనోహైపోఫిసిస్,Adenehiopophisisisis
అడెనోసిన్ డిఫాస్ఫేట్,ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |
అడెనోసిన్ డీమినేస్,ଆଡେନୁସିନ୍ ତ୍ୟାଗ କର |
అడెనోసిన్ మోనోఫాస్ఫేట్,ଆଡେନୁସିନ୍ ମୋନୋଫୋସଫେଟ୍ |
గ్రంధి ముడతలు,ଆଡେନୁସିନ୍ ଟ୍ରିପ୍ଫେଟ୍ (ATP)
అడెనిలేట్ సైక్లేస్,ଆଡେନିଲେଟ୍ ସାଇକ୍ଲାଜିନ୍ |
అంటుకునే శక్తి,ଆଡେସିଭ୍ ଫୋର୍ସ |
అడిపేట్,ଆଡିପେଟ୍ କରନ୍ତୁ |
కొవ్వు పెండినవి,Adipocyte (ଫ୍ୟାଟ୍ ସେଲ୍)
కొవ్వు కణజాలము,ସିସ୍ୟୁଜ୍ ଟିସୁ |
Adnate,ଆଡନେଟ୍ |
ప్రక్కనే ఉన్న సంఘం,ସଂଲଗ୍ନ ସମ୍ପ୍ରଦାୟର |
అడ్రినల్,ଆଡ୍ରେନାଲ୍
అడ్రినల్ గ్రంథి,ଆଡ୍ରେନାଲ୍ ଗ୍ରନ୍ଥି |
ఎడ్రినల్ గ్రంథి,ଆଡ୍ରେନିକୋ ବୋଟ୍ରୋପିକ୍ ହରମୋନ୍ (ACTH)
ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్,ଆଡ୍ରେନାକର୍ଟିକୋଟ୍ରପିକ୍ ରିଲିଜ୍ ହରମୋନ୍ (ACTRH)
Adsorbent,ଆଡସରବେଣ୍ଟ
శోషణ,ଆଡେର୍ସନ୍
అధునాతన కార్డేట్,ଉନ୍ନତ ମୂଲ୍ୟ |
ప్రయోజనకరమైన మ్యుటేషన్,ଲାଭଦାୟକ ଗଣିତ |
అడ్వెసిషియల్,ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ |
సాహసోపేతమైన రూట్,ଖରାପ ମୂଳ
ప్రతికూల ప్రభావం,ପ୍ରତିକୂଳ ପ୍ରଭାବ
AEDES,AED ଗୁଡିକ
సంస్కృతి వాయువు,ସଂସ୍କୃତିର ଆରେସନ୍
ఏరెన్చైమా,ଆତଙ୍କିତାମା |
ఆకాశయాన,ବାୟୁ
వైమానిక రూట్,ବାୟୁଏଟ୍ ମୂଳ |
వైమానిక షూట్,ଏରିଲ୍ ସୁଟ୍ |
ఏరోబిక్ శ్వాసక్రియ,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
ఏరోబిక్ శ్వాసక్రియ,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
సౌందర్యం,ସ est ନ୍ଦର୍ଯ୍ୟ
ఎస్టివేషన్,ବାୟେ
ఎస్టివేషన్,ବାୟେ
అనుబంధ,ବିଶଙ୍ଗ
అనుబంధ క్రోమాటోగ్రఫీ,ଆଫିନିଟି କ୍ରୋମାଟୋଗ୍ରାଫି |
బాధిత అవయవం,ଅଙ୍ଗପ୍ରତ୍ୟଙ୍ଗ ଅଙ୍ଗ |
అటవీ నిర్మూలన,ଆଗ ଶତ୍ରୁମାନଙ୍କର
అగామోస్పెర్మీ,ଆଗାମୋପର୍ମୀ |
అగర్,ଅଗର
అగరోస్,ଆଗ୍ରୋଜ୍
అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్,ଆଗାରୋସ୍ ଗେଲ୍ ଇଟ୍ରୋଫୋରସ୍ |
అగరోస్ పాలిమర్ జెల్,ଆର୍ଗ୍ରୋଜ ପଲିମର ଜେଲ୍ |
అగాస్ట్,ଆଗିଷ୍ଟ
కిత్తలి,ଆଗେଭ୍
వయస్సు పంపిణీ,ବୟସ ବଣ୍ଟନ |
వయస్సు పిరమిడ్,ବୟସ ପିରାମିଡ୍ |
సంకలనం,Agglutination
మొత్తం,ସମୁଦାୟ
ఫోలికల్ యొక్క మొత్తం,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
ఫోలికల్ యొక్క మొత్తం,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
సమూహనం,ମିଳନ
దూకుడు,ଆକ୍ରମଣାତ୍ମକତା
ఆందోళన వ్యవస్థ,Agiitor ତନ୍ତ୍ର
అగ్నాథ,ଆଗନାଥା
అగౌటి,ଆଗାଉଟି
