Kannada,Hindi
ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ,वैस्‍टम‍िन्‍स्‍टर मठ
ವ್ಯಭಿಚಾರ,मालखाना
ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ,दासता का उन्मूलन
ಮೂಲನಿವಾಸಿಗಳು,आदिवासी
ಅಬ್ರಹಾಂ ಯುಗ,अब्राहम काल
ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು,प्रवासी ज़मींदार
ಅಕಾಡೆಮಿ,अकादमी; विद्वत्परिषद
ಅಕ್ರಾ ಸಮ್ಮೇಳನ,अक्रा सम्मेलन
ಸಂಚಯಗಳು,"प्रोद्भूत सामग्री, उपचित सामग्री"
ಸಂಸ್ಕಾರ,"परसंस्कृति-ग्रहण, उत्संस्करण"
ಅಸೆಲ್ಡಾಮಾ,एसेलडामा
ಅಚೆಯನ್ (=ಅಚಿಯನ್),एकियायी
ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್),एकीयायी लीग
ಆಕ್ರೊಪೊಲಿಸ್,एक्रोपोलिस
ಆಕ್ಟಾ ಡೈರ್ನಾ,"शाही रोज़नामचा, दैनिक समाचार"
ಆಕ್ಟಾ ಸೆನಾಟಸ್,सीनेट का कार्यवृत्त
ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ,"अपर प्रपत्र, एक्टे एडिशनेल"
ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ),सक्रिय रिकार्ड
ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ,अपकीर्त्ति अधिनियम
ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ,दंड विमुक्ति एवं विस्मरण अधिनियम
ವಸಾಹತು ಕಾಯಿದೆ,"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट"
ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ,संविदा मुद्रा
ಅಡುಲಮೈಟ್ಸ್,आडुलम गुटवादी
ಎದುರಾಳಿ,विपक्षी
ಎದುರಾಳಿ,2. शत्रु
ಏಯಾನ್,युग
ಏರೋರಿಯಮ್,इरेरियम
ವೈಮಾನಿಕ ಯುದ್ಧ,"आकाशी युद्ध, हवाई लड़ाई"
ಏಟೋಲಿಯನ್ ಲೀಗ್,"एटोलियन लीग, एटोलियायी संघ"
ವಯಸ್ಸು,"काल, युग"
ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ),"काल-प्रभावन, जीर्णन"
ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ,जीर्णन-प्रक्रिया
ಅಗೆಲೈ,एजिलायी
ಅಶ್ವದಳದ ವಯಸ್ಸು,शौर्य युग
ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು,"प्रबोध युग, ज्ञानोदय युग"
ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು,पेरीक्लीज़ युग
ಕಾರಣದ ವಯಸ್ಸು,तर्क प्रधान युग
ಕೃಷಿಧರ್ಮ,भूमि सुधारवाद
ಕೃಷಿ ಚಳುವಳಿ,भूमि सुधारवादी आंदोलन
ಅಲ್ಬಿಯಾನ್,एलबियन
ಆಲ್ಬಮ್,अलबम
ಆಲ್ಡರ್ಮನ್,"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन"
