Hindi,Punjabi
रुद्ध-वृद्धि अंग,ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ
रुद्ध वृद्धि बीज,ਅਧੂਰਾ
"गर्भपात, गर्भस्राव, वृद्धि विरोध",ਗਰਭਪਾਤ
"अवांछित अपतृण, पूर्ण खरपतवार",ਸੰਪੂਰਨ ਬੂਟੀ
अवशोषित धनायन,ਸਮਾਈ
अवशोषण,ਸਮਾਈ
ऐबिसिनी सरसों,ਅਬੀਸਨੀਅਨ ਰਾਈ
"एकेरेसनाशी, चिचड़ीनाशी",ਅਚੰਭੇ
अकेंद्री,ਰਾਜਕੁਮਾਰੀ
प्रवर्धन (कोशिका),ਲਹਿਜ਼ਾ (ਸੈੱਲ)
स्वीकृत सहायता,ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ
"अतिरिक्त, सहायक, गौण",ਸਹਾਇਕ
पर्यनुकूलन,ਅਨੁਕੂਲਤਾ
संचय,ਇਕੱਠਾ
"यथार्थता, परिशुद्धता",ਸ਼ੁੱਧਤਾ
"एसर्वुलस, बीजाणुपात्र",ਏਸਰਵੂਲਸ
"ऐसीटीकरण, सिरका बनाना",ਐਸੀਟਿਫਿਕੇਸ਼ਨ
"अम्लीकरण, अम्लन",ਐਸਿਡਿਫਿਕੇਸ਼ਨ
"अम्लतामापी, एसिडीमीटर",ਐਸਿਡਮੀਟਰ
अम्लता,ਐਸਿਡਿਟੀ
अम्लरागी,ਐਸਿਡੋਫਿਲਿਕ
अम्लीकृत रॉक फॉस्फेट,ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ
अम्लसह,ਐਸਿਡੁਰਿਕ
जलभृत,ਐਕੁਇਫਰ
अधिग्रहण,ਗ੍ਰਹਿਣ
एकड़,ਏਕੜ
"क्षेत्रफल, रकबा",ਰਕਬੇ
उपांत बिंदु क्रोमोसोम,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ
अग्राभिसारी,ਐਕਰੋਪੇਟਲ
ऐक्रोसोम,ਐਸ਼੍ਰੋਸੋਮ
एक्टिनोमाइसिटीज,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
सक्रिय मूलक्षेत्र,ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ
"उग्र, तीव्र",ਗੰਭੀਰ
अनुकूलनशीलता,ਅਨੁਕੂਲਤਾ
अनुकूलन,ਅਨੁਕੂਲਤਾ
"आसंजन, अभिलाग, बन्ध",ਚਿਪਕਿਆ
वसामय,ADPIPOSE
समायोजन समीकरण,ਵਿਵਸਥ ਸਮੀਕਰਨ
ऐडोब मृदा,ਅਡੋਬ ਮਿੱਟੀ
अपमिश्रक,ਮਨਜ਼ੂਰ
अपस्थानिक,ਸਾਹਸੀ
"एसीडियोस्पोर, एसीडियम बीजाणु",ਏਸੀਡਿਓਸਪੋਰ
वातोढ़ प्रक्रिया,ਏਓਲੀਅਨ ਪ੍ਰਕਿਰਿਆ
वातोढ़,ਏਓਲੀਅਨ
वातन करना,Aeate
"वायव, आकाशी",ਏਰੀਅਲ
"ऐरोमीटर, वायुमापी, वायुघनत्वमाप",ਐਰੋਮੀਟਰ
ऐरोसॉल,ਐਰੋਸੋਲ
"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता",ਖਰਾਸ਼
"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान",ਏਟੀਓਲੋਜੀ (ਐਟਾਇਜੀੋਲੋਜੀ)
वनरोपण,ਕਥਾ
"विलोडन, प्रक्षोभन",ਅੰਦੋਲਨ
"ऐगमार्क, कृष्यंक",ਆਕਮਾਰਕ
"भूमी संबंधी, कृषि संबंधी",ਅਗਰਾਰੀਅਨ
कृषि निदानालय,ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ
"कृषि श्रम, खेतिहर मजदूर",ਖੇਤੀਬਾੜੀ ਕਿਰਤ
कृषि विपणन,ਖੇਤੀਬਾੜੀ ਮਾਰਕੀਟਿੰਗ
कृषि प्रद्योगिकी,ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ
"कृषि, खेतीबारी, कृषि विज्ञान",ਖੇਤੀ ਬਾੜੀ
कृषि वनवर्धन,ਐਗਰੀਸਿਲਵੀਕਲਚਰ
कृषि जैविक विविधता,ਖੇਰਤ
कृषि जैविक दोष,ਖੇਤੀਬਾਜੀਕਲ ਨੁਕਸ
कृषि जैविकी,ਅਗਾਹੀਵੋਲੋਜੀ
कृषि जलवायुवीय विविधता,ਐਗ੍ਰੋਕਲਮੈਟਿਕ ਵਿਭਿੰਨਤਾ
कृषि जलवायुवीय क्षेत्रीकरण,ਅਗਰੋਕਲਮੈਟਿਕ ਜ਼ੋਨਿੰਗ
कृषि वानिकी,ਐਗਰੋਫੋਰੈਸਟਰੀ
सस्य मृदा विज्ञान,ਖੇਤੀਬਾਜੀ
सस्य विज्ञान,ਖੇਤੀਬਾੜੀ
कृषि पशुचारणिक,ਐਗ੍ਰੋਪਾਸਟਰਲ
फसल प्रसंस्करण,ਸ਼ਿਕਾਰ
घास विज्ञान,ਐਗਰੋਸਟੋਲੋਜੀ
सस्य प्ररूप,ਐਗਰੋਟਾਈਪ
अधिपादप,ਏਅਰ ਪੌਦਾ
ऐकिओची मृदा,ਅਕੀਓਚੀ ਮਿੱਟੀ
"वर्णकहीनता, अवर्णता",ਅਲਮੀਨੀਜ਼ਮ
एल्फिसॉल,ਐਲਫਿਸੋਲਸ
"शैवाल, काई",ਐਲਗੀ
शैवाल रोग,ਐਲਗਲ ਰੋਗ
क्षार जल,ਅਲਕਾਲੀ ਪਾਣੀ
क्षारीय,ਐਲਕਲੀਨ
विकल्पी,ਐਲੀਲੇ
एलीलो रसायन,ਐਲਲੋਕਲਿਕਸ
युग्मविकल्पी,ਅਲੇਲੋਮੋਰਫ
एलीलोपैथी,ਅਲੇਲੋਪੈਥੀ
वीथी सस्यन,ਐਲੀ ਫਸਲ
परनिषेक-फलता,ਅਲੋਕਰੇਪੀ
परनिषेचन,ਆਲੋਗਮ
"सापेक्षमिति, ऐलोमैट्री",ਐਲੋਮੈਟਰੀ
परबहुगुणित,ਐਲੋਪੋਲਾਈਵਲਾਈਡ
"परयुग्मन, अपायुग्लन",ਐਲੋਸਮੈਨੈਪਸਿਸ (ਐਲੋਸਿਨੈਂਡਸਿਸ)
"एकातंर वर्ष फलन, एकांतरित फलन",ਵਿਕਲਪਿਕ ਬੇਅਰਿੰਗ
वैकल्पिक भूमि उपयोग,ਵਿਕਲਪੀ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ
परिवेश,ਅੰਬੀਨਟ
सुधारक,ਅਮਜੀਗਤ
असूत्रीविभाजन,ਅਮਿਤੋਸਿਸ
ऐमीनन,ਅਮਿਨਾਜਾਈਜ਼
अमोनियन,ਅਨੁਮੋਧ
अमोनीकारक,ਅਮੋਨੀਫਾਇਰ
