English,Malayalam
Abnormal,വിലക്ഷണമായ
Abort,ഉപേക്ഷിക്കുക
Abrasion,വധനം
Abrupt,ആകസ്മികമായ
Absolute field strength,കേവല ഫീൽഡ് ശക്തി
Absolute temperature,കേവല താപനില
Absolute value,യഥാർത്ഥ മൂല്യം
Absorb,ഉള്ക്കൊള്ളുക
Absorption co-efficient,ആഗിരണം കോ-കാര്യക്ഷമമാണ്
Absorption loss,ആഗിരണം നഷ്ടം
Abstract,വേര്പെട്ടുനില്ക്കുന്ന
Accelerometer,ആക്സിലറോമീറ്റർ
Acceptance test,സ്വീകാര്യത പരിശോധന
Access,പ്രവേശനം
Access control,പ്രവേശന നിയന്ത്രണം
Access point,പ്രവേശന പോയിന്റ്
Access time,ആക്സസ് സമയം
Accessibility,പ്രവേശനക്ഷമത
Accumulator cell,സഞ്ചിത സെൽ
Accuracy,കൃതത
Accurate,സൂക്ഷ്മമായ
Achromatic lens,അച്രോമാറ്റിക് ലെൻസ്
Acid,പുളിപ്പുള്ള
Acid proof,ആസിഡ് തെളിവ്
Acidity,അസിഡിറ്റി
Acknowledgement bit,അംഗീകാര ബിറ്റ്
Acoustic,അക്കോസ്റ്റിക്
Acoustic communication,അക്കോസ്റ്റിക് ആശയവിനിമയം
Acoustic diffusion,അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ
Acoustic equalizer,അക്കോസ്റ്റിക് ഇക്വൈസർ
Acoustic feedback,അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്
Acoustic filter,അക്ക ou സ്റ്റിക് ഫിൽട്ടർ
Acoustic impedance,അക്കോസ്റ്റിക് ഇംപാസ്
Acoustic masking,അക്കോസ്റ്റിക് മാസ്കിംഗ്
Acoustic power,അക്കോസ്റ്റിക് പവർ
Acoustic property,അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി
Acoustic reactance,അക്കോട്ടിക് റിയാൻസ്
Acoustic reflex,അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്
Acoustic tile,അക്കോസ്റ്റിക് ടൈൽ
Acoustic wave,അക്ക ou സ്റ്റിക് തരംഗം
Acoustical absorption,ശബ്ദ ആഗിരണം
Acoustical attenuation constant,അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം
Acoustical damping,അക്കോസ്റ്റിക്കൽ നനവ്
Acoustical delay line,അക്കോസ്റ്റിക്കൽ കാലതാമസം
Acoustical distortion,അക്കോസ്റ്റിക്കൽ വക്രമാനം
Acoustical duct,അക്കോസ്റ്റിക്കൽ നാളം
Acoustical energy,അക്കോസ്റ്റിക്കൽ എനർജി
Acoustical feedback,അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്
Acoustical filter,അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ
Acoustical impedance,അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്
Acoustical propagation constant,അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം
Acoustical resistance,അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്
Acoustically insulated,ശബ്ദപരമായി ഇൻസുലേറ്റ്
Acoustics,അക്കോസ്റ്റിക്സ്
Acquisition,കൈവശപ്പെടുത്തൽ
Acronym,സംക്ഷേപം
Action area,പ്രവർത്തന മേഖല
Activated filament,സജീവമാക്കിയ ഫിലമെന്റ്
Active,സജീവമായ
Active area,സജീവ ഏരിയ
Active window,സജീവ വിൻഡോ
Adaptability,പൊരുത്തപ്പെടലി
Adapter (adaptor),അഡാപ്റ്റർ (അഡാപ്റ്റർ)
Adaptive differential pulse code modulation,അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ
Address book,മേൽവിലാസ പുസ്തകം
Address bus,വിലാസ ബസ്
Address resolution,വിലാസ മിഴിവ്
Adjacent channel interference,തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ
Adjacent channel selectivity,തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി
Adjacent frequency,അടുത്തുള്ള ആവൃത്തി
Adjacent frequency channel,തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ
Adjacent picture carrier,തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ
Adjacent sound carrier,തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ
Adjacent station,അടുത്തുള്ള സ്റ്റേഷൻ
Adjustable,കമീകരിക്കുന്ന
Adjustable condenser,ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ
Adjusting pressure,സമ്മർദ്ദം ക്രമീകരിക്കുന്നു
Adjusting wrench,റെഞ്ച് ക്രമീകരിക്കുന്നു
Adjustment,കമപ്പെടുത്തല്
