ab initio,আৰম্ভৰপৰা
abatement,"পৰিত্যাগকৰ, পৰিহাৰকৰ, এৰ ৰ"
abbreviation,"সংক্ষিপ্তকৰণ, হ্রস্বকৰণ"
abduction,অপহৰণ
abeyance,"স্থগিতাৱস্থা, মূলতবীঅৱস্থা"
ability,সামর্থ্য
able,"সমর্থ, সক্ষম"
abnormal,অস্বাভাৱিক
abolition,"ৰদকৰণ, ৰহিতকৰণ, বাতিলকৰণ, বিলোপকৰণ"
abolition of post,পদবিলোপকৰণ
above mentioned,"ওপৰউল্লিখিত, উপর্যুক্ত"
above quoted,ওপৰউদ্ধৃত
above said,উপর্যুক্ত
absence,"অনুপস্থিতি, অভাৱ"
absentee,"অনুপস্থায়ী, অনুপস্থিত"
absentee statement,"অনুপস্থায়ীৰবিৱৰণবাতালিকা, অনুপস্থিতথাকোতাৰবিৱৰণবাতালিকা"
absenteeism,অনুপস্থিতিপ্রবৃত্তি
absolute,"পূর্ণ, সম্পূর্ণ, একছত্রী, নিৰঙ্কুশ"
absolute monopoly,পূর্ণএকাধিকাৰ
absolute ownership,পূর্ণমালিকীস্বত্ব
absorption,"বিশোষণ, শোষণ, অৱশোষণ"
abstract,"সংক্ষেপ, সাৰাংশ"
abstract statement,সাৰবিৱৰণ
absurd,"অসঙ্গত, অযৌক্তিক"
abundance,"প্রাচুর্য্য, অপর্যাপ্তি, আধিক্য, সমৃদ্ধি"
abuse of power,ক্ষমতাৰঅপব্যৱহাৰ
abusive language,"অপমানজনকভাষা, গালি-গালাজপূর্ণভাষা, ভর্ৎসনাপূর্ণভাষা, তিৰস্কাৰপূর্ণভাষা"
academic,"শিক্ষাসংক্রান্ত, শৈক্ষিক, বিদ্যায়তনিক"
academic discussion,"শৈক্ষিকআলোচনা, বিদ্যায়তনিকআলোচনা"
academic leave,শৈক্ষিকছুটী
academic qualification,"শৈক্ষিকঅর্হতা, শৈক্ষিকযোগ্যতা"
academic record,শৈক্ষিকঅভিলেখ
