Odiya,English
ଅବକାଶର ପୃଷ୍ଠ |,Abaxial surface
ପେଟ,Abdomen
ପେଟର ଆର୍ଟା |,Abdominal aorta
ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |,Abdominal ganglia
ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |,Abelmoschus esculentus
ଆବର୍ଗନ,Aberration
ଆବିସ୍,Abies
ଆବିଙ୍ଗଡନ୍ କଇଁଛ |,Abingdon tortoise
Abognescesis,Abiogenesis
ଅବିଟ,Abiotic
ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |,Abiotic factor
ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |,Abnormal urine
ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |,ABO blood group
ଅବସିସିକ୍ ଏସିଡ୍ |,Abscisic acid
ଅବସିସନ,Abscission
ଶୋଷଣ,Absorb
ଅବଶୋଷଣ ଶିଖର |,Absorption peak
ଶୋଷଣ,Absorption
ଆକାସିଆ କ୍ୟାଚଚୁ |,Acacia catechu
ଆକାରିଆ ଆରବୀ |,Acaria arabica
ଆକ୍ରିନ,Acaprin
ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |,Acceptable sexual behaviour
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,Accessory gland
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,Accessory gland
ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |,Accessory organ
ସୁକମ୍ଲାଇଜେସନ୍,Acclimatization
ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |,Acclimatize
ଆବାସ (ଧ୍ୟାନ),Accommodation (focusing)
ଆଖିରେ ରହିବା,Accommodation of eye
ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |,Accretionary growth
ଜମା,Accumulation
ଜମାକାରୀ ପଦାର୍ଥର ଜମା |,Accumulation of organic matter
ମାଟିର ଜମା |,Accumulation of soil
Acellululula |,Acellular
ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |,Acellular organism
ଏସିଟାବୁଲମ୍,Acetabulum
ACTalDeyDee,Acetaldehyde
ACETIL କୋଏନୋଜିମ୍ |,Acetyl coenzyme
ଆଖିନିନା |,Achatina
ଅହିଯାଉଥିବା ପ୍ରକାର |,Achene type
ଅହିଯେ,Achene
ଅଖ୍ଲଣିଡୋସପୋରିଆ |,Achlamydosporeae
ଅମ୍ଳ ବର୍ଷା,Acid rain
ଅମ୍ଳୀୟ,Acidic
ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |,Acidic gas
ଅମ୍ଳତା,Acidity
ଆଖର ସେଲ୍ |,Acinar cell
ଆକ୍ୱେମିଲେଟ୍ |,Acoelomate
ଆକୋନିଟମ୍,Aconitum
ଆକ୍ୟୁନ୍ ପୋକ |,Acorn worm
ଆକାଶବାଣୀ ଜୋନିଂ |,Acoustic zoning
ଅର୍ଜନ ବର୍ଣ୍ଣ,Acquired character
ଅଜାଣତର କାରଣ,Acquired immunity
ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |,Acquired immuno deficiency syndrome (AIDS)
ଅକାନିଆ,Acrania
ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ,Acridine dye
ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |,Acrocentric
ଆକ୍ରୋମିଅନ୍ |,Acromion
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,Acropetal sequence
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,Acropetal order
ଆକ୍ରୋସିନ୍ |,Acrosin
ଆକ୍ଟିନ୍ |,Actin
ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |,Actin-like protein
ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |,Actinomorphic
ଆକ୍ଟିନୋମିସେସିସ୍ |,Actinomycetes
କାର୍ଯ୍ୟ ସମ୍ଭାବନା,Action potential
ସକ୍ରିୟ ସ୍ଲେଜ୍ |,Activated sludge
ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |,Activated sludge floc
ସକ୍ରିୟ ଶକ୍ତି,Activation energy
ସକ୍ରିୟ ଶୋଷଣ,Active absorption
ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |,Active immunity
ସକ୍ରିୟ ବିକିରଣ |,Active radiation
ସକ୍ରିୟ ସାଇଟ୍,Active site
କାର୍ଯ୍ୟକର୍ତ୍ତା,Activin
ଆକ୍ରମିନେଟ୍ |,Acuminate
ଆଡାମାସିଆ |,Adamsia
ଅନୁକେତ,Adaptability
ଆଡାପ୍ଟେସନ୍,Adaptation
ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |,Adaptation to light regime
ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |,Adaptation to water scarcity
ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |,Adaptive characteristics
ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |,Adaptive immunity
ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |,Adaptive radiation
ଆଡାପ୍ଟିଭ୍ ଗୁଣ |,Adaptive trait
ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |,Adaxial surface
ନିଶା ବ୍ୟାଧି |,Addictive disorder
ଆଡେନିନ୍,Adenine
ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |,Adenocorticotropin
Adenehiopophisisisis,Adenohypophysis
ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |,Adenosin diphosphate
ଆଡେନୁସିନ୍ ତ୍ୟାଗ କର |,Adenosine deaminase
ଆଡେନୁସିନ୍ ମୋନୋଫୋସଫେଟ୍ |,Adenosine monophosphate
ଆଡେନୁସିନ୍ ଟ୍ରିପ୍ଫେଟ୍ (ATP),Adenosine triphosphate (ATP)
ଆଡେନିଲେଟ୍ ସାଇକ୍ଲାଜିନ୍ |,Adenylate cyclase
ଆଡେସିଭ୍ ଫୋର୍ସ |,Adhesive force
ଆଡିପେଟ୍ କରନ୍ତୁ |,Adipate
Adipocyte (ଫ୍ୟାଟ୍ ସେଲ୍),Adipocyte (fat cell)
ସିସ୍ୟୁଜ୍ ଟିସୁ |,Adipose tissue
ଆଡନେଟ୍ |,Adnate
ସଂଲଗ୍ନ ସମ୍ପ୍ରଦାୟର |,Adjoining community
ଆଡ୍ରେନାଲ୍,Adrenal
ଆଡ୍ରେନାଲ୍ ଗ୍ରନ୍ଥି |,Adrenal gland
ଆଡ୍ରେନିକୋ ବୋଟ୍ରୋପିକ୍ ହରମୋନ୍ (ACTH),Adrenocorticotropic hormone (ACTH)
ଆଡ୍ରେନାକର୍ଟିକୋଟ୍ରପିକ୍ ରିଲିଜ୍ ହରମୋନ୍ (ACTRH),Adrenocorticotropic releasing hormone (ACTRH)
ଆଡସରବେଣ୍ଟ,Adsorbent
ଆଡେର୍ସନ୍,Adsorption
ଉନ୍ନତ ମୂଲ୍ୟ |,Advanced chordate
ଲାଭଦାୟକ ଗଣିତ |,Advantageous mutation
ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ |,Adventitial
ଖରାପ ମୂଳ,Adventitious root
ପ୍ରତିକୂଳ ପ୍ରଭାବ,Adverse effect
AED ଗୁଡିକ,Aedes
ସଂସ୍କୃତିର ଆରେସନ୍,Aeration of culture
ଆତଙ୍କିତାମା |,Aerenchyma
ବାୟୁ,Aerial
ବାୟୁଏଟ୍ ମୂଳ |,Aerial root
ଏରିଲ୍ ସୁଟ୍ |,Aerial shoot
ଏରୋବିକ୍ ଶ୍ iration ଗଡା |,Aerobic respiration
ଏରୋବିକ୍ ଶ୍ iration ଗଡା |,Aerobic respiration
ସ est ନ୍ଦର୍ଯ୍ୟ,Aesthetics
ବାୟେ,Aestivation
ବାୟେ,Aestivation
ବିଶଙ୍ଗ,Afferent
ଆଫିନିଟି କ୍ରୋମାଟୋଗ୍ରାଫି |,Affinity chromatography
ଅଙ୍ଗପ୍ରତ୍ୟଙ୍ଗ ଅଙ୍ଗ |,Afflicted organ
ଆଗ ଶତ୍ରୁମାନଙ୍କର,Afforestation
ଆଗାମୋପର୍ମୀ |,Agamospermy
ଅଗର,Agar
ଆଗ୍ରୋଜ୍,Agarose
ଆଗାରୋସ୍ ଗେଲ୍ ଇଟ୍ରୋଫୋରସ୍ |,Agarose gel eletrophoresis
ଆର୍ଗ୍ରୋଜ ପଲିମର ଜେଲ୍ |,Agarose polymer gel
ଆଗିଷ୍ଟ,Agast
