Odiya,Hindi
ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |,आबेली समूह
ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |,आबेली सामिसमूह
abscissa,भुज
ସଂପୂର୍ଣ୍ଣ,"निरपेक्ष, परम, अचर, परिशुद्‌ध"
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,निरपेक्ष अभिसरण
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,निरपेक्ष त्रुटि
ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ,परम उच्चिष्ठ
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,परम निम्निष्ठ
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,निरपेक्ष मान
ସଂପୂର୍ଣ୍ଣ ବେଗ,निरपेक्ष वेग
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,अमूर्त बीजगणित
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,अमूर्त समूह सिद्‌धांत
ତ୍ୱରଣ,त्वरण
ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |,गुरुत्वीय त्वरण
ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |,स्वीकार्य वरण-समुच्चय
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,स्वीकार्य गुणता स्तर
ଗ୍ରହଣୀୟ ପରିସର |,स्वीकार्य परिसर
ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,मान्य विश्वसनीयता स्तर
ଗ୍ରହଣୀୟ ନମୁନା,स्वीकरण-प्रतिचयन
ସଂଗୃହିତ ତ୍ରୁଟି |,संचित त्रुटि
ସଠିକତା,यथार्थता
ଅଭିନୟ ଶକ୍ତି,लगा हुआ बल
କାର୍ଯ୍ୟ," क्रिया , कर्म"
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,क्रिया और प्रतिक्रिया
ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |,बीमा विज्ञान
ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |,न्यूनकोण त्रिभुज
acyclic,अचक्रीय
ଯୋଡନ୍ତୁ |,"योग करना, जोड़ना"
ଆଡର୍,योजक
ଯୋଗ,"योग, जोड़, संकलन (स.), योगात्मक (वि.)"
ଯୋଗ ସୂତ୍ର,योग का सूत्र
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |,सम्मिश्र संख्याओं का योग
କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ,फलनों का योग
ମାଟ୍ରିକ୍ସର ଯୋଗ,आव्यूहों का योग
ବହୁଭାଷୀ ଯୋଗ |,बहुपदों का योग
ସମ୍ଭାବ୍ୟତାର ଯୋଗ |,प्रायिकताओं का योग
ଭେକ୍ଟର ଯୋଗ,सदिशों का योग
ଯୋଗ ତତ୍ତ୍ୱ,"योग प्रमेय बेरीज सिद्‌धांत,"
ଯୋଗୀ ଗୋଷ୍ଠୀ |,योज्य समूह
ଯୋଗୀ ଓଲଟା |,योज्य व्युत्क्रम
ଯୋଗୀ ସମ୍ପତ୍ତି |,"योज्यता, योगशीलता"
ଯୋଗୀତା |,योज्यता
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,आसन्नता आव्यूह
ସଂଲଗ୍ନ," संलग्न, निकटवर्ती , आसन्न"
ସଂଲଗ୍ନ କୋଣ,आसन्न कोण
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,आसन्न शीर्ष
ସଂଲଗ୍ନ,सहबद्‌ध करना
ସଂଲଗ୍ନ,"संलग्न संलग्नीत,"
ନିର୍ଣ୍ଣୟକାରୀ,सहखंडज सारणिक
ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ,संलग्न अवकल समीकरण
ସମୀକରଣ,संलग्न समीकरण
ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |,सहखंडज आव्यूह
ମାଟ୍ରିକ୍ସର ଯୋଗ,आव्यूह सहखंडज
ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |,सहखंडज आव्यूह
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,ग्राह्य निर्णय फलन
ଗ୍ରହଣୀୟ ଅନୁମାନ,ग्राह्य परिकल्पना
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,वायुगतिक बल
ଏରୋଡାଇନାମିକ୍ସ |,वायु गतिकी
ଆଫାଇନ୍ ଜ୍ୟାମିତି |,सजातीय ज्यामिति
ଆଫାଇନ୍ ମ୍ୟାପିଙ୍ଗ୍ |,सजातीय प्रतिचित्रण
ଆଫାଇନ୍ ଟ୍ରାନ୍ସଫର୍ମେସନ୍ |,सजातीय रूपांतरण
ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |,समुच्चयी चर
ବୀଜ ବିବେଚନା," बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया"
ବୀଜ ବର୍ଣ୍ଣିତ ଭାବରେ ବନ୍ଦ |,"बीजतः संवृत, बीजतः"
ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |,बीजीय समीकरण
ବୀଜ ବର୍ଣ୍ଣନା,बीजीय व्यंजक
ବୀଜ ବର୍ଣ୍ଣିତ ଫର୍ମ |,बीजीय समघात
ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ,बीजीय फलन
ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |,बीजीय ज्यामिति
ବୀଜ ବର୍ଣ୍ଣିତ ଗୁଣ |,बीजीय बहुकता
ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |,बीजीय निकाय
ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |,सर्व-पूर्णांक समस्या
ବଣ୍ଟନ ସମସ୍ୟା,"नियतन समस्या वाटपप्रश्न,"
ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |,अक्षरात्मक संकेत पद्‌धति
ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ,अक्षरात्मक संप्रतीक
ବିକଳ୍ପ କୋଣ,एकांतर कोण
ବିକଳ୍ପ ଫର୍ମ |,"एकांतर समघात प्रत्यावर्ती रूप,"
ବିକଳ୍ପ ଗୋଷ୍ଠୀ,एकांतर समूह
ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |,एकांतर आव्यूह
ବିକଳ୍ପ କ୍ରମ |,एकांतर श्रेणी
ବିକଳ୍ପ ଅନୁମାନ,वैकल्पिक परिकल्पना
ବିକଳ୍ପ ଅପ୍ଟିମା |,वैकल्पिक इष्टमत
ବିକଳ୍ପ ଫଳାଫଳ |,वैकल्पिक परिणाम
ଆନାଗଲ୍-ଟୁ-ଡିଜିଟାଲ୍ କନଭର୍ଟର |,अनुरूप-अंकीय परिवर्तक
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,"अनुरूप कम्प्यूटर,"
ବିଶ୍ଳେଷଣ |,विश्लेषण
କୋଭାରିଆନ୍ସର ବିଶ୍ଳେଷଣ |,सहप्रसरण-विश्लेषण
ଗଣନା ତଥ୍ୟର ବିଶ୍ଳେଷଣ |,गणन-आंकड़ों का विश्लेषण
ଭିନ୍ନତାର ବିଶ୍ଳେଷଣ |,प्रसरण-विश्लेषण
ଆନାଲିଟିକ୍ ଜ୍ୟାମିତି |,विश्लेषिक ज्यामिति
ଆନାଲିଟିକ୍ କାର୍ଯ୍ୟ,विश्लेषिक फलन
କୋଣ,कोण
ଯୋଗାଯୋଗ କୋଣ,स्पर्श-कोण
ବିଘ୍ନର କୋଣ |,विक्षेप-कोण
ଉଦାସୀନତାର କୋଣ,अवनमन-कोण
ବିଘ୍ନର କୋଣ |,विचलन-कोण
ବିଭାଜନର କୋଣ |,विवर्तन-कोण
ଉଚ୍ଚତାର କୋଣ,उन्नयन-कोण
ଘଟଣାର କୋଣ,आपतन-कोण
ପ୍ରୋଜେକ୍ଟର କୋଣ,प्रक्षेप-कोण
ପ୍ରତିଫଳନ କୋଣ,परावर्तन-कोण
ପ୍ରତିଫଳନ କୋଣ,अपवर्तन-कोण
ଘୂର୍ଣ୍ଣନ କୋଣ,घूर्णन-कोण
ସମୁଦାୟ ପ୍ରତିଫଳନର କୋଣ |,पूर्ण परावर्तन-कोण
କୋଣାର୍କ ତ୍ୱରଣ |,कोणीय त्वरण
କୋଣାର୍କ ଗତି |,कोणीय गति
କୋଣାର୍କ ଗତି,कोणीय चाल
କୋଣାର୍କ ବେଗ |,कोणीय वेग
annulus,वलयिका
ଉତ୍ତର ଦିଅ,उत्तर
ଆଣ୍ଟି-ଡେରିଭେଟିଭ୍ |,प्रति-अवकलज
ଆଣ୍ଟିସାଇମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ,प्रतिसममित फलन
ପ୍ରଯୁଜ୍ୟ |,"आच्छाद्य , अनु प्रयोज्य, लागू"
ପ୍ରୟୋଗ,"अनुप्रयोग उपयोजन,"
ପ୍ରୟୋଗ ହୋଇଥିବା ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ |,अनुप्रयुक्त गतिशील प्रोग्रामन
ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |,अनुप्रयुक्त ज्यामिति
ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |,अनुप्रयुक्त गणित
ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |,अनुप्रयुक्त सांख्यिकी
ପାଖାପାଖି,"सन्निकटतः, लगभग"
ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |,सन्निकटतः संतत फलन
ଆନୁମାନିକ ପଦ୍ଧତି |,"स्थूल विधि, सन्निकट विधि"
ଆନୁମାନିକ ସମାଧାନ,सन्निकट हल
ଆନୁମାନିକ ସମସ୍ୟା,सन्निकटन-समस्या
ଆନୁମାନିକ ସମ୍ପତ୍ତି,सन्निकटन-गुणधर्म
ଦକ୍ଷତା ପରୀକ୍ଷା ବ୍ୟାଟେରୀ |,अभिक्षमता-परीक्षावली
ଅର୍ଗାନ୍ ଚିତ୍ର |,आरगाँ आरेख
ମନଇଚ୍ଛା ମନୋନୀତ |,स्वेच्छगहीतृ
ଇଚ୍ଛାଧୀନ |,"स्वेच्छ, यादृच्छिक"
ଇଚ୍ଛାଧୀନ ସ୍ଥିର |,स्वेच्छ अचर
ଇଚ୍ଛାଧୀନ ଉପାଦାନ |,स्वेच्छ अवयव
