Marathi,Tamil
Uptement,குறைப்பு
संक्षेप,சுருக்கம்
अपहरण,கடத்தல்
अबाधित,நிறுத்துதல்
क्षमता,திறன்
अब इनिशिओ,Ab initio
सक्षम,முடியும்
असामान्य,அசாதாரணமானது
निर्मूलन,ஒழிப்பு
रद्दबातल पोस्ट,இடுகை ஒழிப்பு
वर दिल्याप्रमाणे,மேலே குறிப்பிட்டுள்ள
वर उद्धृत,மேலே மேற்கோள் காட்டப்பட்டுள்ளது
वरील म्हणाले,மேலே கூறினார்
अनुपस्थिती,இல்லாதது
अनुपस्थित,வராதவர்
अनुपस्थिति,இல்லாதது
अनुपस्थित विधान,இல்லாத அறிக்கை
परिपूर्ण,அறுதி
परिपूर्ण मक्तेदारी,முழுமையான ஏகபோகம்
परिपूर्ण मालकी,முழுமையான உரிமை
शोषण,உறிஞ்சுதல்
गोषवारा,சுருக்கம்
अमूर्त स्टेटमेंट,சுருக்கம்
बेशुद्ध,அபத்தமான
विपुलता,ஏராளமாக
शक्तीचा गैरवापर,அதிகார துஷ்பிரயோகம்
अपमानास्पद भाषा,தவறான மொழி
शैक्षणिक,கல்வி
शैक्षणिक चर्चा,கல்வி விவாதம்
शैक्षणिक रजा,கல்வி விடுப்பு
शैक्षणिक पात्रता,கல்வி தகுதி
शैक्षणिक नोंद,கல்வி சாதனையை
प्रवेश,ஏற்றுக்கொள்ளுங்கள்
स्वीकारा,ஏற்றுக்கொள்
स्वीकृती,ஏற்றுக்கொள்ளல்
कार्यालय स्वीकारणे,பதவியை ஏற்றுக்கொள்வது
निविदा स्वीकारणे,டெண்டரை ஏற்றுக்கொள்வது
प्रवेश,அணுகல்
प्रवेश,அணுகல்
Ory क्सेसरी,துணை
अपघात,விபத்து
सहनशीलता,பழக்கவழக்கமயமாக்கல்
निवास,தங்குமிடம்
सोबत,துணையுடன்
करार,உடன்பாடு
अनुयायी,ஒப்புதல்
त्यानुसार,அதன்படி
खाते,கணக்கு
उत्तरदायित्व,பொறுப்புக்கூறல்
जबाबदार,பொறுப்பு
अकाउंटन्सी,கணக்கியல்
अकाउंटंट,கணக்காளர்
साठी खाते,கணக்கு
खाते डोके,கணக்கு தலை
जमा लाभ,திரட்டப்பட்ட நன்மை
जमा पेन्शन,திரட்டப்பட்ட ஓய்வூதியம்
संचय,குவிப்பு
अचूकता,துல்லியம்
अचूक,துல்லியமானது
आरोप,குற்றம்
आरोपी,குற்றம் சாட்டப்பட்டவர்
यश,சாதனை
पोचपावती,ஒப்புதல்
पावती देय,ஒப்புதல் காரணமாக
ओळखी,அறிமுகம்
संपादन,கையகப்படுத்தல்
शोध,விடுவித்தல்
कायदा,நாடகம்
अभिनय भत्ता,நடிப்பு கொடுப்பனவு
क्रिया,செயல்
कृती योजना,செயல் திட்டம்
सक्रिय,செயலில்
सक्रियपणे,சுறுசுறுப்பாக
कार्यकर्ता,ஆர்வலர்
देवाची करणी,கடவுளின் செயல்
गैरवर्तन कायदा,தவறான நடத்தை செயல்
कमिशनचे कार्य आणि वगळणे,கமிஷன் மற்றும் விடுபடுதல் சட்டம்
वास्तविक,உண்மையான
वास्तविक,உண்மையான
रुपांतर,தழுவல்
या व्यतिरिक्त,கூடுதலாக
अतिरिक्त शुल्क,கூடுதல் கட்டணம்
अतिरिक्त निधी,கூடுதல் நிதி
