Hindi,Gujarati
अपसामान्य,અસામાન્ય
विफलन,ગર્ભપાત
"अपघर्षण, घिसाई",ઘર્ષણ
"असंलग्न, अचानक, सहसा, विच्छिन्न",અચાનક
निरपेक्ष क्षेत्र सामर्थ्य,સંપૂર્ણ ક્ષેત્ર શક્તિ
परम ताप,સંપૂર્ણ તાપમાન
निरपेक्ष मान,અબાધિત મૂલ્ય
"अवशोषित करना, अवशोषण करना",શોષવું
अवशोषण गुणांक,સહ-કાર્યક્ષમ
अवशोषण हानि,શોષણ
"अमूर्त, सारांश, सार, संक्षेप",નિષ્ક્રિય
त्वरणमापी,પ્રવેગમાપક
स्वीकृति परीक्षण,સ્વીકૃતિ કસોટી
अभिगम,પ્રવેશ
अभिगम नियंत्रण,વપરાશ નિયંત્રણ
अभिगम बिंदु,પ્રવેશ -બિંદુ
अभिगम काल,પ્રવેશ સમય
अभिगम्यता,ઉપલ્બધતા
संचायक सेल,સંકુચિત સેલી
यथार्थता,ચોકસાઈ
यथार्थ,ચોક્કસ
अवर्णक लेन्स,ઘેટાંના લેન્સ
"अम्ल, ऐसिड",તેજાબ
अम्लसह,એસિડ પ્રૂફ
अम्लता,અમલ્ય
"पावती द्वयंक, पावती बिट",સ્વીકૃતિ
ध्वानिक,ધ્વનિશાસ્ત્ર
ध्वानिक संचार,ધ્વનિશાસ્ત્ર
ध्वानिक विसरण,ધ્વનિ -પ્રસરણ
ध्वानिक समकारी,ધ્વનિ -બરાબરી
"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश",ધ્વનિ -પ્રતિસાદ
"ध्वानिक फिल्टर, ध्वानिक निस्यंदक",ધ્વનિ ફિલ્ટર
ध्वानिक प्रतिबाधा,ધ્વનિ અવરોધ
"ध्वानिक आवरण, ध्वानिक प्रच्छादन",ધ્વનિ -માસ્કીંગ
ध्वानिक षक्ति,ધ્વનિની શક્તિ
ध्वानिक गुणधर्म,ધ્વનિપક્ષીય મિલકત
ध्वानिक प्रतिघात,ધ્વનિની પ્રતિક્રિયા
ध्वानिक प्रतिवर्त,ધ્વનિ -પ્રતિબિંબ
ध्वानिक टाइल,ધ્વનિ ટાઇલ
ध्वानिक तरंग,ધ્વનિ તરંગ
ध्वानिक अवशोषण गुणांक,શ્રવ -શોષણ
ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक,શ્રવણશક્તિ એટેન્યુએશન
ध्वानिक अवमंदन,શ્રવણની ભીનાશ
ध्वानिक विलंब लाइन,ધ્વનિ વિલંબ રેખા
ध्वानिक विरूपण,ધ્વનિની વિકૃતિ
