Bengali,Marathi
অ্যাব্যাক্সিয়াল পৃষ্ঠ,अ‍ॅबॅक्सियल पृष्ठभाग
পেট,ओटीपोट
পেটের মহাধমনী,ओटीपोटात महाधमनी
পেটের গ্যাংলিয়া,ओटीपोटात गॅंग्लिया
আবেলমোসচাস এসকুলেন্টাস,एबेलमोशस एस्क्युल्टस
অবসন্নতা,विकृती
Abies,अबीज
অ্যাবিংডন কচ্ছপ,अबिंगडॉन कासव
অ্যাবোজেনেসিস,अ‍ॅबिओजेनेसिस
অ্যাবায়োটিক,अ‍ॅबिओटिक
জীবক্রিয়া ফ্যাক্টর,अ‍ॅबिओटिक फॅक्टर
অস্বাভাবিক প্রস্রাব,असामान्य मूत्र
আবো ব্লাড গ্রুপ,अबो ब्लड ग्रुप
অ্যাবসিসিক অ্যাসিড,अ‍ॅबसिसिक acid सिड
অ্যাবসিশন,फलंदाजी
শোষণ,शोषून घ्या
শোষণ শিখর,शोषण शिखर
শোষণ,शोषण
বাবলা ক্যাটেকু,बाभूळ कॅटेचू
অ্যাকারিয়া আরবিকা,अकारिया अरबीका
অ্যাকাপ্রিন,अकाप्रिन
গ্রহণযোগ্য যৌন আচরণ,स्वीकार्य लैंगिक वर्तन
আনুষঙ্গিক গ্রন্থি,Ory क्सेसरी ग्रंथी
আনুষঙ্গিক গ্রন্থি,Ory क्सेसरी ग्रंथी
আনুষঙ্গিক অঙ্গ,Ory क्सेसरीसाठी अवयव
প্রশংসাপত্র,सहनशीलता
প্রশংসিত,अनुकूलित करा
আবাসন (ফোকাসিং),निवास (लक्ष केंद्रित करणे)
চোখের থাকার ব্যবস্থা,डोळ्याची निवासस्थान
স্বীকৃত বৃদ্ধি,संवर्धन वाढ
জমা,संचय
জৈব পদার্থ জমে,सेंद्रिय पदार्थाचे संचय
মাটি জমে,मातीचे संचय
অ্যাসেলুলার,सेल्युलर
অ্যাসেলুলার জীব,एसेल्युलर जीव
অ্যাসিটাবুলাম,एसीटाबुलम
অ্যাসিটালডিহাইড,एसीटाल्डिहाइड
এসিটাইল কোএনজাইম,एसिटिल कोएन्झाइम
আছাটিনা,अकॅटिना
অ্যাকিন টাইপ,अचेने प्रकार
আচিন,अचेने
Achlamydosporye,अक्लमिडोस्पोरिया
এসিড বৃষ্টি,आम्ल वर्षा
অ্যাসিডিক,अम्लीय
অ্যাসিডিক গ্যাস,अम्लीय वायू
অম্লতা,आंबटपणा
অ্যাকিনার সেল,एसीनार सेल
অ্যাকোলোমেট,एकोलोमेट
অ্যাকোনিটাম,On कोनिटम
অ্যাকর্ন কৃমি,अ‍ॅकॉर्न वर्म
অ্যাকোস্টিক জোনিং,ध्वनिक झोनिंग
অর্জিত চরিত্র,अधिग्रहित वर्ण
অনাক্রম্যতা অর্জিত,वसूल केलेली प्रतिकारशक्ती
অর্জিত ইমিউনো ঘাটতি সিন্ড্রোম (এইডস),अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स)
অ্যাক্রানিয়া,एकरानिया
অ্যাক্রিডিন ডাই,Rid सिडिन डाई
অ্যাক্রোসেন্ট্রিক,अ‍ॅक्रोसेन्ट्रिक
অ্যাক্রোমিয়ন,अ‍ॅक्रोमियन
অ্যাক্রোপেটাল সিকোয়েন্স,अ‍ॅक्रोपेटल सीक्वेन्स
অ্যাক্রোপেটাল অর্ডার,अ‍ॅक्रोपेटल ऑर्डर
অ্যাক্রোসিন,अ‍ॅक्रोसिन
অ্যাক্টিন,अ‍ॅक्टिन
অ্যাক্টিনের মতো প্রোটিন,अ‍ॅक्टिन-सारखी प्रथिने
অ্যাক্টিনোমর্ফিক,अ‍ॅक्टिनोमॉर्फिक
অ্যাক্টিনোমাইসেটস,अ‍ॅक्टिनोमाइसेट्स
কর্ম সম্ভাব্য,कृती संभाव्यता
সক্রিয় কর্দম,सक्रिय गाळ
সক্রিয় স্ল্যাজ ফ্লক,सक्रिय गाळ फ्लॉक
অ্যাক্টিভেশন শক্তি,सक्रियता ऊर्जा
সক্রিয় শোষণ,सक्रिय शोषण
সক্রিয় অনাক্রম্যতা,सक्रिय प्रतिकारशक्ती
সক্রিয় বিকিরণ,सक्रिय रेडिएशन
সক্রিয় সাইট,सक्रिय साइट
অ্যাক্টিভিন,अ‍ॅक्टिव्हिन
একুমিনেট,Umicate
অ্যাডামসিয়া,अ‍ॅडम्सिया
অভিযোজনযোগ্যতা,अनुकूलता
অভিযোজন,रुपांतर
হালকা শাসনের সাথে অভিযোজন,हलकी व्यवस्थेशी जुळवून घेणे
জলের ঘাটতির সাথে অভিযোজন,पाण्याची कमतरता रुपांतर
অভিযোজিত বৈশিষ্ট্য,अनुकूली वैशिष्ट्ये
অভিযোজিত অনাক্রম্যতা,अनुकूली प्रतिकारशक्ती
অভিযোজিত বিকিরণ,अनुकूली रेडिएशन
অভিযোজিত বৈশিষ্ট্য,अनुकूली गुण
অ্যাড্যাক্সিয়াল পৃষ্ঠ,अ‍ॅडॅक्सियल पृष्ठभाग
আসক্তিজনিত ব্যাধি,व्यसनाधीन डिसऑर्डर
অ্যাডেনিন,En डेनिन
অ্যাডেনোকোর্টিকোট্রপিন,En डेनोकोर्टिकोट्रोपिन
অ্যাডেনোহাইপোফাইসিস,En डेनोहायपोफिसिस
অ্যাডেনোসিন ডিফোসফেট,En डेनोसिन डायफॉस्फेट
অ্যাডেনোসিন ডায়ামিনেজ,En डेनोसिन डिमिनेस
অ্যাডেনোসিন মনোফসফেট,En डेनोसाइन मोनोफॉस्फेट
অ্যাডেনোসিন ট্রাইফোসফেট (এটিপি),En डेनोसाइन ट्रायफॉस्फेट (एटीपी)
অ্যাডিনলেট সাইক্লাস,En डेनिलेट सायक्लेज
আঠালো শক্তি,चिकट शक्ती
Adipate,अ‍ॅडिपेट
অ্যাডিপোকাইট (ফ্যাট সেল),अ‍ॅडिपोसाइट (चरबी सेल)
মেদ কলা,अ‍ॅडिपोज टिशू
অ্যাডনেট,Nednate
সংলগ্ন সম্প্রদায়,लगतचा समुदाय
অ্যাড্রিনাল,Ren ड्रेनल
অ্যাড্রিনাল গ্রন্থি,Ren ड्रेनल ग्रंथी
অ্যাড্রেনোকোর্টিকোট্রপিক হরমোন (এসিটিএইচ),एड्रेनोकोर्टिकोट्रॉपिक हार्मोन (एसीटीएच)
অ্যাড্রেনোকোর্টিকোট্রপিক রিলিজিং হরমোন (ACTRH),Ren ड्रेनोकोर्टिकोट्रॉपिक रिलीझिंग हार्मोन (एसीटीआरएच)
