Malayalam,Hindi
എ ബി ക്ലാസ് ആംപ്ലിഫയർ,ए बी वर्ग प्रवर्धक
അപഭ്രംശം,"विपथन, अपेरण"
അസാധാരണമായ സംക്രമണം,असामान्य संचरण
"ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ","असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित"
സ്പെക്ട്രം കാണുന്നില്ല,लुप्त स्पेक्ट्रम
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","निरपेक्ष, परम, अचर, परिशुद्ध"
കേവല ഈർപ്പം,निरपेक्ष आर्द्रता
കേവല വേഗത,निरपेक्ष गति
സമ്പൂർണ നിരീക്ഷണം,निरपेक्ष प्रेक्षण
കേവല താപനില,परम ताप
കേവല പൂജ്യം,परम शून्य
ആഗിരണം ചെയ്യുക,अवशोषण करना
"ആഗിരണം, ആഗിരണം","अवशोषक, अवशोषी"
ആഗിരണം ശേഷി,अवशोषण सामर्थ्य
ആഗിരണം,अवशोषणांश
ആഗിരണം ചെയ്യാവുന്ന,अवशोषी
ആഗിരണം,अवशोषकता
ഗുണിത അനുപാതം,बाहुल्य अनुपात
ത്വരിതപ്പെടുത്തുക,त्वरित करना
തിടുക്കപ്പെട്ടു,त्वरित
ത്വരണം,त्वरण
ഗുരുത്വാകർഷണ ത്വരണം,गुरुत्व त्वरण
ആക്സിലറേറ്റർ,त्वरक
ആക്സിലറേറ്റർ,"त्वरित्र, त्वरक"
ആക്സിലറോമീറ്റർ,त्वरणमापी
പ്രിസ്ട്രെസർ,प्राक्प्रबलक
സ്വീകാര്യമായ പരിശോധന,स्वीकारी परीक्षण
സ്വീകർത്താവ്,"ग्राही, स्वीकारी"
ദാതാവിന്റെ തന്മാത്ര,आदाता अणु
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത","अभिगम, प्रतीक्षा, अभिगम्यता"
പ്രവേശനക്ഷമത,अभिगम्यता
"സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)","अतिरिक्त, सहायक, गौण (वि.), उपसाधन (सं.)"
പ്രവേശന സമയം,अभिगम काल
സന്ദർശക പിശക്,आगन्तुक त्रुटि
ക്രമീകരിക്കൽ,समंजन
കുമിഞ്ഞുകൂടി,संचित
"ശേഖരണം, ശേഖരണം","संचय, संचयन"
ശേഖരണം,संचायक
കൃത്യത,यथार्थता
റിയാലിറ്റി,यथार्थ
അക്രോമാറ്റിക് ലെൻസ്,अवर्णक लेन्स
അക്രോമാറ്റിക്,अवर्णक
അക്രോമാറ്റിറ്റി,अवर्णकता
അക്കോസ്റ്റിക്,ध्वानिक
ശബ്ദപ്രതിരോധം,ध्वनिरुद्ध
അക്കോസ്റ്റിക് ഫോണോൺ,ध्वानिक फ़ओनॉन
ശബ്ദ യൂണിറ്റ്,ध्वनि-मात्रक
അക്കോസ്റ്റിക്,ध्वानिक
ശബ്ദ ജനറേറ്റർ,ध्वनि जनित्र
പ്രവർത്തനവും പ്രതികരണവും,क्रिया और प्रतिक्रिया
സജീവമാക്കൽ,सक्रियण
സജീവമാക്കൽ ഊർജ്ജം,सक्रियण उर्जा
"ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ","सक्रियकारक, सक्रियक"
സജീവമാണ്,सक्रिय
ആക്ടിവിസം,सक्रियता
യഥാർത്ഥ സമ്മർദ്ദം,वास्तविक प्रतिबल
മന്ത്രിക്കുന്നു,क्षिप्र उद्भासन
സംഗ്രഹിക്കാനായി,"योग करना, जोड़ना"
"തുക, കൂട്ടിച്ചേർക്കൽ, മൊത്തം (എഡി.), സങ്കലനം (വി.)","योग, जोड़, संकलन (सं.), योगात्मक (वि.)"
"സംയോജിത സ്വരം, അധിക സ്വരം (സ്വരാക്ഷരങ്ങൾ)","संयोजी स्वर, अतिरिक्त टोन (स्वर)"
സങ്കലനം,"योज्य, योगात्मक"
അഡീഷൻ,आसंजन
പശ ഊർജ്ജം,आसंजी ऊर्जा
അടിയാബാറ്റ്,ऐडियाबैट
adiabatic,रुद्धोष्म
ചൂട് ഇൻസുലേറ്റിംഗ്,उष्मा-अपार्य
ബന്ധം,संलग्न
ക്രമീകരിക്കാവുന്ന,समायोज्य
നുഴഞ്ഞുകയറ്റം,प्रवेश्यता
ആഗിരണം,अधिशोषण
മുന്നോട്ട്,अग्रगत
പുരോഗമനപരമായ,प्रगामी
"ആകാശി, വായു (വി.), ഏരിയൽ (എഡി.)","आकाशी, वायव (वि.), एरियल (सं.)"
ആന്റിന സ്ട്രീം,ऐन्टेना धारा
ഏരിയൽ സർവേ,आकाशी सर्वेक्षण
വായു വേഗത,वायव वेग
എയറോഡൈനാമിക് കോഫിഫിഷ്യന്റ്,वायुगतिक गुणांक
എയറോഡൈനാമിക്,वायुगतिक
എയറോഡൈനാമിക്സ്,वायुगतिकी
എയറോനോട്ടിക്കൽ,वैमानिक
എയറോനോട്ടിക്സ്,वैमानिकी
എയർ പൾസ്,वायुस्पंद
"അന്തരീക്ഷം, വാതകമണ്ഡലം","वातमंडल, गैसमंडल"
ഫോക്കസ് സിസ്റ്റം,अफोकसी तंत्र
തിരികെ ജ്വലനം,पश्च ज्वलन
ബാക്ക് ലൈറ്റ്,पश्च दीप्ति
ഞെട്ടൽ,उत्तरघात
"പ്രായം, പ്രായം, പ്രായം, യുഗം (എഡി.), സമയത്തെ ബാധിക്കാൻ (ver.), സമയം, സമയം ബാധിക്കുക","वय, आयु, उम्र, युग (सं.), कालप्रभावित करना (क्रि.), काल, कालप्रभावित होना"
സമയം ബാധിച്ചു,कालप्रभावित
"വാർദ്ധക്യം, വാർദ്ധക്യം","कालप्रभावन, जरण"
സമയ പ്രഭാവം,कालप्रभावन
സമയ ഫല പരിശോധന,कालप्रभावन परीक्षण
ഗുരുത്വാകർഷണമില്ലാത്ത,गुरुत्वहीन
അനുരഞ്ജനം,संधान
"വായുവിലൂടെയുള്ള റഡാർ, ഏരിയൽ റഡാർ","वायुवाहित रेडार, हवाई रेडार"
"ആകാശ ലക്ഷ്യം, ആകാശ ലക്ഷ്യം","वायुवर्ती लक्ष्य, हवाई लक्ष्य"
എയർ റെസ്പിറേറ്റർ,"वायुश्वासी, वायुश्वसित्र"
എയർ കണ്ടീഷനിംഗ്,वातानुकूलन
എയർക്രൂ ട്രാൻസ്ഫോർമർ,वायुक्रोडी ट्रांसफार्मर
വിമാനം,वायुयान
വിന്യാസം,संरेखण
വിന്യാസ പിശക്,सरेखण त्रुटि
ലൈവ് സർക്യൂട്ട്,सजीव परिपथ
മുഴുവൻ ഗ്ലാസ് ട്യൂബ്,संपूर्ण कांच नलिका
മുഴുവൻ മെറ്റൽ ട്യൂബ്,संपूर्ण धातुनलिका
പരിഹരിക്കാൻ,नियत करना
"മിസ്രതു (എഡി.), മിശ്രത്വാൻ (സി.ആർ.)","मिश्रातु (सं.), मिश्रात्वन (क्रि.)"
മിശ്രത്വൻ,मिश्रात्वन
സർവ്വവ്യാപിയായ മാധ്യമം,सर्वव्यापी माध्यम
ഓമ്‌നി ആന്റിന,सर्वतरंग ऐन्टेना
പഞ്ചഭൂതം,पंचांग
ആൽഫ,ऐल्फा
ആൽഫ പ്രവർത്തനം,ऐल्फा-सक्रियता
ആൽഫാന്യൂമെറിക്,अक्षरांकीय
ആൽഫാ റേ,ऐल्फा किरण
മാറ്റുക,परिवर्तन
"ഒന്നിടവിട്ട്, ഒന്നിടവിട്ട്","एकांतर, प्रत्यावर्ती"
ആൾട്ടർനേറ്റർ,प्रत्यावर्तित्र
ആൾട്ടിമീറ്റർ,तुंगतालेखी
ആൾട്ടിമീറ്റർ,तुंगतामापी
ആൾട്ടിമെട്രി,तुंगतामापिकी
"ഉയരം, ഉയരം, ഉയരം, ഉയരം","तुंगता, उंचाई, उन्नतांश, शीर्षलम्ब"
അരിത്മെറ്റിക് റീസണിംഗ് യൂണിറ്റ് (ALU),अंकगणित तर्क एकक (ए एल यू)
ഒരു ഭരണം,एमागेट नियम
പരിസ്ഥിതി,परिवेश
അമ്ക്രോൺ,एमाइक्रोन
അമ്മീറ്റർ,ऐमीटर
ആമ്പിയർ,ऐम्पियर
ആമ്പിയർ നിയമം,ऐम्पियर-नियम
ഉഭയജീവി അയോൺ,उभयावेशी आयन
ആംപ്ലിഫിക്കേഷൻ,प्रवर्धन
ആംപ്ലിഫയർ,प्रवर्धक
"ആംഗിൾ, അളവ്","कोणांक, आयाम"
എ. എം.യു. (ആറ്റോമിക് മാസ് യൂണിറ്റ്),ए. एम. यू. (परमाणु संहति मात्रक)
അനുയോജ്യം,अनुरूप
സാമ്യം,सादृश्य
അനലിസ്റ്റ്,विश्लेषक
വിശകലനം,विश्लेषण
വിശകലനാത്മകമായ,विश्लेषीय
നോൺ-പോയിന്റ്,अन-अबिन्दुक
അസാധാരണമായ,अन-अबिंदुकता
വാതിലും,तथा द्वार
നോൺ-അക്കോസ്റ്റിക്,अप्रतिध्वनिक
അസാധാരണമായ ഇലാസ്തികത,विषम प्रत्यास्थता
ജലരഹിതമായ,निर्द्रव
കോൺ,कोण
angstrom യൂണിറ്റ്,ऐंग्स्ट्रम मात्रक
കോണിക,कोणीय
പ്രൊട്രാക്ടർ വെർനിയർ,कोणमापी वर्नियर
തർക്കരഹിതമായ,अप्रसंवादी
ബഹുമാനമില്ലാത്ത,अप्रसवादिता
അക്രോമാറ്റിക് കാന്തികവൽക്കരണം,अशैथिल्य चुंबकन
മന്ദത,अशिथिलित
അയോൺ,ऋणायन
അസമമായ,असमविम
ഐസോട്രോപിക്,विषमदैशिक
ഐസോട്രോപിസം,विषमदैशिकता
ഇല്ലാതാക്കൽ,विलोपन
ഗൂഢാലോചനക്കാർ,आख्यापित्र
ആനോഡ്,ऐनोड
ആനോഡൈസേഷൻ,ऐनोडीकरण
പൊരുത്തമില്ലാത്ത,अंसगत
ഒപ്റ്റിക്കൽ സിസ്റ്റം,प्रकाशयंत्रहीन तंत्र
ആന്റിന,ऐन्टेना
ആന്റിബെറിയോൺ,ऐन्टिबेरियॉन
ബോണ്ടിംഗ് വിരുദ്ധ സ്വത്ത്,बंधन विरोधी गुणधर्म
കൌണ്ടർ ബോണ്ട്,प्रति-आबंधन
റിവേഴ്സ് പവർ,प्रतिलोह विद्युत
ഡയമാഗ്നറ്റിക്,प्रतिलोहचुंबकीय
