Odiya,English
AC ସମାନ ସର୍କିଟ |,A C equivalent circuit
ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |,A to D converter
ସଂପୂର୍ଣ୍ଣ ଶୂନ,Absolute zero
ଶୋଷଣ ଗୁଣବତ୍ତା,Absorption coefficient
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |,Absorption spectrum
ରିସେପ୍ଟର ପରମାଣୁ |,Acceptor atom
ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |,A C coupling
ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ,Accumulation of electron
ଗର୍ତ୍ତ ସଂରକ୍ଷଣ,Accumulation of holes
ସକ୍ରିୟ ଶକ୍ତି,Activation energy
ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |,Active amplifier
ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |,Active diode circuit
ସକ୍ରିୟ ଫିଲ୍ଟର୍ |,Active filter
ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |,Active high pass filter
ସକ୍ରିୟ ଭାର,Active load
ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |,Active low pass filter
ସକ୍ରିୟ କ୍ଷେତ୍ର |,Active region
ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |,Adaptive electronics
ଆଡର୍,Adder
ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |,Adjustable band width
ଅନୁପ୍ରବେଶ,Admittance
ଆରିଏଲ,Aerial
ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |,Agility frequency
ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି,Air conditioner
ଶ୍ରେଣୀବଦ୍ଧତା |,Alignment
ଆଲଗୋରିଦମ |,Algorithm
ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |,All pass filter
ମିଶ୍ରିତ ଜଙ୍କସନ |,Alloy junction
ଆଘାତ,Attenuation
ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |,Alternating current (AC)
ପରିବେଶର ତାପମାତ୍ରା |,Ambient temperature
ଦ୍ୱିପାକ୍ଷିକ,Ambipolar
ବୃଦ୍ଧି,Amplification
ଏମ୍ପ୍ଲିଫାୟର୍,Amplifier
ଏମ୍ପ୍ଲିଫାୟର୍ ଦକ୍ଷତା |,Amplifier efficiency
ପରିମାପ,Amplitude
ପ୍ରଶସ୍ତତା ଆଘାତ,Amplitude altenuation
ବିସ୍ତାର ମଡ୍ୟୁଲେଡ୍ ଏମ୍ ଓସିଲେଟର,Amplitude modulated oscillator
ପ୍ରଶସ୍ତିକରଣ ମୋଡ୍ୟୁଲେସନ,Amplitude modulation
