Telugu,Hindi
అసాధారణ,अपसामान्य
అబార్ట్,विफलन
అబ్రేషన్,"अपघर्षण, घिसाई"
ఆకస్మిక,"असंलग्न, अचानक, सहसा, विच्छिन्न"
సంపూర్ణ క్షేత్ర బలం,निरपेक्ष क्षेत्र सामर्थ्य
సంపూర్ణ ఉష్ణోగ్రత,परम ताप
సంపూర్ణ విలువ,निरपेक्ष मान
గ్రహించండి,"अवशोषित करना, अवशोषण करना"
శోషణ సహ-సమర్థత,अवशोषण गुणांक
శోషణ నష్టం,अवशोषण हानि
నైరూప్య,"अमूर्त, सारांश, सार, संक्षेप"
యాక్సిలెరోమీటర్,त्वरणमापी
అంగీకార పరీక్ష,स्वीकृति परीक्षण
యాక్సెస్,अभिगम
యాక్సెస్ నియంత్రణ,अभिगम नियंत्रण
యాక్సెస్ పాయింట్,अभिगम बिंदु
ప్రాప్యత సమయం,अभिगम काल
సౌలభ్యాన్ని,अभिगम्यता
సంచిత కణం,संचायक सेल
ఖచ్చితత్వం,यथार्थता
ఖచ్చితమైనది,यथार्थ
అచ్రోమాటిక్ లెన్స్,अवर्णक लेन्स
ఆమ్లము,"अम्ल, ऐसिड"
యాసిడ్ ప్రూఫ్,अम्लसह
ఆమ్లత్వం,अम्लता
రసీదు బిట్,"पावती द्वयंक, पावती बिट"
శబ్ద,ध्वानिक
ఎకౌస్టిక్ కమ్యూనికేషన్,ध्वानिक संचार
శబ్ద వ్యాప్తి,ध्वानिक विसरण
ఎకౌస్టిక్ ఈక్వలైజర్,ध्वानिक समकारी
శబ్ద అభిప్రాయం,"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश"
శబ్ద వడపోత,"ध्वानिक फिल्टर, ध्वानिक निस्यंदक"
శబ్ద ఇంపెడెన్స్,ध्वानिक प्रतिबाधा
ఎకౌస్టిక్ మాస్కింగ్,"ध्वानिक आवरण, ध्वानिक प्रच्छादन"
శబ్ద శక్తి,ध्वानिक षक्ति
శబ్ద ఆస్తి,ध्वानिक गुणधर्म
శబ్ద ప్రతిచర్య,ध्वानिक प्रतिघात
ఎకౌస్టిక్ రిఫ్లెక్స్,ध्वानिक प्रतिवर्त
శబ్ద టైల్,ध्वानिक टाइल
శబ్ద వేవ్,ध्वानिक तरंग
శబ్ద శోషణ,ध्वानिक अवशोषण गुणांक
శబ్ద అటెన్యుయేషన్ స్థిరాంకం,ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक
శబ్ద డంపింగ్,ध्वानिक अवमंदन
శబ్ద ఆలస్యం రేఖ,ध्वानिक विलंब लाइन
శబ్ద వక్రీకరణ,ध्वानिक विरूपण
శబ్ద వాహిక,ध्वनि-वाहिनी
శబ్ద శక్తి,ध्वानिक ऊर्जा
శబ్ద అభిప్రాయం,ध्वानिक पुनर्निवेश
శబ్ద వడపోత,"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक"
శబ్ద ఇంపెడెన్స్,ध्वानिक प्रतिबाधा
శబ్ద ప్రచారం స్థిరాంకం,ध्वानिक संचरण नियतांक
శబ్ద నిరోధకత,ध्वानिक प्रतिरोध
శబ్దపరంగా ఇన్సులేట్ చేయబడింది,ध्वानिकतः रुद्ध
ధ్వని,"ध्वानिकी, ध्वनि विज्ञान"
సముపార్జన,"अधिग्रहण, अर्जन, उपार्जन"
