Assamese,Gujarati
abacus,અબેકસ
অস্বাভাৱিক সমাপ্তি,અસામાન્ય સમાપ્તિ
abort,ગર્ભપાત
নিৰপেক্ষ,સંપૂર્ણ
নিৰপেক্ষ ঠিকনা,સંપૂર્ણ સરનામું
নিৰপেক্ষ সম্বোধন,સંપૂર્ણ સંબોધન
নিৰপেক্ষ এছেম্বলাৰ,સંપૂર્ણ એસેમ્બલર
নিৰপেক্ষ ক&#39;ড,સંપૂર્ણ કોડ
নিৰপেক্ষ আদেশ,સંપૂર્ણ આદેશ
নিৰপেক্ষ তথ্য,સંપૂર્ણ ડેટા
নিৰপেক্ষ নিৰ্দেশনা,સંપૂર્ણ સૂચના
নিৰপেক্ষ ধৰণ,સંપૂર્ણ મોડ
নিৰপেক্ষ পথ,સંપૂર્ણ માર્ગ
নিৰপেক্ষ প্ৰগ্ৰেমিং,સંપૂર્ણ પ્રોગ્રામિંગ
বিমূৰ্ত শ্ৰেণী,અમૂર્ત વર્ગ
বিমূৰ্ত তথ্যৰ ধৰণ,અમૂર્ત ડેટા પ્રકાર
বিমূৰ্ত মেচিন,અમૂર્ત મશીન
বিমূৰ্ত চিহ্ন,અમૂર્ત પ્રતીક
বিমূৰ্ত বাক্যবিন্যাস,અમૂર્ત વાક્યરચના
গ্ৰহণযোগ্যতা পৰীক্ষা,સ્વીકૃતિ પરીક્ષણ
প্ৰৱেশ প্ৰমাণীকৰণ,ઍક્સેસ પ્રમાણીકરણ
প্ৰৱেশ ক&#39;ড,ઍક્સેસ કોડ
প্ৰৱেশ নিয়ন্ত্ৰণ,વપરાશ નિયંત્રણ
এক্সেছ স্কেন,એક્સેસ સ્કેન
আনুষংগিক বস্তু,સહાયક
একাউণ্ট,એકાઉન્ટ
একাউণ্ট আইডি,એકાઉન્ટ ID
এক্যুলেটৰ,સંચયક
শুদ্ধতা,ચોકસાઈ
acess,ઍક્સેસ
প্ৰৱেশ নিয়ন্ত্ৰণ বাইট,એક્સેસ કંટ્રોલ બાઈટ
acess index,એક્સેસ ઇન્ડેક્સ
acess key,ઍક્સેસ કી
acess মেট্ৰিক্স,એક્સેસ મેટ્રિક્સ
প্ৰৱেশ ধৰণ,ઍક્સેસ મોડ
acess বিশেষাধিকাৰ,એક્સેસ વિશેષાધિકાર
acess security,ઍક્સેસ સુરક્ષા
এচেছ চাৰ্ভাৰ,ઍક્સેસ સર્વર
acess সময়,ઍક્સેસ સમય
স্বীকৃতি,સ્વીકૃતિ
শব্দবিজ্ঞান,ધ્વનિશાસ્ત્ર
সংক্ষিপ্ত ৰূপ,ટૂંકાક્ષર
কাৰ্য্য বাৰ্তা,ક્રિયા સંદેશ
সক্ৰিয়কৰণ,સક્રિયકરણ
