Hindi,Kannada
आबेली समूह,ಅಬೆಲಿಯನ್ ಗುಂಪು
आबेली सामिसमूह,ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್
भुज,ಅಬ್ಸಿಸ್ಸಾ
"निरपेक्ष, परम, अचर, परिशुद्‌ध",ಸಂಪೂರ್ಣ
निरपेक्ष अभिसरण,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
निरपेक्ष त्रुटि,ಸಂಪೂರ್ಣ ದೋಷ
परम उच्चिष्ठ,ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ
परम निम्निष्ठ,ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ
निरपेक्ष मान,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
निरपेक्ष वेग,ಸಂಪೂರ್ಣ ವೇಗ
अमूर्त बीजगणित,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
अमूर्त समूह सिद्‌धांत,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
त्वरण,ವೇಗವರ್ಧನೆ
गुरुत्वीय त्वरण,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
स्वीकार्य वरण-समुच्चय,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್
स्वीकार्य गुणता स्तर,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
स्वीकार्य परिसर,ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ
मान्य विश्वसनीयता स्तर,ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
स्वीकरण-प्रतिचयन,ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ
संचित त्रुटि,ಸಂಚಿತ ದೋಷ
यथार्थता,ನಿಖರತೆ
लगा हुआ बल,ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ
" क्रिया , कर्म",ಕ್ರಮ
क्रिया और प्रतिक्रिया,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
बीमा विज्ञान,ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ
न्यूनकोण त्रिभुज,ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ
अचक्रीय,ಅಸೈಕ್ಲಿಕ್
"योग करना, जोड़ना",ಸೇರಿಸಿ
योजक,ಸೇರಿಸುವವನು
"योग, जोड़, संकलन (स.), योगात्मक (वि.)",ಜೊತೆಗೆ
योग का सूत्र,ಸೇರ್ಪಡೆ ಸೂತ್ರ
सम्मिश्र संख्याओं का योग,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ
फलनों का योग,ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ
आव्यूहों का योग,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ
बहुपदों का योग,ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ
प्रायिकताओं का योग,ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ
सदिशों का योग,ವಾಹಕಗಳ ಸೇರ್ಪಡೆ
"योग प्रमेय बेरीज सिद्‌धांत,",ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ
योज्य समूह,ಸಂಯೋಜಕ ಗುಂಪು
योज्य व्युत्क्रम,ಸಂಯೋಜಕ ವಿಲೋಮ
"योज्यता, योगशीलता",ಸಂಯೋಜಕ ಆಸ್ತಿ
योज्यता,ಸಂಕಲನ
आसन्नता आव्यूह,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
" संलग्न, निकटवर्ती , आसन्न",ಪಕ್ಕದ
आसन्न कोण,ಪಕ್ಕದ ಕೋನಗಳು
आसन्न शीर्ष,ಪಕ್ಕದ ಶೃಂಗ
सहबद्‌ध करना,ಹೊಂದು
"संलग्न संलग्नीत,",ಪಕ್ಕದ
सहखंडज सारणिक,ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ
संलग्न अवकल समीकरण,ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
संलग्न समीकरण,ಸಂಯೋಜಿತ ಸಮೀಕರಣ
सहखंडज आव्यूह,ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
आव्यूह सहखंडज,ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ
सहखंडज आव्यूह,ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ग्राह्य निर्णय फलन,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
ग्राह्य परिकल्पना,ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ
वायुगतिक बल,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
वायु गतिकी,ವಾಯುಬಲವಿಜ್ಞಾನ
सजातीय ज्यामिति,ಅಫೈನ್ ಜ್ಯಾಮಿತಿ
सजातीय प्रतिचित्रण,ಅಫೈನ್ ಮ್ಯಾಪಿಂಗ್
सजातीय रूपांतरण,ಅಫೈನ್ ರೂಪಾಂತರ
समुच्चयी चर,ಒಟ್ಟುಗೂಡಿಸುವ ಅಸ್ಥಿರ
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया",ಬೀಜಗಣಿತ
"बीजतः संवृत, बीजतः",ಬೀಜಗಣಿತವಾಗಿ ಮುಚ್ಚಲಾಗಿದೆ
बीजीय समीकरण,ಬೀಜಗಣಿತದ ಸಮೀಕರಣ
बीजीय व्यंजक,ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ
बीजीय समघात,ಬೀಜಗಣಿತ ರೂಪ
बीजीय फलन,ಬೀಜಗಣಿತದ ಕಾರ್ಯ
बीजीय ज्यामिति,ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ
बीजीय बहुकता,ಬೀಜಗಣಿತದ ಬಹುಸಂಖ್ಯೆ
बीजीय निकाय,ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ
सर्व-पूर्णांक समस्या,ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ
"नियतन समस्या वाटपप्रश्न,",ಹಂಚಿಕೆ ಸಮಸ್ಯೆ
अक्षरात्मक संकेत पद्‌धति,ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ
अक्षरात्मक संप्रतीक,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ
एकांतर कोण,ಪರ್ಯಾಯ ಕೋನ
"एकांतर समघात प्रत्यावर्ती रूप,",ಪರ್ಯಾಯ ರೂಪ
एकांतर समूह,ಪರ್ಯಾಯ ಗುಂಪು
एकांतर आव्यूह,ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್
एकांतर श्रेणी,ಪರ್ಯಾಯ ಸರಣಿ
वैकल्पिक परिकल्पना,ಪರ್ಯಾಯ ಕಲ್ಪನೆ
वैकल्पिक इष्टमत,ಪರ್ಯಾಯ ಆಪ್ಟಿಮಾ
वैकल्पिक परिणाम,ಪರ್ಯಾಯ ಫಲಿತಾಂಶ
अनुरूप-अंकीय परिवर्तक,ಅನಲಾಗ್-ಟು-ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ
"अनुरूप कम्प्यूटर,",ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
विश्लेषण,ವಿಶ್ಲೇಷಣೆ
सहप्रसरण-विश्लेषण,ಸಹವರ್ತಿತ್ವದ ವಿಶ್ಲೇಷಣೆ
गणन-आंकड़ों का विश्लेषण,ಎಣಿಕೆಯ ಡೇಟಾದ ವಿಶ್ಲೇಷಣೆ
प्रसरण-विश्लेषण,ವ್ಯತ್ಯಾಸದ ವಿಶ್ಲೇಷಣೆ
विश्लेषिक ज्यामिति,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ
विश्लेषिक फलन,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ
कोण,ಕೋನ
स्पर्श-कोण,ಸಂಪರ್ಕದ ಕೋನ
विक्षेप-कोण,ವಿಚಲನ ಕೋನ
अवनमन-कोण,ಖಿನ್ನತೆಯ ಕೋನ
विचलन-कोण,ವಿಚಲನ ಕೋನ
विवर्तन-कोण,ವಿವರ್ತನೆಯ ಕೋನ
उन्नयन-कोण,ಎತ್ತರದ ಕೋನ
आपतन-कोण,ಘಟನೆಯ ಕೋನ
प्रक्षेप-कोण,ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ
परावर्तन-कोण,ಪ್ರತಿಬಿಂಬದ ಕೋನ
अपवर्तन-कोण,ವಕ್ರೀಭವನದ ಕೋನ
घूर्णन-कोण,ತಿರುಗುವಿಕೆಯ ಕೋನ
पूर्ण परावर्तन-कोण,ಒಟ್ಟು ಪ್ರತಿಫಲನದ ಕೋನ
कोणीय त्वरण,ಕೋನೀಯ ವೇಗವರ್ಧನೆ
कोणीय गति,ಕೋನೀಯ ಚಲನೆ
कोणीय चाल,ಕೋನೀಯ ವೇಗ
कोणीय वेग,ಕೋನೀಯ ವೇಗ
वलयिका,ವಾರ್ಷಿಕ
उत्तर,ಉತ್ತರ
