Bengali,English
অবসান,Abatement
সংক্ষেপণ,Abbreviation
অপহরণ,Abduction
অবসান,Abeyance
ক্ষমতা,Ability
অ্যাব initio,Ab initio
সক্ষম,Able
অস্বাভাবিক,Abnormal
বিলুপ্তি,Abolition
বিলোপ পোস্ট,Abolitionof post
উপর্যুক্ত,Above mentioned
উপরে উদ্ধৃত,Above quoted
উপরে বলেছেন,Above said
অনুপস্থিতি,Absence
অনুপস্থিত,Absentee
অনুপস্থিতি,Absenteeism
অনুপস্থিত বিবৃতি,Absentee statement
পরম,Absolute
পরম একচেটিয়া,Absolute monopoly
পরম মালিকানা,Absolute ownership
শোষণ,Absorption
বিমূর্ত,Abstract
অ্যাবস্ট্রাক্টস্টেটমেন্ট,Abstractstatement
অযৌক্তিক,Absurd
প্রাচুর্য,Abundance
ক্ষমতার অপব্যবহার,Abuse of power
অবমাননাকর ভাষা,Abusive language
একাডেমিক,Academic
একাডেমিক আলোচনা,Academic discussion
একাডেমিক ছুটি,Academic leave
শিক্ষাগত যোগ্যতা,Academic qualification
একাডেমিক রেকর্ড,Academic record
প্রশংসা,Accede
গ্রহণ,Accept
গ্রহণযোগ্যতা,Acceptance
অফিস গ্রহণ,Acceptance of office
দরপত্র গ্রহণ,Acceptance of tender
অ্যাক্সেস,Access
প্রবেশ,Accession
আনুষঙ্গিক,Accessory
দুর্ঘটনা,Accident
প্রশংসাপত্র,Acclimatization
থাকার ব্যবস্থা,Accommodation
সহকারী,Accompanist
চুক্তি,Accord
অ্যাকশন,Accordance
তদনুসারে,Accordingly
অ্যাকাউন্ট,Account
দায়িত্ব,Accountability
দায়ী,Accountable
হিসাবরক্ষণ,Accountancy
হিসাবরক্ষক,Accountant
কি কারণে,Account for
অ্যাকাউন্ট হেড,Account head
অর্জিত সুবিধা,Accrued benefit
পেনশন আদায়,Accrued pension
জমা,Accumulation
সঠিকতা,Accuracy
নির্ভুল,Accurate
অভিযোগ,Accuse
অভিযুক্ত,Accused
অর্জন,Achievement
স্বীকৃতি,Acknowledgement
স্বীকৃতি বকেয়া,Acknowledgement due
পরিচিত,Acquaintance
অধিগ্রহণ,Acquisition
খালাস,Acquittance
আইন,Act
অভিনয় ভাতা,Acting allowance
কর্ম,Action
অ্যাকশন প্ল্যান,Action plan
সক্রিয়,Active
সক্রিয়ভাবে,Actively
কর্মী,Activist
Of শ্বরের আইন,Act of God
অসদাচরণের আইন,Act of misconduct
কমিশন ও বাদ দেওয়া আইন,Act of commission and omission
আসল,Actual
বাস্তব,Actuals
অভিযোজন,Adaptation
সংযোজন,Addition
অতিরিক্ত চার্জ,Additional charge
অতিরিক্ত তহবিল,Additional fund
অতিরিক্ত অনুদান,Additional grant
অতিরিক্ত তথ্য,Additional information
অতিরিক্ত বেতন,Additional pay
সংযোজন এবং পরিবর্তন,Addition and alteration
ঠিকানা,Address
ঠিকানা,Addressee
স্বাগত ঠিকানা,Address of welcome
পর্যাপ্ত,Adequate
মেনে চলুন,Adhere to
অ্যাডহক,Ad hoc
অ্যাডহক দাবি,Ad hoc claim
তদর্থক কমিটি,Ad hoc committee
অ্যাডহক বৃদ্ধি,Ad hoc increase
অ্যাডহক পেমেন্ট,Ad hoc payment
সংলগ্ন,Adjacent
সংলগ্ন (= সংহত),Adjoining (=contiguous)
স্থগিতাদেশ,Adjournment
স্থগিতের গতি,Adjournment motion
রায়,Adjudge
বিচারক,Adjudicate
বিচার,Adjudication
বিচারক,Adjudicator
সামঞ্জস্য,Adjustment
প্রশাসনিক,Administer
শপথ পরিচালনা করুন,Administer oath
প্রশাসন,Administration
বিচার প্রশাসন,Administration of justice
প্রশাসনিক,Administrative
প্রশাসনিক ক্রিয়া,Administrative action
প্রশাসনিক মূল্যায়ন,Administrative appraisal
প্রশাসনিক অনুমোদন,Administrative approval
প্রশাসনিক কর্তৃপক্ষ,Administrative authority
প্রশাসনিক নিয়ন্ত্রণ,Administrative control
প্রশাসনিক সিদ্ধান্ত,Administrative decision
প্রশাসনিক দপ্তর,Administrative department
প্রশাসনিক মাথা,Administrative head
প্রশাসনিক সদর দফতর,Administrative headquarters
প্রশাসনিক ব্যবস্থা,Administrative measures
প্রশাসনিক শক্তি,Administrative power
প্রশাসনিক অনুমোদন,Administrative sanction
প্রশাসনিক কৌশল,Administrative technique
প্রশাসনিক ট্রাইব্যুনাল,Administrative tribunal
প্রবেশযোগ্যতা,Admissibility
স্বীকৃত ব্যয়,Admissible expenditure
স্বীকার করুন,Admit
ভর্তি কার্ড,Admit card
ভর্তি,Admitted
উপদেশ,Admonish
গ্রহণ,Adoptee
গ্রহণকারী,Adoptor
গ্রহণ,Adoption
প্রাপ্তবয়স্ক,Adult
ভেজাল,Adulteration
ব্যভিচার,Adultery
প্রাপ্তবয়স্ক ভোটাধিকার,Adult franchise
বিজ্ঞাপন ভ্যালোরেম ডিউটি,Ad valorem duty
অগ্রিম,Advance
আগাম বুকিং,Advance booking
অগ্রিম অনুলিপি,Advance copy
অগ্রিম বৃদ্ধি,Advance increment
অগ্রিম প্রদান,Advance payment
প্রতিকূল এন্ট্রি,Adverse entry
বিরূপ মন্তব্য,Adverse remarks
প্রতিকূল প্রতিবেদন,Adverse report
বিজ্ঞাপন,Advertisement
পরামর্শ,Advice
অর্থ প্রদানের পরামর্শ,Advice of payment
উপদেষ্টা কমিটি,Advisory committee
উপদেষ্টা পরিষদ,Advisory council
অ্যাডভোকেট,Advocate
বিষয়,Affairs
হলফনামা,Affidavit
অধিভুক্তি,Affiliation
নিশ্চিতকরণ,Affirmation
ইতিবাচক,Affirmative
সামর্থ্য,Afford
উপরোক্ত,Aforesaid
নতুন করে,Afresh
বিরুদ্ধে,Against
বয়স,Age
বয়স শংসাপত্র,Age certificate
