Assamese,Marathi
abacus,अॅबॅकस
অস্বাভাৱিক সমাপ্তি,असामान्य समाप्ती
abort,गर्भपात
নিৰপেক্ষ,निरपेक्ष
নিৰপেক্ষ ঠিকনা,परिपूर्ण पत्ता
নিৰপেক্ষ সম্বোধন,निरपेक्ष संबोधन
নিৰপেক্ষ এছেম্বলাৰ,परिपूर्ण असेंबलर
নিৰপেক্ষ ক&#39;ড,परिपूर्ण कोड
নিৰপেক্ষ আদেশ,निरपेक्ष आज्ञा
নিৰপেক্ষ তথ্য,परिपूर्ण डेटा
নিৰপেক্ষ নিৰ্দেশনা,परिपूर्ण सूचना
নিৰপেক্ষ ধৰণ,परिपूर्ण मोड
নিৰপেক্ষ পথ,परिपूर्ण मार्ग
নিৰপেক্ষ প্ৰগ্ৰেমিং,परिपूर्ण प्रोग्रामिंग
বিমূৰ্ত শ্ৰেণী,अमूर्त वर्ग
বিমূৰ্ত তথ্যৰ ধৰণ,अमूर्त डेटा प्रकार
বিমূৰ্ত মেচিন,अमूर्त मशीन
বিমূৰ্ত চিহ্ন,अमूर्त चिन्ह
বিমূৰ্ত বাক্যবিন্যাস,अमूर्त वाक्यरचना
গ্ৰহণযোগ্যতা পৰীক্ষা,स्वीकृती चाचणी
প্ৰৱেশ প্ৰমাণীকৰণ,प्रवेश प्रमाणीकरण
প্ৰৱেশ ক&#39;ড,प्रवेश कोड
প্ৰৱেশ নিয়ন্ত্ৰণ,प्रवेश नियंत्रण
এক্সেছ স্কেন,प्रवेश स्कॅन
আনুষংগিক বস্তু,ऍक्सेसरी
একাউণ্ট,खाते
একাউণ্ট আইডি,खाते आयडी
এক্যুলেটৰ,संचयक
শুদ্ধতা,अचूकता
acess,प्रवेश
প্ৰৱেশ নিয়ন্ত্ৰণ বাইট,ऍक्सेस कंट्रोल बाइट
acess index,प्रवेश निर्देशांक
acess key,प्रवेश की
acess মেট্ৰিক্স,ऍक्सेस मॅट्रिक्स
প্ৰৱেশ ধৰণ,प्रवेश मोड
acess বিশেষাধিকাৰ,प्रवेश विशेषाधिकार
acess security,प्रवेश सुरक्षा
এচেছ চাৰ্ভাৰ,ऍक्सेस सर्व्हर
acess সময়,प्रवेश वेळ
স্বীকৃতি,पोचपावती
শব্দবিজ্ঞান,ध्वनीशास्त्र
সংক্ষিপ্ত ৰূপ,परिवर्णी शब्द
কাৰ্য্য বাৰ্তা,क्रिया संदेश
সক্ৰিয়কৰণ,सक्रियकरण
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP),सक्रिय सर्व्हर पृष्ठ (एएसपी)
সক্ৰিয় সংস্কৰণ,सक्रिय आवृत्ती
অচক্ৰীয়,अॅसायक्लिक
অচক্ৰীয় গ্ৰাফ,अॅसायक्लिक आलेख
আদা ভাষা,अडा भाषा
এডাপ্টাৰ,अडॅप्टर
যোগ কৰা,जोडा
ফাইল যোগ কৰক,फाइल जोडा
অপাৰেচন যোগ কৰক,ऑपरेशन जोडा
adder,जोडणारा
ঠিকনা,पत्ता
ঠিকনা বাছ,पत्ता बस
ঠিকনা নথিপত্ৰ,पत्ता फाइल
ঠিকনা বিন্যাস,पत्त्याचे स्वरूप
ঠিকনা উৎপাদক,पत्ता जनरेटर
ঠিকনা ৰেখা,पत्ता ओळ
ঠিকনা মেপিং,पत्ता मॅपिंग
ঠিকনা পইণ্টাৰ,पत्ता सूचक
ঠিকনা পঞ্জীয়ন,पत्ता नोंदवही
ঠিকনা সমাধান,पत्ता ठराव
ঠিকনা অনুবাদ,पत्ता अनुवाद
ঠিকনাযুক্ত মেমৰি,संबोधित मेमरी
সম্বোধন কৰা,संबोधित करणे
পৰ্যাপ্ততাৰ মাপকাঠী,पर्याप्तता निकष
সংযুক্ত,संलग्न
প্ৰশাসন,प्रशासन
প্ৰশাসক,प्रशासक
এডোব এক্ৰ&#39;বেট,adobe acrobat
এডোব ফটোশ্বপ,अडोब फोटोशाॅप
উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP),अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP)
উন্নত তথ্য,प्रगत डेटा
উন্নত তথ্য ব্যৱস্থা,प्रगत माहिती प्रणाली
উন্নত প্ৰযুক্তি (AT),प्रगत तंत्रज्ञान (AT)
এজেণ্ট,एजंट
একত্ৰীকৰণ,एकत्रीकरण
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,एअरबोर्न संगणक प्रणाली
aldus পৃষ্ঠা নিৰ্মাতা,aldus पृष्ठ निर्माता
সতৰ্কবাণী বাকচ,इशारा बॉक्स
এলগোল,अल्गोल
এলগৰিদম,अल्गोरिदम
এলগৰিদম বিশ্লেষণ,अल्गोरिदम विश्लेषण
এলগৰিদম দক্ষতা,अल्गोरिदम कार्यक्षमता
alias,उर्फ
প্ৰান্তিককৰণ,संरेखन
আবণ্টন,वाटप
বৰ্ণানুক্ৰমিক,वर्णमाला
আলফানিউমেৰিক,अल्फान्यूमेरिक
আলফানিউমেৰিক কি বৰ্ড,अल्फान्यूमेरिक की बोर्ड
আলফা-পৰীক্ষা,अल्फा-चाचणी
আলফা-সংস্কৰণ,अल्फा आवृत्ती
alt কি&#39;,alt की
আলতাভিস্তা,altavista
অস্পষ্টতা,अस्पष्टता
