Kannada,Tamil
ಅಸಹಜ,அசாதாரணமானது
ಸ್ಥಗಿತಗೊಳಿಸು,கருக்கலைப்பு
ಸವೆದುಹೋಗುವಿಕೆ,சிராய்ப்பு
ಹಠಾತ್ತಾಗಿ,திடீரென்று
ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ,முழுமையான புல வலிமை
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,முழுமையான வெப்பநிலை
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,துல்லியமான மதிப்பு
ಹೀರಿಕೊಳ್ಳಿ,உறிஞ்சும்
ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ,உறிஞ்சுதல் சக செயல்திறன்
ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ,உறிஞ்சுதல் இழப்பு
ಅಮೂರ್ತ,சுருக்கம்
ವೇಗವರ್ಧಕ ಮಾಪಕ,முடுக்கமானி
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,ஏற்பு சோதனை
ಪ್ರವೇಶ,அணுகல்
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,நுழைவு கட்டுப்பாடு
ಪ್ರವೇಶ,அணுகல் புள்ளி
ಪ್ರವೇಶ ಸಮಯ,அணுகல் நேரம்
ಪ್ರವೇಶಿಸುವಿಕೆ,அணுகல்
ಸಂಚಯಕ ಕೋಶ,குவிப்பான் செல்
ನಿಖರತೆ,துல்லியம்
ನಿಖರವಾದ,துல்லியமானது
ವರ್ಣರಂಜಿತ ಮಸೂರದ,முடிச்சு லென்ஸ்
ಆಮ್ಲ,அமிலம்
ಆಮ್ಲ ಪುರಾವೆ,அமில ஆதாரம்
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,அமிலத்தன்மை
ಸ್ವೀಕೃತ ಬಿಟ್,ஒப்புதல் பிட்
Acೇಳ್ಳರದ,ஒலி
ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ,ஒலி தொடர்பு
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ,ஒலி பரவல்
