Punjabi,Tamil
ਐਂਪੀਅਰ (ਯੂਨਿਟ),ஆம்பியர் (அலகு)
angstrum,ஆங்ஸ்ட்ரம்
ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,ஏ-வகுப்பு பெருக்கி
ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ,ஏஎன் ரேடியோ சஹே
ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ,ஒரு ஸ்கேனிங் விளக்கக்காட்சி
a-ਦਰਸ਼,ஒரு-தர்ஷ்
ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ,ஏ-ஸ்கோப் செயல்திறன்
A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ,ஏ-டி வளைந்த படிகம்
"AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ","ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்"
am,நான்
ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ),AMU (அணு நிறை அலகு)
ਆਰਡ-ਵਰਕ*,aard-vark*
ਐਬ-ਐਂਪੀਅਰ,ab-ஆம்பியர்
ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A-B வகுப்பு பெருக்கி
adah,அட
ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ,ஏ-பி சக்தி பிடகா
abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ,abc = சீரமைப்பு விளக்கப்படம் = nomograph
ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ),அபே எண் (அபே மாறிலி)
abe refractometer,அபே ரிஃப்ராக்டோமீட்டர்
ਅਬੇ ਸਾਈਨ ਸਟੇਟ,அபே சைன் நிலை
ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ,தானியங்கி சார்பு இழப்பீடு
abcoulom,abcoulom
ਵਿਗਾੜ,"பிறழ்வு, பிறழ்வு"
ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ,பிறழ்வு திருத்தி லென்ஸ்
ਅਸਮਾਨ ਵਿਕਾਰ,வானம் பிறழ்வு
abfarad,அபராட்
ਈਬੇਨਰੀ,எபென்ரி
ਈਬੋਨੀ ਪ੍ਰਭਾਵ,கருங்காலி விளைவு
ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ,அசாதாரண துருவமுனைப்பு
ਅਸਧਾਰਨ ਸੰਚਾਰ,அசாதாரண பரிமாற்றம்
ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ,அமானுஷ்ய பிரதிபலிப்பு
ਅਸਧਾਰਨ ਅਪਵਰਤਨ*,அசாதாரண ஒளிவிலகல்*
ਅਲੌਕਿਕ ਵਿਰੋਧ,அமானுஷ்ய எதிர்ப்பு
ab-om,ab-om
"ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ","முன்னுரிமை, தோல்வி"
"ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","இணைக்கப்பட்ட, வழக்கமாக, நின்று, துண்டிக்கப்பட்ட, துண்டு துண்டாக"
ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ,அடிக்கடி குதிக்கிறது
ਹੱਥ*,கை*
ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ,பிரதிபலிப்பு இழந்தது
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,ஸ்பெக்ட்ரம் காணவில்லை
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","முழுமையான, முழுமையான, நிலையான, சரியான"
ਪੂਰਨ ਪ੍ਰਵੇਗ,முழுமையான முடுக்கம்
ਪੂਰਨ ਅਸਲੀਅਤ,முழுமையான உண்மை
ਪੂਰਾ ਪਤਾ,முழுமையான முகவரி
ਭੂ-ਸੰਬੰਧੀ ਉਚਾਈ ਮੀਟਰ,புவிசார்ந்த உயரமானி
ਭੂ-ਵਿਗਿਆਨਕ ਉਚਾਈ,புவியியல் உயரம்
ਪੂਰਨ ਐਂਪੀਅਰ,முழுமையான ஆம்பியர்
ਪੂਰਨ ਉਬਾਲ ਬਿੰਦੂ,முழுமையான கொதிநிலை
ਪੂਰਨ ਪ੍ਰਕਾਸ਼,முழுமையான ஒளிர்வு
ਪੂਰਨ ਸਮਰੱਥਾ,முழுமையான கொள்ளளவு
ਪੂਰਨ ਉਚਾਈ,முழுமையான உயரம்
ਪੂਰਨ ਰੰਗ,முழுமையான நிறமி
"ਪੂਰਨ ਸੰਰਚਨਾ, ਅਸਪਸ਼ਟ ਸੰਰਚਨਾ","முழுமையான கட்டமைப்பு, தெளிவற்ற கட்டமைப்பு"
ਪੂਰਨ ਕੂਲੰਬ,முழுமையான கூலம்
ਪੂਰਾ ਹਨੇਰਾ,முழு இருள்
ਪੂਰਨ ਸਮਾਂ-ਸਾਰਣੀ,முழுமையான திட்டமிடல்
ਸੰਪੂਰਨ ਘਣਤਾ*,முழுமையான அடர்த்தி*
ਪੂਰਨ ਡਰੇਨੇਜ,முழுமையான வடிகால்
ਸੰਪੂਰਨ EMU (ਇਲੈਕਟਰੋਮੈਗਨੈਟਿਕ ਯੂਨਿਟ),முழுமையான EMU (மின்காந்த அலகு)
ਸੰਪੂਰਨ ESU (ਸਥਿਰ ਇਕਾਈ),முழுமையான ESU (நிலையான அலகு)
ਪੂਰਨ ਕੁਸ਼ਲਤਾ,முழுமையான செயல்திறன்
ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਮੀਟਰ,முழுமையான எலக்ட்ரோமீட்டர்
ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ,முழுமையான அதிர்வெண் முழுமையான அதிர்வெண்
ਪੂਰਨ ਨਮੀ,முழுமையான ஈரப்பதம்
ਸੰਪੂਰਨ ਘਟਨਾ,முழுமையான நிகழ்வு
ਪੂਰਨ ਪ੍ਰਤੀਕ੍ਰਿਆਤਮਕ ਸੂਚਕਾਂਕ,முழுமையான ஒளிவிலகல் குறியீடு
ਪੂਰਨ ਅਸਥਿਰਤਾ,முழுமையான உறுதியற்ற தன்மை
ਪੂਰਨ ਅਸਥਿਰਤਾ,முழுமையான உறுதியற்ற தன்மை
"ਪੂਰਨ ਤੀਬਰਤਾ, ਸੰਪੂਰਨ ਤੀਬਰਤਾ","முழுமையான தீவிரம், முழுமையான தீவிரம்"
ਅਸਥਨੀਆ ਦੀ ਪੂਰਨ ਸੀਮਾ,ஆஸ்தீனியாவின் முழுமையான வரம்பு
ਪੂਰਨ ਰੋਸ਼ਨੀ ਸਿਲ,முழுமையான வெளிச்சம் சன்னல்
ਪੂਰਨ ਰੌਸ਼ਨੀ ਵਕਰ,முழுமையான ஒளி வளைவு
ਪੂਰਨ ਵਿਸ਼ਾਲਤਾ,முழுமையான அளவு
ਪੂਰਨ ਬੈਰੋਮੀਟਰ,முழுமையான காற்றழுத்தமானி
ਪਰਮ ਸਰਵਉੱਚ,உச்ச உச்ச
ਪੂਰਨ ਅਤਿ,முழுமையான தீவிர
ਸਭ ਤੋਂ ਘੱਟ,முற்றிலும் குறைந்த
ਪੂਰਨ ਗਤੀ,முழுமையான வேகம்
ਪੂਰਨ ਗਤੀ,முழுமையான வேகம்
ਪੂਰਨ ਸੰਗੀਤ,முழுமையான இசை
ਪੂਰਨ ਨਿਰੀਖਣ,முழுமையான கவனிப்பு
ਪੂਰਨ ਓਮ,முழுமையான ஓம்
ਪੂਰਨ ਸਥਿਤੀ,முழுமையான நோக்குநிலை
ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਨੈਗੇਟਿਵਿਟੀ,முழுமையான எலக்ட்ரோநெக்டிவிட்டி
ਪੂਰਨ ਗੰਭੀਰਤਾ,முழுமையான ஈர்ப்பு
ਪੂਰਨ ਦਬਾਅ,முழுமையான அழுத்தம்
ਪੂਰਨ ਸੰਪਤੀ,முழுமையான சொத்து
ਪੂਰਨ ਸਕੇਲਰ,முழுமையான அளவிடல்
ਤਾਪਮਾਨ ਦਾ ਪੂਰਨ ਪੈਮਾਨਾ*,வெப்பநிலையின் இறுதி அளவு*
"ਸੰਪੂਰਨ ਸਮਕਾਲੀ, ਸੰਪੂਰਨ ਸਮਕਾਲੀ","absolute synchrony, absolute synchrony"
ਪੂਰਨ ਤਣਾਅ,முழுமையான மன அழுத்தம்
ਪੂਰਨ ਸਮਰੂਪਤਾ,முழுமையான சமச்சீர்
