Malayalam,Tamil
അബാക്കസ്,அபாகஸ்
അസാധാരണമായ അവസാനിപ്പിക്കൽ,அசாதாரண நிறுத்தம்
ഉപേക്ഷിക്കുക,கருக்கலைப்பு
കേവല,அறுதி
സമ്പൂർണ്ണ വിലാസം,முழுமையான முகவரி
സമ്പൂർണ്ണ അഭിസംബോധന,முழுமையான முகவரி
കേവല അസംബ്ലർ,முழுமையான அசெம்பிளர்
കേവല കോഡ്,முழுமையான குறியீடு
സമ്പൂർണ്ണ കമാൻഡ്,முழுமையான கட்டளை
സമ്പൂർണ്ണ ഡാറ്റ,முழுமையான தரவு
സമ്പൂർണ്ണ നിർദ്ദേശം,முழுமையான அறிவுறுத்தல்
കേവല മോഡ്,முழுமையான பயன்முறை
കേവല പാത,முழுமையான பாதை
സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്,முழுமையான நிரலாக்கம்
അമൂർത്ത ക്ലാസ്,சுருக்க வர்க்கம்
അമൂർത്ത ഡാറ്റ തരം,சுருக்க தரவு வகை
അമൂർത്ത യന്ത്രം,சுருக்க இயந்திரம்
അമൂർത്ത ചിഹ്നം,சுருக்க சின்னம்
അമൂർത്തമായ വാക്യഘടന,சுருக்க தொடரியல்
സ്വീകാര്യത പരിശോധന,ஏற்றுக்கொள்ளும் சோதனை
ആക്സസ് പ്രാമാണീകരണം,அணுகல் அங்கீகாரம்
പ്രവേശന കോഡ്,அணுகல் குறியீடு
പ്രവേശന നിയന്ത്രണം,நுழைவு கட்டுப்பாடு
ആക്സസ് സ്കാൻ,அணுகல் ஸ்கேன்
ഉപസാധനം,துணை
അക്കൗണ്ട്,கணக்கு
അക്കൗണ്ട് ID,கணக்கு ஐடி
ശേഖരണം,திரட்டி
കൃത്യത,துல்லியம்
പ്രവേശനം,அணுகல்
ആക്സസ് കൺട്രോൾ ബൈറ്റ്,அணுகல் கட்டுப்பாட்டு பைட்
പ്രവേശന സൂചിക,அணுகல் குறியீடு
ആക്സസ് കീ,அணுகல் விசை
ആക്സസ് മാട്രിക്സ്,அணுகல் அணி
ആക്സസ് മോഡ്,அணுகல் முறை
ആക്സസ് പ്രിവിലേജ്,அணுகல் சலுகை
ആക്സസ് സുരക്ഷ,அணுகல் பாதுகாப்பு
ആക്സസ് സെർവർ,அணுகல் சேவையகம்
പ്രവേശന സമയം,அணுகல் நேரம்
അംഗീകാരം,ஒப்புகை
ശബ്ദശാസ്ത്രം,ஒலியியல்
സംക്ഷേപം,சுருக்கம்
പ്രവർത്തന സന്ദേശം,செயல் செய்தி
സജീവമാക്കൽ,செயல்படுத்துதல்
സജീവ സെർവർ പേജ് (ASP),செயலில் உள்ள சர்வர் பக்கம் (ASP)
