Hindi,Odiya
ए.सी. समतुल्य परिपथ,AC ସମାନ ସର୍କିଟ |
अनुरूप से अंकीय परिवर्तक,ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |
परम शून्य,ସଂପୂର୍ଣ୍ଣ ଶୂନ
अवशोषण गुणांक,ଶୋଷଣ ଗୁଣବତ୍ତା
अवशोषण स्पेक्ट्रम,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |
ग्राही परमाणु,ରିସେପ୍ଟର ପରମାଣୁ |
प्रत्यावर्ती धारा युग्मन,ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |
इलेक्ट्रॉन संचयन,ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ
होल संचयन,ଗର୍ତ୍ତ ସଂରକ୍ଷଣ
सक्रियण ऊर्जा,ସକ୍ରିୟ ଶକ୍ତି
सक्रिय प्रवर्धक,ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |
सक्रिय डायोड परिपथ,ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |
सक्रिय फिल्टर,ସକ୍ରିୟ ଫିଲ୍ଟର୍ |
सक्रिय उच्च आवृत्ति पारक फिल्टर,ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |
सक्रिय लोड,ସକ୍ରିୟ ଭାର
सक्रिय निमन आवृत्ति पारक फिल्टर,ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |
सक्रिय क्षेत्र,ସକ୍ରିୟ କ୍ଷେତ୍ର |
अनुकूली इलेक्ट्रॉनिकी,ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |
योजक,ଆଡର୍
समायोजी बैंड विस्तार,ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |
प्रवेश्यता,ଅନୁପ୍ରବେଶ
एरियल,ଆରିଏଲ
स्फूर्ति आवृत्ति,ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |
वातानुकूलक,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
संरेखन,ଶ୍ରେଣୀବଦ୍ଧତା |
आल्गोरिदम,ଆଲଗୋରିଦମ |
समस्त पारक फिल्टर,ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |
मिश्रधातु संधि,ମିଶ୍ରିତ ଜଙ୍କସନ |
