Marathi,English
अँपिअर (युनिट),A (Ampere unit of current)
angstrum,A (angstrom)
ए-क्लास अॅम्प्लिफायर,A amplifier
एएन रेडिओ सहाय,A-N radio range
एक-स्कॅनिंग सादरीकरण,A-scan presentation
a-darsh,A-scope
ए-स्कोप कामगिरी,A-scope display
A-T वक्र क्रिस्टल,A-T Cut crystal
"एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन",A.c-d.c. gain
आहे,A.M. (ante meridiem)
AMU (अणु वस्तुमान एकक),A.m.u. (atomic mass unit)
आर्ड-वार्क*,Aard-vark
ab-ampere,Ab ampere
A-B वर्ग अॅम्प्लिफायर,AB amplifier
adah,Ab initio
A-B शक्ती पिटक,AB power pack
abc = संरेखन चार्ट = nomograph,Abac=alignment chart=nomograph
अबे क्रमांक (अबे स्थिरांक),Abbe number (=Abbe constant)
abe refractometer,ABBE refractometer
अबे साइन राज्य,Abbe sine condition
स्वयंचलित पूर्वाग्रह भरपाई,Abc (automatic bias compensation)
abcoulom,Abcoulomb
विकृती,Aberration
विकृती सुधारक लेन्स,Aberration corrector lens
आकाश विकृती,Aberration of light
abfarad,Abfarad
एबेनरी,Abhenry
इबोनी प्रभाव,Abney effect (=Abney law)
असामान्य ध्रुवीकरण,Abnormal polarisation
असामान्य प्रसार,Abnormal propagation
अलौकिक प्रतिबिंब,Abnormal reflection
असामान्य अपवर्तन*,Abnormal refraction
अलौकिक प्रतिकार,Abnormal resistance
ab-om,Abohm
"प्राबल्य, अपयश",Abortion
"संलग्न, सहसा, उभे, विभक्त, खंडित",Abrupt
अनेकदा उडी मारते,Abrupt jump
हात*,Abscissa
हरवलेले प्रतिबिंब,Absent reflection
गहाळ स्पेक्ट्रम,Absent spectrum
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण",Absolute
परिपूर्ण प्रवेग,Absolute acceleration
परिपूर्ण वास्तव,Absolute accuracy
परिपूर्ण पत्ता,Absolute address-specific address
भौगोलिक उच्चांक,Absolute altimeter
भौगोलिक उंची,Absolute altitude
परिपूर्ण अँपिअर,Absolute ampere
परिपूर्ण उकळत्या बिंदू,Absolute boilling point
परिपूर्ण प्रकाश,Absolute bolometric luminosity
परिपूर्ण क्षमता,Absolute capacity
परिपूर्ण उंची,Absolute ceiling
परिपूर्ण रंगद्रव्य,Absolute colour index
"परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन",Absolute configuration
परिपूर्ण कूलॉम्ब,Absolute coulomb
पूर्ण अंधार,Absolute darkness
परिपूर्ण वेळापत्रक,Absolute dating
परिपूर्ण घनता*,Absolute density
पूर्ण निचरा,Absolute drift
संपूर्ण EMU (विद्युत चुंबकीय एकक),Absolute e.m.u.
संपूर्ण ESU (स्थिर एकक),Absolute e.s.u.
परिपूर्ण कार्यक्षमता,Absolute efficiency
परिपूर्ण इलेक्ट्रोमीटर,Absolute electrometer
परिपूर्ण वारंवारता परिपूर्ण वारंवारता,Absolute frequency
परिपूर्ण आर्द्रता,Absolute humidity
परिपूर्ण घटना,Absolute incidence
परिपूर्ण अपवर्तक निर्देशांक,Absolute index of refraction
पूर्ण अस्थिरता,Absolute instability
पूर्ण अस्थिरता,Absolute intensity
"परिपूर्ण तीव्रता, परिपूर्ण तीव्रता",Absolute length
अस्थेनियाची परिपूर्ण मर्यादा,Absolute limit of hysteresis
परिपूर्ण प्रदीपन खिडकीच्या चौकटीचा खालचा आडवा,Absolute luminance threshold
परिपूर्ण प्रकाश वक्र,Absolute luminosity curve
परिपूर्ण परिमाण,Absolute magnitude
परिपूर्ण बॅरोमीटर,Absolute manometer
सर्वोच्च सर्वोच्च,Absolute maximum
पूर्ण टोक,Absolute maximum rating
परिपूर्ण सर्वात कमी,Absolute minimum
परिपूर्ण गती,Absolute momentum
परिपूर्ण गती,Absolute motion
परिपूर्ण संगीत,Absolute music=pure music
परिपूर्ण निरीक्षण,Absolute observation
परिपूर्ण ओम,Absolute ohm
परिपूर्ण अभिमुखता,Absolute orientation
परिपूर्ण विद्युत ऋणात्मकता,Absolute permittivity
परिपूर्ण गुरुत्व,Absolute pitch
परिपूर्ण दबाव,Absolute pressure = true pressure
परिपूर्ण मालमत्ता,Absolute property
परिपूर्ण स्केलर,Absolute scalar
तापमानाचे अंतिम प्रमाण*,Absolute scale of temperature
"परिपूर्ण समक्रमण, परिपूर्ण समक्रमण",Absolute simultancity
पूर्ण ताण,Absolute stress
परिपूर्ण सममिती,Absolute symmetry
परिपूर्ण गती शरीर,Absolute system of motion
परिपूर्ण एकक प्रणाली,Absolute system of units
परिपूर्ण तापमान,Absolute temperature
परिपूर्ण वेळ,Absolute time
निरपेक्ष एकके,Absolute unit
परिपूर्ण मूल्य,Absolute value
पूर्णांक कॅल्क्युलेटर,Absolute value computer
परिपूर्ण वेग,Absolute velocity
परिपूर्ण चिकटपणा,Absolute viscosity
परिपूर्ण वजन,Absolute weight
पूर्ण शून्य*,Absolute zero
शून्याचा पूर्ण विभाजक,Absolute zero devisor
शोषून घेणे,Absorb
शोषक निर्देशांक*,Absorbance
शोषलेली ऊर्जा,Absorbed energy
"शोषक, शोषक",Absorber
शोषक माध्यम*,Absorbing medium
शोषण क्षमता,Absorbing power
शोषण,Absorptance
शोषणमापक*,Absorptiometer
शोषणमापन*,Absorptiometry
शोषण,Absorption
शोषण - बँड*,Absorption band
शोषण सर्किट,Absorption circuit
शोषण गुणांक,Absorption coeffieient
शोषण स्तंभ,Absorption column
अवशोषण स्थिर,Absorption constant
शोषण सातत्य,Absorption continua
शोषण क्षेत्र,Absorption cross section
शोषण प्रवाह,Absorption current
शोषण वक्र*,Absorption curve (=transmission curve)
शोषण फ्रॅक्चर,Absorption discontinuity
शोषण कोर,Absorption edge
शोषण घटक,Absorption factor
शोषण फिल्टर,Absorption filter
शोषण फ्लेम फोटोमेट्री*,Absorption flame photometry
शोषण हायग्रोमीटर,Absorption hygrometer
शोषण घातांक,Absorption index
शोषण सीमांत,Absorption limit
शोषण रेखा,Absorption line
शोषण नुकसान,Absorption loss
शोषण मॉड्यूलेशन,Absorption modulation=loss modulation
प्रकाश शोषण,Absorption of light
रेडिएशन उर्जेचे शोषण,Absorption of radiant energy
शोषण शिखर,Absorption peak
शोषण फोटोमेट्री,Absorption photometry
शोषण प्रमाण,Absorption ratio
शोषण श्रेणी*,Absorption series
शोषण स्पेक्ट्रम फोटोमेट्री*,Absorption spectro photometry
शोषण स्पेक्ट्रम*,Absorption spectrum
"शोषक नळी, शोषक नळी",Absorption tube
शोषण हायग्रोमीटर,Absorption vavemeter
शोषक*,Absorptive
शोषक बाष्पीभवक,Absorptive attenuator
शोषण कायदा*,Absorptive law
