Malayalam,Marathi
ശീതീകരണം,Uptement
ചുരുക്കല്,संक्षेप
പിടിച്ചുകൊണ്ടുപോകല്,अपहरण
Aveyne,अबाधित
കഴിവ്,क्षमता
Ab initio,अब इनिशिओ
കഴിവുള്ള,सक्षम
വിലക്ഷണമായ,असामान्य
നിർത്തലാക്കൽ,निर्मूलन
നിർത്തലാക്കൽ പോസ്റ്റ്,रद्दबातल पोस्ट
മുകളിൽ സൂചിപ്പിച്ച,वर दिल्याप्रमाणे
മുകളിൽ ഉദ്ധരിച്ചത്,वर उद्धृत
മുകളിൽ പറഞ്ഞത്,वरील म्हणाले
അസാന്നിദ്ധം,अनुपस्थिती
ഹാജരാകാത്ത,अनुपस्थित
ഹാജരാകാത്തീയത,अनुपस्थिति
ഹാജരാകാതിരിക്കുക,अनुपस्थित विधान
കേശവം,परिपूर्ण
കേവല കുത്തക,परिपूर्ण मक्तेदारी
കേവല ഉടമസ്ഥാവകാശം,परिपूर्ण मालकी
ആഗിരണം,शोषण
വേര്പെട്ടുനില്ക്കുന്ന,गोषवारा
അനുഗമിക്കുന്നു,अमूर्त स्टेटमेंट
അസംബന്ധം,बेशुद्ध
സമൃദ്ധി,विपुलता
അധികാര ദുരുപയോഗം,शक्तीचा गैरवापर
അധിക്ഷേപകരമായ ഭാഷ,अपमानास्पद भाषा
പണ്ഡിതോചിതമായ,शैक्षणिक
അക്കാദമിക് ചർച്ച,शैक्षणिक चर्चा
അക്കാദമിക് അവധി,शैक्षणिक रजा
വിദ്യാഭ്യാസ യോഗ്യത,शैक्षणिक पात्रता
അക്കാദമിക് റെക്കോർഡ്,शैक्षणिक नोंद
നിര്വഹിക്കുക,प्रवेश
അംഗീകരിക്കുക,स्वीकारा
കൈക്കൊള്ളല്,स्वीकृती
ഓഫീസിന്റെ സ്വീകാര്യത,कार्यालय स्वीकारणे
ടെണ്ടർ സ്വീകാര്യത,निविदा स्वीकारणे
പ്രവേശനം,प्रवेश
അപേക്ഷ,प्रवेश
ഉപസാധനം,Ory क्सेसरी
ആകസ്മികത,अपघात
ACCLIMATIES,सहनशीलता
സ്ഥലസൗകരം,निवास
അനുഗമിച്ചു,सोबत
അക്കോര്,करार
അഭാവം,अनुयायी
അക്കാരണത്താല്,त्यानुसार
കണക്ക്,खाते
ഉത്തരവാദിത്തം,उत्तरदायित्व
ഉത്തരവാദിയായ,जबाबदार
അക്കൗണ്ടൻസി,अकाउंटन्सी
കണക്കെഴുത്തുകാരി,अकाउंटंट
അക്കൗണ്ട്,साठी खाते
അക്കൗണ്ട് തല,खाते डोके
വർദ്ധിച്ച ആനുകൂല്യം,जमा लाभ
വർദ്ധിച്ച പെൻഷൻ,जमा पेन्शन
കൂന്വാരം,संचय
കൃതത,अचूकता
സൂക്ഷ്മമായ,अचूक
ബോധിപ്പിക്കുന്ന,आरोप
കുറ്റക്കാരന്,आरोपी
നേട്ടം,यश
അംഗീകാരം,पोचपावती
അംഗീകാരത്തിന്റെ,पावती देय
പരിചയം,ओळखी
കൈവശപ്പെടുത്തൽ,संपादन
കുറ്റപാട്വിൽപ്പന,शोध
പവര്ത്തിക്കുക,कायदा
അഭിനയ അലവൻസ്,अभिनय भत्ता
പവര്ത്തി,क्रिया
പ്രവർത്തന പദ്ധതി,कृती योजना
സജീവമായ,सक्रिय
സജീവമായി,सक्रियपणे
ചുറുചുറുക്കുള്ളവള്,कार्यकर्ता
ദൈവിക പ്രവൃത്തി,देवाची करणी
ദുരാചാരത്തിന്റെ പ്രവർത്തനം,गैरवर्तन कायदा
കമ്മീഷന്റെയും ഒഴിവാക്കലിന്റെയും നിയമം,कमिशनचे कार्य आणि वगळणे
യഥാര്ത്ഥത്തിലുള്ള,वास्तविक
വാസ്തവങ്ങൾ,वास्तविक
പൊരുത്തപ്പെടുത്തൽ,रुपांतर
കൂട്ടല്,या व्यतिरिक्त
അധിക നിരക്ക്,अतिरिक्त शुल्क
അധിക ഫണ്ട്,अतिरिक्त निधी
അധിക ഗ്രാന്റ്,अतिरिक्त अनुदान
അധിക വിവരം,अतिरिक्त माहिती
അധിക വേതനം,अतिरिक्त वेतन
കൂട്ടിച്ചേർക്കലും മാറ്റവും,जोड आणि बदल
അഭിസംബോധന ചെയ്യുക,पत्ता
വിലാസശാല,पत्ता
സ്വാഗത വിലാസം,स्वागताचा पत्ता
പരാപ്തമായ,पुरेसे
ഇത് പാലിക്കുക,चे पालन करा
ആഡ് ഹോക്ക്,अ‍ॅड हॉक
AD HOC ക്ലെയിം,तदर्थ दावा
താൽക്കാലിക സമിതി,तदर्थ समिती
താൽക്കാലിക വർദ്ധനവ്,तदर्थ वाढ
പരസ്യ ഹോക് പേയ്മെന്റ്,तदर्थ देयक
തൊട്ടുകിടക്കുന്ന,समीप
തൊട്ടടുത്ത് (= തുടർച്ചയായ),शेजारी (= संमिश्र)
വചലിക്കുക,तहकूब
നീരസം ചലനം,तहकूब गती
Cakudgge,सहभाग
ശിക്ഷിക്കപ്യം,न्यायाधीश
വിധിന്യായ,निर्णय
Adjudication,न्यायाधीश
കമപ്പെടുത്തല്,समायोजन
രാജംഭരിക്കുക,प्रशासकीय
സത്യപ്രതിഷേധിക്കുന്നു,शपथ प्रशासित करा
ഭരണകൂടം,प्रशासन
നീതിയുടെ ഭരണം,न्याय प्रशासन
ഭരണപരമായത്,प्रशासकीय
അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം,प्रशासकीय कारवाई
അഡ്മിനിസ്ട്രേറ്റീവ് മൂല്യനിർണ്ണയം,प्रशासकीय मूल्यांकन
അഡ്മിനിസ്ട്രേറ്റീവ് അംഗീകാരം,प्रशासकीय मान्यता
അഡ്മിനിസ്ട്രേറ്റീവ് അതോറിറ്റി,प्रशासकीय अधिकार
അഡ്മിനിസ്ട്രേറ്റീവ് നിയന്ത്രണം,प्रशासकीय नियंत्रण
അഡ്മിനിസ്ട്രേറ്റീവ് തീരുമാനം,प्रशासकीय निर्णय
അഡ്മിനിസ്ട്രേറ്റീവ് വകുപ്പ്,प्रशासकीय विभाग
