Hindi,Kannada
"1.एबेकस ,2. गिनतारा",ಅಬ್ಯಾಕಸ್
असामान्य समापन,ಅಸಹಜ ಮುಕ್ತಾಯ
अवरोधन,ಸ್ಥಗಿತಗೊಳಿಸು
"1. निरपेक्ष ,2. परम",ಸಂಪೂರ್ಣ
निरपेक्ष पता,ಸಂಪೂರ್ಣ ವಿಳಾಸ
निरपेक्ष पताभिगमन,ಸಂಪೂರ್ಣ ವಿಳಾಸ
निरपेक्ष कोडांतरक,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड",ಸಂಪೂರ್ಣ ಕೋಡ್
निरपेक्ष समादेश,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा",ಸಂಪೂರ್ಣ ಡೇಟಾ
निरपेक्ष अनुदेश,ಸಂಪೂರ್ಣ ಸೂಚನೆ
निरपेक्ष विधा,ಸಂಪೂರ್ಣ ಮೋಡ್
निरपेक्ष पथ,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन",ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
अमूर्त वर्ग,ಅಮೂರ್ತ ವರ್ಗ
अमूर्त आंकड़ा प्रकार,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
अमूर्त मशीन,ಅಮೂರ್ತ ಯಂತ್ರ
अमूर्त प्रतीक,ಅಮೂರ್ತ ಚಿಹ್ನೆ
अमूर्त वाक्य विन्यास,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
स्वीकृति परीक्षण,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
अभिगम प्रमाणन,ಪ್ರವೇಶ ದೃಢೀಕರಣ
"1. अभिगम कूट ,2. अभिगम कोड",ಪ್ರವೇಶ ಕೋಡ್
अभिगम नियंत्रण,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
अभिगम क्रमवीक्षण,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
सहयंत्र,ಪರಿಕರ
लेखा,ಖಾತೆ
"1. एकाउंट आई डी ,2. लेखा पहचान",ಖಾತೆ ID
संचायक,ಸಂಚಯಕ
"1. विशुद्धता ,2. यर्थाथता",ನಿಖರತೆ
अभिगम,ಪ್ರವೇಶ
अभिगम नियंत्रण बाइट,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್
अभिगम सूचक,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
अभिगम कुंजी,ಪ್ರವೇಶ ಕೀ
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स",ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್
अभिगम विधा,ಪ್ರವೇಶ ಮೋಡ್
अभिगम विशेषाधिकार,ಪ್ರವೇಶ ಸವಲತ್ತು
अभिगम सुरक्षा,ಪ್ರವೇಶ ಭದ್ರತೆ
"1. अभिगम परिसेवक ,2. अभिगम सर्वर",ಪ್ರವೇಶ ಸರ್ವರ್
अभिगम काल,ಪ್ರವೇಶ ಸಮಯ
अभिस्वीकृति,ಸ್ವೀಕೃತಿ
ध्वनिकी,ಅಕೌಸ್ಟಿಕ್ಸ್
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप",ಸಂಕ್ಷಿಪ್ತ ರೂಪ
क्रिया संदेश,ಕ್ರಿಯೆಯ ಸಂದೇಶ
सक्रियण,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
सक्रिय सर्वर पृष्ठ,ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP)
सक्रिय वर्जन,ಸಕ್ರಿಯ ಆವೃತ್ತಿ
अचक्रीय,ಅಸೈಕ್ಲಿಕ್
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ",ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್
एडा कंप्यूटर भाषा,ಅದಾ ಭಾಷೆ
"1. अनुकूलक ,2. अनुकूलित्र",ಅಡಾಪ್ಟರ್
योग (करना),ಸೇರಿಸಿ
योग संचिका,ಕಡತವನ್ನು ಸೇರಿಸು
"1. जोड़ संक्रिया ,2. योग संक्रिया",ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ
योजक,ಸೇರಿಸುವವನು
पता,ವಿಳಾಸ
पता बस,ವಿಳಾಸ ಬಸ್
पता संचिका,ವಿಳಾಸ ಫೈಲ್
पता आरूप,ವಿಳಾಸ ಸ್ವರೂಪ
पता जनक,ವಿಳಾಸ ಜನರೇಟರ್
पता पंक्ति,ವಿಳಾಸ ಸಾಲು
पता प्रतिचित्रण,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
पता संकेतक,ವಿಳಾಸ ಪಾಯಿಂಟರ್
पता पंजी,ವಿಳಾಸ ನೋಂದಣಿ
पता विघटन,ವಿಳಾಸ ನಿರ್ಣಯ
पता अनुवाद,ವಿಳಾಸ ಅನುವಾದ
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी",ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ
पताभिगमन,ಉದ್ದೇಶಿಸಿ
"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी",ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು
संलग्न,ಪಕ್ಕದ
"1. प्रबंधन ,2. नियंत्रण",ಆಡಳಿತ
"1. प्रबंधक ,2. नियंत्रक",ನಿರ್ವಾಹಕ
ऐडोब एक्रोबेट,ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್
ऐडोब फोटोशोप,ಅಡೋಬ್ ಫೋಟೋಶಾಪ್
ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन),ಅಡ್ವಾನ್ಸ್ ಬಿಸಿನೆಸ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ (ABAP)
"1. उन्नत आंकड़ा ,2. उन्नत डाटा",ಸುಧಾರಿತ ಡೇಟಾ
उन्नत सूचना तंत्र,ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ
उन्नत प्रौद्योगिकी (ए टी),ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT)
कर्मक,ಏಜೆಂಟ್
समुच्चयन,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
विमानवाहित कंप्यूटर तंत्र,ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ
एल्डस पेज-मेक,ಅಲ್ಡಸ್ ಪೇಜ್ ಮೇಕರ್
सचेत पेटी,ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ
ऐल्गॉल (कंप्यूटर भाषा),ಆಲ್ಗೋಲ್
"1.  एल्गोरिथ्म ,2. कलन विधि",ಅಲ್ಗಾರಿದಮ್
