Assamese,Odiya
ৱেষ্টমিনিষ্টাৰৰ এবে,ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |
এবডিটৰী,ଅବକ୍ଷୟ
দাসত্ব বিলুপ্ত কৰা,ଦାସତ୍ୱ ରଦ୍ଦ
আদিবাসী,ଆଦିବାସୀ
আব্ৰাহাম যুগ,ଅବ୍ରହାମ ଏରା
অনুপস্থিত ঘৰৰ মালিক,ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |
একাডেমী,ଏକାଡେମୀ |
আক্ৰা সন্মিলন,ଆକ୍ରା ସମ୍ମିଳନୀ |
এক্ৰুৱেল,ଆକ୍ରୁଏଲ୍ |
সংস্কৃতিকৰণ,ଆକଲଚ୍ୟୁଚର୍
এচেলডামা,ଆକେଲଡାମା |
আখিয়ান (=আচিয়ান),ଆଖିଆନ୍ (= ଆଚିଆନ୍)
আচায়ান লীগ (=আচিয়ান লীগ),ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍)
এক্ৰ&#39;পলিছ,ଆକ୍ରୋପଲିସ୍ |
এক্টা ডিউৰ্না,ଆକ୍ଟା ଡିଆର୍ନା |
এক্টা চেনেটাছ,ଆକ୍ଟା ସେନାଟସ୍ |
এক্টে এডিচনেল,ଆକ୍ଟ ଆଡେଲ୍ |
সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড),ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ)
প্ৰাপ্তিৰ কাৰ্য্য,ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |
ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন,କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |
বন্দোবস্তৰ আইন,ସମାଧାନ ନିୟମ
এড কন্ট্ৰেক্টাছ ছীল,ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |
এডুলামাইটছ,ଆଡୁଲାମାଇଟ୍ସ |
বিৰোধী,ଶତ୍ରୁ
বিৰোধী,ଶତ୍ରୁ
ইয়ন,ଆଓନ୍
এৰেৰিয়াম,ଏରାରିୟମ୍ |
আকাশী যুদ্ধ,ବାୟୁ ଯୁଦ୍ଧ |
এটলিয়ান লীগ,ଆଟୋଲିଆନ୍ ଲିଗ୍ |
বয়স,ବୟସ
বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা),ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ)
বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া,ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |
আগেলাই,ଆଗେଲାଇ |
অশ্বাৰোহীৰ যুগ,Ival ିଭାଲିର ବୟସ |
এজ অৱ ইংলাইটমেণ্ট,ଜ୍ଞାନର ବୟସ |
পেৰিক্লিছৰ বয়স,ପେରିକଲ୍ସର ବୟସ |
যুক্তিৰ বয়স,କାରଣର ବୟସ |
কৃষিবাদ,କୃଷିବାଦ
কৃষি আন্দোলন,କୃଷି ଆନ୍ଦୋଳନ |
এলবিয়ন,ଆଲବିଅନ୍ |
এলবাম,ଆଲବମ୍
এলডাৰমেন,ଆଲଡରମ୍ୟାନ୍ |
আলোকসজ্জা বাহু,ଭ୍ରାନ୍ତ ବାହୁ |
এমিটি,ବନ୍ଧୁତା
এম্ফিক্টয়নিক কাউন্সিল,ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |
এম্ফিক্টয়নিক লীগ,ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |
এম্ফিথিয়েটাৰ,ଆମ୍ଫିଥେଟର
অমৰি নল গোট (মৃৎশিল্পৰ),ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର)
এনাক্ৰ’নিজম,ଆନାକ୍ରୋନିଜିମ୍ |
এনাক্ৰ’নিষ্টিক,ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |
পূৰ্বপুৰুষ,ପୂର୍ବପୁରୁଷ
পূৰ্বপুৰুষ পূজা,ପୂର୍ବପୁରୁଷ ପୂଜା |
বংশ,ପିତୃପୁରୁଷ
বংশ,ପିତୃପୁରୁଷ
বংশ,ପିତୃପୁରୁଷ
বংশ,ପିତୃପୁରୁଷ
Ancien শাসন ব্যৱস্থা,ପ୍ରାଚୀନ ଶାସନ
পৌৰাণিক,ପ୍ରାଚୀନ
