Tamil,Telugu
வெஸ்ட்மின்ஸ்டர் அபே,అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్
துறவு,పదవీ విరమణ
அடிமைத்தனத்தை ஒழித்தல்,బానిసత్వ నిర్మూలన
பழங்குடியினர்,ఆదివాసి
ஆபிரகாம் சகாப்தம்,అబ్రహం యుగం
இல்லாத நில உரிமையாளர்கள்,గైర్హాజరు భూస్వాములు
கலைக்கூடம்,అకాడమీ
அக்ரா மாநாடு,అక్ర సమావేశం
திரட்டல்கள்,సంపాదన
வளர்ப்பு,సంస్కారము
அசெல்டாமா,అసెల్డామా
அச்சேயன் (=ஆச்சியன்),అచెయన్ (=అచియన్)
அச்சேயன் லீக் (=ஆச்சியன் லீக்),అచీయన్ లీగ్ (=అచియన్ లీగ్)
அக்ரோபோலிஸ்,అక్రోపోలిస్
ஆக்டா டைர்னா,ఆక్టా డియుర్నా
ஆக்டா செனடஸ்,ఆక్టా సెనాటస్
Acte Additionel,యాక్టే అడిషనల్
செயலில் உள்ள பதிவு (=தற்போதைய பதிவு),యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు)
அடையும் செயல்,సాధించేవారి చర్య
இழப்பீடு மற்றும் மறதியின் செயல்,నష్టపరిహారం మరియు ఉపేక్ష చట్టం
தீர்வு சட்டம்,సెటిల్మెంట్ చట్టం
விளம்பர ஒப்பந்த முத்திரை,ప్రకటన ఒప్పంద ముద్ర
அதுலமைட்டுகள்,అడుల్లామైట్స్
எதிரி,విరోధి
எதிரி,విరోధి
ஏயோன்,అయాన్
ஏரேரியம்,ఏరోరియం
வான்வழிப் போர்,వైమానిక యుద్ధం
ஏட்டோலியன் லீக்,ఏటోలియన్ లీగ్
வயது,వయస్సు
முதுமை (=வயதான),వృద్ధాప్యం (=వృద్ధాప్యం)
வயதான செயல்முறை,వృద్ధాప్య ప్రక్రియ
அகெலாய்,అగెలై
வீரத்தின் வயது,శౌర్య యుగం
அறிவாற்றல் வயது,జ్ఞానోదయం వయస్సు
பெரிக்கிள்ஸ் வயது,పెరికిల్స్ వయస్సు
பகுத்தறிவு வயது,కారణం వయస్సు
விவசாயம்,వ్యవసాయం
விவசாய இயக்கம்,వ్యవసాయ ఉద్యమం
அல்பியன்,అల్బియాన్
ஆல்பம்,ఆల్బమ్
ஆல்டர்மேன்,ఆల్డర్మాన్
கவர்ச்சியான ஆயுதங்கள்,అల్లుడు చేతులు
அமிட்டி,సఖ్యత
ஆம்ஃபிக்டியோனிக் கவுன்சில்,యాంఫిక్యోనిక్ కౌన్సిల్
ஆம்ஃபிக்டியோனிக் லீக்,యాంఫిక్యోనిక్ లీగ్
ஆம்பிதியேட்டர்,యాంఫీ థియేటర్
அம்ரி நல் குழு (மட்பாண்டங்கள்),అమ్రి నల్ గ్రూప్ (కుండల)
அனாக்ரோனிசம்,అనాక్రోనిజం
காலமற்ற,అనాక్రోనిస్టిక్
மூதாதையர்,పూర్వీకుడు
முன்னோர் வழிபாடு,పూర్వీకుల ఆరాధన
பரம்பரை,పూర్వీకులు
பரம்பரை,పూర్వీకులు
பரம்பரை,పూర్వీకులు
பரம்பரை,పూర్వీకులు
பண்டைய ஆட்சி,ప్రాచీన పాలన
பண்டைய,ప్రాచీన
பழங்கால பாலாட்,పురాతన బల్లాడ్
பண்டைய நம்பிக்கை,పురాతన నమ్మకం
பண்டைய வழக்கம்,ప్రాచీన ఆచారం
பண்டைய வரலாறு,పురాతన చరిత్ర
பழங்கால நினைவுச்சின்னங்கள்,పురాతన స్మారక చిహ్నాలు
சிறுகதை,ఉదంతము
ஏஞ்சலோட்,ఏంజెలోట్
ஏஞ்சலஸ்,ఏంజెలస్
ஆஞ்செவின் (=அஞ்செவின்),అంజివిన్ (=అంజెవిన్)
கோணங்கள்,కోణాలు
ஆங்கிலிகன்,ఆంగ్లికన్
ஆங்கிலிகன் ஒற்றுமை,ఆంగ్లికన్ కమ్యూనియన్
ஆங்கிலிக்கனிசம்,ఆంగ్లికనిజం
ஆங்கிலோ-போப்,ఆంగ్లో-ఫోబ్
ஆங்கிலோ-ஃபோபியா,ఆంగ్లో-ఫోబియా
ஆங்கிலோ-சாக்சன்,ఆంగ్లో-సాక్సన్
ஆங்கிலோ-சாக்சோனிசம்,ఆంగ్లో-సాక్సోనిజం
அன்னாலிஸ்ட்,అన్నలిస్ట్
அன்னல்,అన్నల్స్
இணைப்பு,అనుబంధం
ஆன்டி-பெல்லம்,యాంటీ-బెల్లం
முன் தேதி,ముందు తేదీ
மதகுருத்துவத்திற்கு எதிரானது,మత వ్యతిరేకత
மதகுருவுக்கு எதிரான சட்டம்,మతాధికారుల వ్యతిరేక చట్టం
பழமை,ప్రాచీనకాలం
எதிர்ப்பு வாடகை,వ్యతిరేక అద్దె
எதிர்ப்பு வாடகை,వ్యతిరేక అద్దె
யூத எதிர்ப்பு,సెమిటిజం వ్యతిరేకత
அன்சாக்,అంజాక్
அப்பெல்லா,అపెల్లా
அரலு,అరలు
பேராயர்,ఆర్చ్ బిషప్
ஆர்ச் டச்சி,ఆర్చ్ డచీ
ஆர்ச் டியூக்,ఆర్చ్ డ్యూక్
காப்பகம் (=காப்பக சேகரிப்பு),ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ)
ஆர்க்கிபிஸ்கோபேட்,ఆర్కిపిస్కోపేట్
பிரபுத்துவம்,దొర
பிரபு,దొర
பிரபுத்துவ ஸ்னோபரி,కులీన స్నోబరీ
அரிஸ்டாட்டிலியன்,అరిస్టాటిలియన్
அர்மடா,ఆర్మడ
அர்மடா (=ஸ்பானிய அர்மடா),ఆర్మడ (=ది స్పానిష్ ఆర్మడ)
கவசக்காரர் (=கவசக்காரர்),ఆయుధాగాడు (=ఆయుధాకారుడు)
கவசம் (=கவசம்),కవచం (=కవచం)
ஆயுதக்கடைக்காரர்,ఆయుధాగాడు
ஆர்யன்,ఆర్యన్
ஆர்யன்,ఆర్యన్
அஸ்காரி,అస్కారి
ஒதுக்கு,కేటాయించండి
உதவு,అసైజ్ చేయండి
உதவு,అసైజ్ చేయండి
