Odiya,Tamil
ଅସ୍ୱାଭାବିକ |,அசாதாரணமானது
ପରିତ୍ୟାଗ,கருக்கலைப்பு
ଅଳିଆ ଆବେଗ,சிராய்ப்பு
ଆକସ୍ମିକ,திடீரென்று
ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |,முழுமையான புல வலிமை
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,முழுமையான வெப்பநிலை
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,துல்லியமான மதிப்பு
ଶୋଷଣ,உறிஞ்சும்
ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |,உறிஞ்சுதல் சக செயல்திறன்
ଶୋଷଣୀୟ କ୍ଷତି |,உறிஞ்சுதல் இழப்பு
ବିସ୍ତୃତ,சுருக்கம்
ଆକ୍ସଲେରୋମିଟର |,முடுக்கமானி
ଗ୍ରହଣ ପରୀକ୍ଷା,ஏற்பு சோதனை
ପ୍ରବେଶ,அணுகல்
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,நுழைவு கட்டுப்பாடு
ପ୍ରବେଶ ବିନ୍ଦୁ,அணுகல் புள்ளி
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,அணுகல் நேரம்
ଅଭିଗମ୍ୟତା |,அணுகல்
ଆକ୍ୟୁଲେଟର କକ୍ଷ |,குவிப்பான் செல்
ସଠିକତା,துல்லியம்
ସଠିକ୍,துல்லியமானது
ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |,முடிச்சு லென்ஸ்
ଏସିଡ୍ |,அமிலம்
ଏସିଡ୍ ପ୍ରମାଣ |,அமில ஆதாரம்
ଅମ୍ଳତା,அமிலத்தன்மை
ସ୍ୱୀକୃତି ବିଟ୍,ஒப்புதல் பிட்
ଆକାଶବାଣୀ |,ஒலி
ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |,ஒலி தொடர்பு
ଆକାଶବାଣୀ ବିସ୍ତାର,ஒலி பரவல்
ଆକାଶବାଣୀ ସମାନତା |,ஒலி சமநிலைப்படுத்தி
ଆକାଶବାଣୀ ମତାମତ |,ஒலி கருத்து
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,ஒலி வடிகட்டி
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,ஒலி மின்மறுப்பு
ଆକାଶବାଣୀ ମାସ୍କିଂ |,ஒலி முகமூடி
ଆକାଶବାଣୀ ଶକ୍ତି |,ஒலி சக்தி
ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |,சட்டவிரோத சொத்து
ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |,ஒலி எதிர்வினை
ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |,ஒலி ரிஃப்ளெக்ஸ்
ଆକାଶବାଣୀ ଟାଇଲ୍ |,ஒலி ஓடு
ଆକାଶବାଣୀ ତରଙ୍ଗ |,ஒலி அலை
ଆକାଶବାଣୀ ଅବଶୋଷଣ |,ஒலியியல் உறிஞ்சுதல்
ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |,ஒலியியல் விழிப்புணர்வு மாறிலி
ଆକାଶବାଣୀ ଡମ୍ପିଂ |,ஒலியியல் ஈரமாக்குதல்
ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |,ஒலியியல் தாமத வரி
ଆକାଶବାଣୀ ବିକୃତି |,ஒலியியல் விலகல்
ଆକାଶବାଣୀ ନଳୀ |,ஒலியியல் குழாய்
ଆକାଶବାଣୀ ଶକ୍ତି |,ஒலியியல் ஆற்றல்
ଆକାଶବାଣୀ ମତାମତ |,ஒலியியல் கருத்து
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,ஒலியியல் வடிகட்டி
ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |,ஒலியியல் மின்மறுப்பு
ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |,ஒலியியல் பரப்புதல் மாறிலி
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,ஒலியியல் எதிர்ப்பு
ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |,ஒலியியல் ரீதியாக காப்பிடப்பட்டது
ଆକାଶବାଣୀ |,ஒலியியல்
ଅଧିଗ୍ରହଣ,கையகப்படுத்தல்
ଆକ୍ରୋନିମ୍ |,சுருக்கம்
କ୍ରିୟା କ୍ଷେତ୍ର,செயல் பகுதி
ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |,செயல்படுத்தப்பட்ட இழை
ସକ୍ରିୟ,செயலில்
ସକ୍ରିୟ କ୍ଷେତ୍ର,செயலில் உள்ள பகுதி
ସକ୍ରିୟ ୱିଣ୍ଡୋ |,செயலில் சாளரம்
ଅନୁକେତ,தகவமைப்பு
ଆଡାପ୍ଟର (ଆଡାପ୍ଟର),அடாப்டர் (அடாப்டர்)
ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |,தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்
ଠିକଣା ବହି,முகவரி புத்தகம்
ଠିକଣା ବସ୍,முகவரி பஸ்
ଠିକଣା ରେଜୋଲୁସନ,முகவரி தீர்மானம்
ସଂଲଗ୍ନ ଚ୍ୟାନେଲର ହସ୍ତକ୍ଷେପ |,அருகிலுள்ள சேனல் குறுக்கீடு
ସଂଲଗ୍ନ ଚ୍ୟାନେଲ ଚୟନ,அருகிலுள்ள சேனல் தேர்வு
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି |,அருகிலுள்ள அதிர்வெண்
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |,அருகிலுள்ள அதிர்வெண் சேனல்
ସଂଲଗ୍ନ ଚିତ୍ର ବାହକ |,அருகிலுள்ள படம் கேரியர்
ସଂଲଗ୍ନ ସାଉଣ୍ଡ ବାହକ |,அருகிலுள்ள ஒலி கேரியர்
ସଂଲଗ୍ନ ଷ୍ଟେସନ |,அருகிலுள்ள நிலையம்
ନିୟନ୍ତ୍ରିତ,சரிசெய்யக்கூடியது
ନିୟନ୍ତ୍ରିତ କଣ୍ଡେନ୍ସର୍ |,சரிசெய்யக்கூடிய மின்தேக்கி
ଚାପକୁ ସଜାଡିବା |,அழுத்தம் சரிசெய்தல்
ରେଞ୍ଚ ଆଡଜଷ୍ଟ କରିବା |,குறடு சரிசெய்தல்
ଆଡଜଷ୍ଟମେଣ୍ଟ୍,சரிசெய்தல்
ପ୍ରଶାସକ,நிர்வாகி
ଉନ୍ନତ ଟେକ୍ନୋଲୋଜି |,மேம்பட்ட தொழில்நுட்பம்
ବାୟୁ,வான்வழி
ଏରିଲ୍ ଆରେ |,வான்வழி வரிசை
ଏରିଲ୍ ବୁଷ୍ଟର୍ |,வான்வழி பூஸ்டர்
ଏରିଲ୍ କରେଣ୍ଟ୍ |,வான்வழி மின்னோட்டம்
ଏରିଲ୍ ମାଟିଙ୍ଗ୍ ସୁଇଚ୍ |,வான்வழி பூமி சுவிட்ச்
ଏରିଲ୍ ଦକ୍ଷତା |,வான்வழி செயல்திறன்
ଏରିଲ୍ ଇନପେଟେନ୍ସ |,வான்வழி மின்மறுப்பு
ଏରିଲ୍ ଇଣ୍ଡିକାନ୍ସ |,வான்வழி தூண்டல்
ଏରିଆଲ୍ ଇନସୁଲେଟର |,வான்வழி இன்சுலேட்டர்
ଏରିଆଲ୍ ଲୋଡିଂ କୋଇଲ୍ |,வான்வழி ஏற்றுதல் சுருள்
ଏରିଲ୍ ଫଟୋଗ୍ରାଫି |,வான்வழி புகைப்படம்
ଏରିଲ୍ ଶକ୍ତି |,வான்வழி சக்தி
ଏରିଆଲ୍ ବିକିରଣର ଲାଭ |,வான்வழி கதிர்வீச்சு
ଏରିୟାଲ୍ ପ୍ରତିକ୍ରିୟା |,வான்வழி எதிர்வினை
ଏରୋଡାଇନାମିକ୍ସ,ஏரோடைனமிக்ஸ்
ସଂସ୍ଥା,ஏஜென்சி
ବାୟୁ କମ୍ପ୍ରେସାକ୍ର,காற்று அழுத்தி
ବାୟୁ କଣ୍ଡନସର୍ |,ஏர் மின்தேக்கி
ବାୟୁ ଥଣ୍ଡା,குளிா்ந்த காற்று
ବାୟୁ କୋଡ୍ କୋଇଲ୍ |,காற்று கோர்ட் சுருள்
Accometication,ஏர் கண்டிஷனிங்
ଆଲବେଡୋ |,ஆல்பெடோ
ଆଲଗୋରିଦମ,வழிமுறை
ଛଦ୍ମନାମ,மாற்றுப்பெயர்ச்சி
ମିଶ୍ରଣ,சீரமைத்தல்
ପରିଚାଳିତ,சீரமைப்பு
ସମସ୍ତ ତରଙ୍ଗ ବାୟୁ |,அனைத்து அலை வான்வழி
ଆବଣ୍ଟନ,ஒதுக்கீடு
ବର୍ଣ୍ଣାନୁକ୍ରମିକ,அகரவரிசை
ବର୍ଣ୍ଣମାଳା,எண்ணெழுத்து
ବର୍ଣ୍ଣମାଳା ଚରିତ୍ର |,எண்ணெழுத்து எழுத்து
ବର୍ଣ୍ଣମାଳା ସୂଚନା,எண்ணெழுத்து தகவல்
ବିକଳ୍ପ ସାମ୍ପ୍ରତିକ (AC.),மாற்று மின்னோட்டம் (ஏ.சி.)
ବିକଳ୍ପ,மாற்று
Atternator,மின்மாற்றி
ଉଚ୍ଚତା,உயரம்
