Marathi,Malayalam
अबेलियन गट,അബെലിയൻ ഗ്രൂപ്പ്
अबेलियन अर्धसमूह,അബെലിയൻ സെമിഗ്രൂപ്പ്
abscissa,abscissa
निरपेक्ष,കേവല
परिपूर्ण अभिसरण,കേവലമായ ഒത്തുചേരൽ
पूर्ण त्रुटी,സമ്പൂർണ്ണ പിശക്
परिपूर्ण कमाल,കേവല പരമാവധി
परिपूर्ण किमान,സമ്പൂർണ്ണ മിനിമം
परिपूर्ण मूल्य,യഥാർത്ഥ മൂല്യം
परिपूर्ण वेग,കേവല വേഗത
अमूर्त बीजगणित,അമൂർത്ത ബീജഗണിതം
अमूर्त गट सिद्धांत,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
प्रवेग,ത്വരണം
गुरुत्वाकर्षणामुळे प्रवेग,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
स्वीकार्य निवड संच,സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്
स्वीकार्य गुणवत्ता पातळी,സ്വീകാര്യമായ നിലവാരം
स्वीकार्य श्रेणी,സ്വീകാര്യമായ ശ്രേണി
स्वीकार्य विश्वसनीयता पातळी,സ്വീകാര്യമായ വിശ്വാസ്യത നില
स्वीकार्य नमुना,സ്വീകാര്യമായ സാമ്പിൾ
संचित त्रुटी,സഞ്ചിത പിശക്
अचूकता,കൃത്യത
अभिनय शक्ती,പ്രവർത്തന ശക്തി
क्रिया,നടപടി
क्रिया आणि प्रतिक्रिया,പ്രവർത്തനവും പ്രതികരണവും
वास्तविक विज्ञान,യഥാർത്ഥ ശാസ്ത്രം
तीव्र कोन त्रिकोण,നിശിത കോണുള്ള ത്രികോണം
अॅसायक्लिक,അസൈക്ലിക്
जोडा,ചേർക്കുക
जोडणारा,ചേർക്കുന്നയാൾ
या व्यतिरिक्त,കൂട്ടിച്ചേർക്കൽ
जोड सूत्र,കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം
जटिल संख्यांची बेरीज,സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ
कार्ये जोडणे,പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
मॅट्रिक्स जोडणे,മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ
बहुपदी जोडणे,ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
संभाव्यता जोडणे,സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ
वेक्टर जोडणे,വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ
अतिरिक्त प्रमेय,കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം
मिश्रित गट,സങ്കലന ഗ്രൂപ്പ്
additive inverse,വിപരീത വിപരീതം
अतिरिक्त गुणधर्म,അഡിറ്റീവ് പ്രോപ്പർട്ടി
जोड,അഡിറ്റിവിറ്റി
संलग्नता मॅट्रिक्स,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
समीप,തൊട്ടടുത്തുള്ള
समीप कोन,അടുത്തുള്ള കോണുകൾ
समीप शिरोबिंदू,തൊട്ടടുത്തുള്ള ശീർഷകം
संलग्न,ചേരുക
शेजारील,തൊട്ടടുത്തുള്ള
संलग्न निर्धारक,അനുബന്ധ ഡിറ്റർമിനന്റ്
संलग्न विभेदक समीकरण,അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം
संलग्न समीकरण,അനുബന്ധ സമവാക്യം
संलग्न मॅट्रिक्स,അനുബന്ധ മാട്രിക്സ്
मॅट्रिक्सचा संलग्न,മാട്രിക്സിന്റെ അനുബന്ധം
मॅट्रिक्स समायोजित करा,അഡ്ജുഗേറ്റ് മാട്രിക്സ്
स्वीकार्य निर्णय कार्य,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
स्वीकार्य गृहीतक,അനുവദനീയമായ അനുമാനം
वायुगतिकीय शक्ती,എയറോഡൈനാമിക് ശക്തി
वायुगतिकी,എയറോഡൈനാമിക്സ്
affine भूमिती,അഫൈൻ ജ്യാമിതി
affine मॅपिंग,അഫൈൻ മാപ്പിംഗ്
affine परिवर्तन,അഫൈൻ പരിവർത്തനം
एकत्रित व्हेरिएबल्स,അഗ്രഗേറ്റിംഗ് വേരിയബിളുകൾ
बीजगणित,ബീജഗണിതം
बीजगणितानुसार बंद,ബീജഗണിതപരമായി അടച്ചിരിക്കുന്നു
बीजगणितीय समीकरण,ബീജഗണിത സമവാക്യം
बीजगणितीय अभिव्यक्ती,ബീജഗണിത പദപ്രയോഗം
बीजगणितीय फॉर्म,ബീജഗണിത രൂപം
बीजगणितीय कार्य,ബീജഗണിത പ്രവർത്തനം
बीजगणितीय भूमिती,ബീജഗണിത ജ്യാമിതി
बीजगणितीय गुणाकार,ബീജഗണിത ഗുണിതം
बीजगणित प्रणाली,ബീജഗണിത വ്യവസ്ഥ
सर्व-पूर्णांक समस्या,എല്ലാ പൂർണ്ണസംഖ്യാ പ്രശ്നം
वाटप समस्या,വിഹിതം പ്രശ്നം
वर्णक्रमानुसार नोटेशन,അക്ഷരമാലാ ക്രമം
वर्णमाला वर्ण,അക്ഷരമാലാക്രമം
पर्यायी कोन,ഇതര കോൺ
