Kannada,Malayalam
ಆಂಪಿಯರ್ (ಘಟಕ),ആമ്പിയർ (യൂണിറ്റ്)
ಆಂಗ್ಸ್ಟ್ರಮ್,ആംഗ്സ്ട്രം
ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್,എ-ക്ലാസ് ആംപ്ലിഫയർ
ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್,എഎൻ റേഡിയോ സഹായ്
ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ,a-സ്കാനിംഗ് അവതരണം
a-ದರ್ಶ್,ഒരു-ദർശ്
ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ,എ-സ്കോപ്പ് പ്രകടനം
A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್,എ-ടി വളഞ്ഞ ക്രിസ്റ്റൽ
"ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ","എസി-ഡിസി ആനുകൂല്യങ്ങൾ, എ. സി.ഡി. സി.ലാബി, എ. സി.ഡി. c. ആംപ്ലിഫിക്കേഷൻ"
ಬೆಳಗ್ಗೆ,രാവിലെ
AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ),എഎംയു (ആറ്റോമിക് മാസ് യൂണിറ്റ്)
aard-vark*,aard-vark*
ಅಬ್-ಆಂಪಿಯರ್,എബി-ആമ്പിയർ
A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್,എ-ബി ക്ലാസ് ആംപ്ലിഫയർ
ಅದಾ,അദാ
ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ,എ-ബി ശക്തി പിടക
abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್,abc = വിന്യാസ ചാർട്ട് = നോമോഗ്രാഫ്
ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ),അബെ നമ്പർ (അബെ സ്ഥിരാങ്കം)
ಅಬೆ ವಕ್ರೀಕಾರಕ,അബെ റിഫ്രാക്റ്റോമീറ്റർ
ಅಬೆ ಸೈನ್ ರಾಜ್ಯ,അബെ സൈൻ സംസ്ഥാനം
ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ,ഓട്ടോമാറ്റിക് ബയസ് നഷ്ടപരിഹാരം
abcoulom,abcoulom
"ವಿಪಥನ, ವಿಪಥನ","അപഭ്രംശം, അപഭ്രംശം"
ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ,വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്
ಆಕಾಶ ವಿಪಥನ,ആകാശ വ്യതിയാനം
abfarad,abfarad
ಎಬೆನ್ರಿ,എബൻറി
ಎಬೊನಿ ಎಫೆಕ್ಟ್,എബോണി പ്രഭാവം
ಅಸಹಜ ಧ್ರುವೀಕರಣ,അസാധാരണ ധ്രുവീകരണം
ಅಸಹಜ ಪ್ರಸರಣ,അസാധാരണമായ സംക്രമണം
ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿಬಿಂಬ,അസാധാരണമായ പ്രതിഫലനം
ಅಸಹಜ ವಕ್ರೀಭವನ*,അസാധാരണ അപവർത്തനം*
ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿರೋಧ,അസാധാരണമായ പ്രതിരോധം
ab-om,ab-om
"ಪ್ರಾಧಾನ್ಯತೆ, ವೈಫಲ್ಯ","മുൻതൂക്കം, പരാജയം"
"ಲಗತ್ತಿಸಲಾಗಿದೆ, ಸಾಮಾನ್ಯವಾಗಿ, ನಿಂತಿರುವ, ಕತ್ತರಿಸಿದ, ವಿಭಜಿತ","ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച"
ಆಗಾಗ್ಗೆ ಜಿಗಿತಗಳು,പലപ്പോഴും ചാടുന്നു
ಕೈ*,കൈ*
ಕಳೆದುಹೋದ ಪ್ರತಿಬಿಂಬ,പ്രതിഫലനം നഷ്ടപ്പെട്ടു
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,സ്പെക്ട്രം കാണുന്നില്ല
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
ಸಂಪೂರ್ಣ ವೇಗವರ್ಧನೆ,സമ്പൂർണ്ണ ത്വരണം
ಸಂಪೂರ್ಣ ವಾಸ್ತವ,കേവല യാഥാർത്ഥ്യം
ಸಂಪೂರ್ಣ ವಿಳಾಸ,സമ്പൂർണ്ണ വിലാസം
ಜಿಯೋರೆಲೇಟಿವ್ ಅಲ್ಟಿಮೀಟರ್,ജിയോ റിലേറ്റീവ് ആൾട്ടിമീറ്റർ
ಭೂವೈಜ್ಞಾನಿಕ ಎತ್ತರ,ഭൂമിശാസ്ത്രപരമായ ഉയരം
ಸಂಪೂರ್ಣ ಆಂಪಿಯರ್,കേവല ആമ്പിയർ
ಸಂಪೂರ್ಣ ಕುದಿಯುವ ಬಿಂದು,സമ്പൂർണ്ണ തിളനില
ಸಂಪೂರ್ಣ ಪ್ರಕಾಶಮಾನತೆ,കേവല പ്രകാശം
ಸಂಪೂರ್ಣ ಸಾಮರ್ಥ್ಯ,കേവല കപ്പാസിറ്റൻസ്
ಸಂಪೂರ್ಣ ಎತ್ತರ,കേവല ഉയരം
ಸಂಪೂರ್ಣ ವರ್ಣದ್ರವ್ಯ,കേവല പിഗ്മെന്റ്
"ಸಂಪೂರ್ಣ ಸಂರಚನೆ, ನಿಸ್ಸಂದಿಗ್ಧವಾದ ಸಂರಚನೆ","സമ്പൂർണ്ണ കോൺഫിഗറേഷൻ, അവ്യക്തമായ കോൺഫിഗറേഷൻ"
ಸಂಪೂರ್ಣ ಕೂಲಂಬ್,കേവല കൂലം
ಸಂಪೂರ್ಣ ಕತ್ತಲೆ,പൂർണ്ണമായ ഇരുട്ട്
ಸಂಪೂರ್ಣ ವೇಳಾಪಟ್ಟಿ,സമ്പൂർണ്ണ ഷെഡ്യൂളിംഗ്
ಸಂಪೂರ್ಣ ಸಾಂದ್ರತೆ*,കേവല സാന്ദ്രത*
ಸಂಪೂರ್ಣ ಒಳಚರಂಡಿ,സമ്പൂർണ്ണ ഡ്രെയിനേജ്
ಸಂಪೂರ್ಣ EMU (ವಿದ್ಯುತ್ಕಾಂತೀಯ ಘಟಕ),സമ്പൂർണ്ണ ഇഎംയു (വൈദ്യുതകാന്തിക യൂണിറ്റ്)
ಸಂಪೂರ್ಣ ESU (ಸ್ಥಾಯಿ ವಿದ್ಯುತ್ ಘಟಕ),സമ്പൂർണ്ണ ESU (സ്റ്റാറ്റിക് യൂണിറ്റ്)
ಸಂಪೂರ್ಣ ದಕ್ಷತೆ,സമ്പൂർണ്ണ കാര്യക്ഷമത
ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋಮೀಟರ್,കേവല ഇലക്ട്രോമീറ്റർ
ಸಂಪೂರ್ಣ ಆವರ್ತನ ಸಂಪೂರ್ಣ ಆವರ್ತನ,കേവല ആവൃത്തി കേവല ആവൃത്തി
ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ,കേവല ഈർപ്പം
ಸಂಪೂರ್ಣ ಘಟನೆ,കേവല സംഭവങ്ങൾ
ಸಂಪೂರ್ಣ ವಕ್ರೀಕಾರಕ ಸೂಚ್ಯಂಕ,കേവല അപവർത്തന സൂചിക
ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ,സമ്പൂർണ്ണ അസ്ഥിരത
ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ,സമ്പൂർണ്ണ അസ്ഥിരത
